,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,17.18,30.56,18.42,18.48,20.3,14.59,18.8,2.29,-3.28,35.58,13.37,-32.59,51.87,36.59,30.42,149.45,26.43,-32.54,-8.51,21.6,1.72,47.58,35.84,19.53,-38.57,8.85,-5.13,-1.83,8.57,-15.05,-35.55,-29.21,37.55,-15.76,9.23,-5.59,-13.04,-28.78,7.24,-25.81,-21.16,-13.06,-10.78,6.43,30.11,89.71,32.66,73.95,9.98,34.58,13.96,38.72,30.67,4.12,-80.31,-115.95
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,43.48,25.04,31.14,-36.86,12.19,10.1,6.26,-4.96,35.54,-28.55,5.06,284.05,-66.12,-18.64,-52.8,-82.97,30.63,-34.85,-11.09,21.05,-0.18,38.71,39.41,9.2,-40.3,14.3,-17.97,9.88,14.01,-16.65,-26.23,-31.01,38.17,-2.9,19.84,22.32,-7.1,-11.73,-0.39,-27.99,-24.64,31.4,27.14,98.05,80.0,46.05,34.96,57.21,4.28,40.4,2.18,20.96,20.66,-5.83,-88.45,-49.97
Koszty sprzedaży,,,,,,,,95.61,,,,-3.51,,,,-100.0,,,,,90.81,-14.1,3.08,1601.67,-3.66,49.53,53.87,1.83,-17.46,-1.54,-16.97,20.0,30.57,-18.82,-23.54,-3.36,-39.14,-19.79,-32.98,12.03,68.27,337.35,104.29,9.77,-15.24,-73.57,-39.92,4.36,-15.62,6.28,11.31,-16.26,5.45,12.45,22.58,-1.88,49.7,11.73,-99.94,-94.39
Koszty ogólnego zarządu,,,,,,,,5.85,,,,1.06,,,,-100.0,,,,,65.07,-22.75,27.58,-29.72,-27.59,-14.81,-45.5,63.81,-6.33,-9.07,42.28,-68.62,-57.83,57.77,-29.5,-33.82,-12.33,-55.79,28.15,-23.01,26.88,108.89,60.14,111.54,58.37,-19.03,-29.31,-49.28,-29.47,71.77,4.56,34.34,-18.85,-61.53,-27.69,21.79,23.23,31.13,51.47,-39.36
Zysk ze sprzedaży,,,,,-71.18,338.1,-97.78,-970.83,156.0,172.0,6775.0,120.1,-287.89,945.59,82.55,-10685.71,71.93,-142.9,-72.91,84.64,-905.93,-40.82,-369.85,-65.59,61.41,45.87,137.33,-68.44,-135.11,69.03,120.44,101.94,58.44,-396.53,-172.85,-1354.05,287.89,92.45,200.91,-106.03,-133.78,-11581.48,-625.23,-144.77,-198.77,68.07,53.69,-8.59,80.43,11.82,62.96,44.23,197.37,86.32,231.0,71.0,0.0,-56.79,-248.85,-721.65
Pozostałe przychody operacyjne,,,,,,,,-50.0,,,,1400.0,,,,93.33,,,,-86.21,-100.0,,-91.67,-25.0,,-58.82,200.0,33.33,-100.0,-100.0,300.0,450.0,,,-100.0,-95.45,,,,-100.0,,,-100.0,,700.0,3100.0,,-400.0,275.0,-98.44,-100.0,750.0,-100.0,0.0,,-100.0,,1600.0,337318.19,
Pozostałe koszty operacyjne,,,,,,,,85.71,,,,123.08,,,,34.48,,,,43.59,30.0,-75.0,,-23.21,253.85,300.0,-91.18,9.3,-23.91,325.0,1133.33,6.38,-51.43,82.35,-51.35,12.0,11.76,29.03,-27.78,-60.71,-94.74,12.5,361.54,45.45,1500.0,-48.89,-81.67,384.38,893.75,60.87,2009.09,-76.13,-61.64,105.41,-44.83,32.43,-19.67,21.05,-101.56,324.49
Zysk operacyjny (EBIT),,,,,-71.59,240.0,-97.85,-979.17,167.35,157.14,6925.0,120.85,-283.97,1210.19,81.85,-10229.55,70.33,-143.39,-71.04,83.51,-858.74,-37.3,-370.27,-59.32,58.57,45.2,134.25,-66.35,-123.06,65.15,102.19,100.46,58.25,-363.35,-185.92,-5866.67,278.26,87.4,189.08,-88.44,-134.46,-6654.26,-678.3,-142.33,-201.23,69.93,65.91,-14.01,67.42,5.13,-3.35,47.63,138.87,82.5,133.56,67.49,26.61,-38.49,25229.66,-662.39
Przychody finansowe,,,,,,,,-45.53,,,,-65.27,,,,-71.43,,,,-88.46,119.48,-17.86,754.93,7066.67,73.96,-282.61,-104.95,-60.47,-100.0,219.05,-117.39,-40.0,,-100.0,100.0,-100.0,,,,,,-63.33,558.82,-110.81,8000.0,-1568.18,-100.0,98.72,-100.0,100.0,,100.0,,,,,,,,
Koszty finansowe,,,,,,,,-87.18,,,,360.0,,,,808.7,,,,42.11,50.0,-33.33,-97.21,-93.27,266.67,266.67,300.0,65.0,418.18,-72.73,100.0,-9.09,149.12,1816.67,64.58,0.0,-58.45,-57.39,44.3,90.0,101.69,289.8,-78.95,77.19,-43.7,-64.92,133.33,-26.73,43.28,73.13,139.29,72.97,55.21,96.55,83.58,119.53,59.06,18.86,-76.02,-96.44
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,-133.33,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
