,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-4.73,35.49,2.51,-4.72,30.05,26.25,35.76,37.93,64.95,6.45,23.05,23.06,23.87,96.75,33.7,16.53,-35.35,-54.96,-33.86,-18.08,14.44,-2.6,-8.73,-3.68,-20.2,-1.26,-6.62,6.07,1.98,17.55,16.85,-3.6,3.16,-16.92,-6.64,-4.96,8.61,15.51,14.38,27.14,23.4,6.05,1.81,-3.37,-5.27,18.83,11.95,7.57,42.37,8.46,-2.52,4.88,-22.4,-12.98,-1.82,3.45,55.15,110.51,109.42,103.97,29.29,17.55,4.52,-11.88
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-8.21,66.71,-6.62,-15.11,15.17,23.48,45.1,42.66,91.96,-4.26,21.28,26.36,12.76,128.42,54.43,41.18,-34.03,-56.11,-42.56,-33.82,15.52,-9.19,-13.14,-10.42,-26.52,0.12,-6.41,12.81,4.52,20.97,18.57,-4.13,2.21,-19.48,-8.75,-9.69,6.84,14.3,16.06,34.82,26.59,5.35,-1.09,-3.43,-7.59,20.07,15.52,4.99,47.67,11.98,2.59,6.02,-21.52,-10.24,-0.93,7.37,57.72,93.63,92.04,95.78,19.61,14.93,-4.48,-20.49
Koszty sprzedaży,,,,,117.51,42.28,6.06,-3.78,26.7,16.73,16.16,1.03,13.79,45.9,45.29,35.06,14.98,0.47,-9.54,22.57,-2.81,-10.99,-8.51,-22.64,-7.29,1.17,2.55,3.79,-2.45,-21.55,-19.87,-21.74,-4.05,6.89,11.46,4.22,-1.03,-13.4,8.07,9.67,20.6,27.62,9.16,-2.07,-0.46,6.11,4.26,9.86,11.18,10.1,3.44,8.25,27.99,5.9,-14.88,-9.64,-22.07,-10.64,6.19,9.66,32.52,39.99,52.75,26.54,39.49,19.7,14.35,9.78
Koszty ogólnego zarządu,,,,,222.46,98.55,18.84,-24.99,-17.21,11.73,1.14,46.66,7.36,8.86,-17.81,-2.08,2.71,-9.44,5.64,-23.7,-8.14,-33.09,-15.88,-16.03,-13.1,-14.34,11.33,-4.5,1.38,0.96,-14.8,6.19,-1.18,13.06,5.52,-4.82,5.23,-5.06,-0.77,8.66,16.56,25.04,41.57,11.43,30.22,20.81,-3.91,28.34,-22.8,26.16,5.84,2.42,5.65,-25.35,-23.11,8.32,-11.83,-1.12,17.56,-13.93,68.93,47.92,52.19,87.72,2.17,57.83,6.28,-10.97
Zysk ze sprzedaży,,,,,-405.76,-121.77,170.14,83.65,188.49,150.72,-41.3,78.86,-137.03,395.24,100.62,-780.56,936.14,69.49,-510.46,-783.6,-93.64,-134.23,129.91,104.57,400.0,174.59,46.24,408.59,58.84,93.93,51.16,-4.92,-13.08,-5.88,14.0,-12.76,23.55,15.42,-13.33,26.48,3.94,-3.23,-12.97,12.59,30.05,3.2,52.41,-51.06,5.99,16.27,-7.05,89.46,29.19,-5.57,-30.53,22.67,-36.32,-94.23,-61.75,-50.76,56.72,10875.56,1704.73,727.09,159.91,22.46,50.6,36.04
Pozostałe przychody operacyjne,,,,,159.65,230.12,215.79,-93.86,85.81,234.31,75.24,619.77,740.36,-18.78,-15.9,-107.03,-44.7,86.16,-49.92,3236.78,-66.12,-72.06,44.19,-89.59,-55.43,-41.09,-46.31,37.32,3.63,14.91,-22.08,17.95,35.0,209.92,42.25,-43.48,-40.37,-77.71,-34.21,35.77,41.61,-8.29,43.43,-20.68,-2.63,95.78,-49.0,216.79,-6.31,-13.23,179.69,-41.04,66.35,123.76,28.49,191.4,49.71,173.69,317.83,4.79,1345.37,-232.77,-76.48,-17.53,-94.64,155.3,56.19,-25.82
Pozostałe koszty operacyjne,,,,,170.0,-87.56,106.19,175.37,496.3,-55.39,56.6,57.07,-58.39,305.49,668.67,-14.6,6647.76,644.17,-325.71,-1651.27,-98.41,-95.48,107.99,105.56,126.39,5.65,57.39,142.19,-82.21,-42.75,-66.3,-47.39,41.38,61.33,65.57,-22.19,543.9,-9.92,-50.5,13.62,-64.77,-8.26,38.0,-35.96,-21.51,232.0,530.43,30.99,57.53,-62.65,-43.91,1275.45,234.78,105.65,-60.25,-73.87,-91.43,32.16,-21.65,65.34,1233.33,151.63,605.26,417.73,116.36,141.51,43.66,25.87
Zysk operacyjny (EBIT),,,,,-356.1,-142.55,354.95,-966.67,204.69,306.9,6.31,248.53,22.95,69.74,-35.41,-262.5,-52.82,-33.7,-245.48,-7.24,-25.21,-150.04,223.09,130.61,113.71,220.25,8.5,310.44,68.15,93.78,54.16,13.91,-9.47,28.54,15.13,-18.36,4.41,-22.31,-14.15,29.79,15.43,-3.48,-9.05,13.16,28.96,-2.01,18.01,-25.83,3.92,28.03,12.87,-123.38,24.31,6.97,-17.98,897.85,-23.73,-23.51,30.23,-53.4,260.25,355.2,322.88,228.11,-9.63,67.98,51.21,33.8
Przychody finansowe,,,,,-65.62,-92.66,-53.33,301.45,54.55,9.38,346.43,-73.1,208.82,-63.81,31.2,12.08,-85.71,189.47,40.24,-41.92,2420.0,-9.09,-6.52,968.04,-85.19,92.0,-40.0,-79.54,-17.86,-19.79,61.24,-7.55,256.52,-107.79,-65.87,-14.29,-81.71,658.33,-11.27,-75.6,406.67,-59.7,-130.16,495.12,-98.68,-29.63,100.0,-99.59,-100.0,-15.79,,-100.0,,-6.25,-100.0,,,73.33,,4900.0,-60.0,-111.54,100.0,-75.0,850.0,9266.67,,940.0
