,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,5.68,19.25,4.86,-1.11,53.55,31.22,36.72,9.6,20.15,4.48,10.99,14.34,-4.17,12.62,-24.02,-18.84,-15.29,-20.31,31.92,29.91,16.43,68.69,25.11,27.73,25.61,7.3,13.91,1.86,5.99,-1.21,4.49,19.29,30.08,8.18,21.49,11.45,5.33,4.84,-10.0,-3.49,6.08,-7.57,3.91,0.57,-2.49,20.01,11.18,9.73,19.17,6.26,-6.5,-2.3,-2.67,-12.13,-8.75,11.84,-48.68,-39.2,-27.94,-51.4
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,27.9,57.63,10.39,17.27,50.05,19.25,26.03,-4.62,6.36,2.34,4.19,34.72,3.77,28.65,-12.34,-10.42,-5.84,-22.21,31.14,21.21,16.94,73.96,27.02,36.32,36.81,9.61,12.69,4.1,5.26,-0.45,12.8,22.49,23.86,5.56,14.13,10.8,5.5,4.28,-7.18,-1.78,7.64,1.94,7.37,0.68,-9.32,6.7,1.06,7.88,20.41,5.51,-7.05,-1.53,-3.09,-17.7,-10.42,11.15,-52.51,-36.5,-29.7,-56.65
Koszty sprzedaży,,,,,,,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-2.48,-16.55,-5.29,-13.42,10.6,-4.58,-9.75,70.12,16.6,8.25,42.76,-23.12,27.08,65.22,-23.04,67.27,-5.44,-32.15,8.72,-39.95,-26.76,-15.26,-1.81,-22.38,-8.93,-8.32,-9.41,8.28,5.38,11.87,-7.86,-11.96,1.65,-4.55,16.29,8.96,6.49,14.96,-9.18,12.82,3.39,1.83,17.85,35.78,-5.99,-6.7,-1.68,-10.61,14.55,15.1,18.58,7.59,-4.72,-4.77,10.73,40.45,-36.57,-43.9,-40.36,-50.55
Zysk ze sprzedaży,,,,,-219.79,-315.98,-71.79,-43.21,118.43,192.6,265.84,32.15,1461.32,24.66,32.3,-22.44,-100.24,-294.81,-128.19,-180.34,-34575.0,58.08,106.43,211.41,62.8,123.95,1262.5,22.13,-173.84,-55.37,220.49,-24.72,3.82,-496.2,-125.29,15.71,94.11,241.53,608.68,22.64,-81.25,-13.32,-62.54,-38.43,-227.59,-604.43,-200.99,-55.16,393.26,164.74,526.86,186.23,4.81,5.5,-23.93,-29.44,8.7,79.97,-14.13,-34.46,1.45,-58.0,21.1,153.83
Pozostałe przychody operacyjne,,,,,266.67,248.0,100.16,106.25,281.82,-550.57,89900.0,-900.0,-276.19,118.37,-108.67,278.12,152.7,4425.0,-3680.77,3264.04,-212.82,-97.85,100.27,-125.06,113.64,-227.14,-1850.0,-62.12,2166.67,348.31,123.57,112.77,-8.82,26.7,284.85,-5.03,158.06,-48.57,81.89,35.98,47.19,-2.78,-25.54,-81.71,-60.72,153.57,29.65,68.09,-49.73,79.72,22.42,273.42,73.12,-75.55,-61.54,-64.75,-91.93,-146.79,-112.38,110.58,-92.31,226.03,69.23,-211.42
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,-216.77,-279.64,38.95,-40.84,126.24,147.92,415.61,28.44,968.24,192.51,-34.47,-16.09,-97.79,53.02,-366.83,1.11,-4188.57,-144.75,100.96,-60.05,64.36,113.15,484.38,-21.85,-150.39,240.91,478.07,176.13,3.29,-111.0,-112.77,13.52,119.43,1878.79,1244.2,23.82,35.83,-10.73,-57.12,-42.63,-188.96,-401.91,-142.39,-51.35,612.41,219.6,953.66,195.54,9.08,-21.83,-28.12,-34.2,-1.3,56.05,-19.99,-23.97,0.69,-52.69,21.93,80.71
Przychody finansowe,,,,,800.0,115.0,-80.0,-72.73,392.86,1033.33,-1692.31,1333.33,-44.93,-22.06,102.42,48.84,2.63,-232.08,-2060.0,-133.07,-264.1,-37.14,-22.45,0.0,-39.06,-3.12,5882.5,-477.17,71.91,293.94,-100.39,100.68,20.0,-119.79,-129.63,-720.0,-175.0,-334.21,-14.52,-383.87,-52.73,95.76,-49.3,71.33,-65.48,-585.71,-216.04,225.58,-364.75,129.17,33.43,-396.3,54.8,-164.29,44.39,41.88,145.55,1388.89,399.19,-221.51,-43.61,-255.17,-17.79,82.61
Koszty finansowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe przychody (koszty),,,,,,,,,,,,194.03,100.0,-100.0,100.0,-114.29,,,,-27766.67,-495.45,15800.0,-103.91,97.97,-217.24,-348.41,100.0,1405.88,100.0,100.0,,-100.0,,,,,,0.0,-15.91,68.12,,100.0,55.41,-409.09,96.43,,-100.0,100.0,100.0,100.0,,,,,,100.0,,,,,,-100.7,1699.47,-204.42
