,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,67938.0,87376.0,45383.0,50213.0,80237.0,82342.0,53776.0,47911.0,77889.0,101099.0,53986.0,62919.0,90819.0,86885.0,58127.0,52217.0,94903.0,78218.0,49340.0,49015.0,98618.0,80959.0,40342.0,34838.0,77589.0,62779.0,36380.0,28697.0,73832.0,77609.0,38160.0,33194.0,88827.0,111761.0,39460.0,59388.0,143241.0,89127.0,37194.0,26692.0,99505.0,89038.0
Techniczny koszt wytworzenia produkcji sprzedanej,54912.0,70776.0,36691.0,40710.0,64211.0,69621.0,44550.0,38568.0,61063.0,84970.0,44763.0,52094.0,73393.0,74981.0,48582.0,42514.0,76975.0,66523.0,42611.0,39759.0,79884.0,69912.0,38497.0,33075.0,67378.0,54855.0,33853.0,24965.0,60596.0,62786.0,35768.0,28507.0,77958.0,96101.0,36652.0,48809.0,119659.0,77670.0,36436.0,24768.0,86748.0,74864.0
Koszty sprzedaży,3048.0,2291.0,875.0,1570.0,2524.0,2254.0,983.0,1567.0,2473.0,2784.0,1320.0,1811.0,3377.0,2472.0,1434.0,2230.0,3858.0,2964.0,1648.0,2535.0,3772.0,2568.0,1671.0,2586.0,3478.0,2964.0,1468.0,3326.0,4429.0,3757.0,1883.0,2434.0,3638.0,3828.0,1555.0,3392.0,4557.0,3731.0,1644.0,2953.0,5471.0,3359.0
Koszty ogólnego zarządu,2664.0,3591.0,2962.0,3106.0,3183.0,4030.0,3170.0,3582.0,3196.0,4412.0,3416.0,3829.0,3538.0,3676.0,3587.0,3609.0,4011.0,4258.0,3500.0,3752.0,3167.0,2819.0,3388.0,3413.0,3314.0,3291.0,3265.0,3751.0,3259.0,2983.0,3103.0,3140.0,3138.0,3846.0,3195.0,3250.0,3335.0,3702.0,3417.0,4098.0,3117.0,3315.0
Zysk ze sprzedaży,7314.0,10718.0,4855.0,4827.0,10319.0,6437.0,5073.0,4194.0,11157.0,8933.0,4487.0,5185.0,10511.0,5756.0,4524.0,3864.0,10059.0,4473.0,1581.0,2969.0,11795.0,5660.0,-3214.0,-4236.0,3419.0,1669.0,-2206.0,-3345.0,5548.0,8083.0,-2594.0,-887.0,4093.0,7986.0,-1942.0,3937.0,15690.0,4024.0,-4303.0,-5127.0,4169.0,7500.0
Pozostałe przychody operacyjne,31.0,213.0,332.0,970.0,109.0,342.0,159.0,112.0,167.0,396.0,115.0,281.0,318.0,294.0,179.0,240.0,353.0,200.0,1491.0,119.0,106.0,61.0,356.0,14001.0,6918.0,417.0,1045.0,198.0,442.0,1322.0,418.0,-72.0,121.0,294.0,243.0,205.0,382.0,112.0,232.0,762.0,81.0,2001.0
Pozostałe koszty operacyjne,-65.0,1468.0,51.0,131.0,105.0,218.0,16.0,141.0,-19.0,56.0,150.0,255.0,38.0,115.0,36.0,114.0,-14.0,1552.0,1419.0,31.0,-68.0,83.0,29.0,109.0,917.0,76777.0,496.0,2504.0,252.0,1958.0,396.0,311.0,94.0,961.0,283.0,454.0,477.0,1549.0,707.0,660.0,-267.0,21742.0
Zysk operacyjny (EBIT),7410.0,9463.0,5136.0,5666.0,10323.0,6561.0,5216.0,4165.0,11343.0,9273.0,4452.0,5211.0,10791.0,5935.0,4667.0,3990.0,10426.0,3121.0,1653.0,3057.0,11969.0,5638.0,-2887.0,9656.0,9420.0,-74691.0,-1657.0,-5651.0,5738.0,7447.0,-2572.0,-1270.0,4120.0,7319.0,-1982.0,3688.0,15595.0,2587.0,-4778.0,-5025.0,4517.0,-12241.0
Przychody finansowe,-21.0,1420.0,494.0,174.0,653.0,1109.0,340.0,-71.0,24.0,839.0,446.0,-65.0,128.0,962.0,364.0,-254.0,15.0,675.0,276.0,163.0,-52.0,660.0,117.0,49.0,283.0,648.0,480.0,-94.0,153.0,639.0,85.0,121.0,449.0,-98.0,447.0,-24.0,-114.0,279.0,329.0,6.0,4.0,8.0
