,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Period,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,170.67,54.28,28.39,26.21,-81.99,-88.05,52.19,88.97,43.0,0.87,288.71,-37.37,661.01,2823.76,-91.62,-23.42,37.35,-91.53,52.35,-25.32,-86.73,1309.63,46.45,99.58,206.19,-88.46,119.6,100.14,45.36,364.25,-7.74,5.37
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,161.08,42.91,40.88,33.63,-82.89,-89.2,33.39,70.26,40.63,12.82,305.27,-30.0,568.48,2646.95,-90.67,-19.95,57.54,-90.2,61.75,-13.02,-84.75,1016.88,28.77,57.78,169.73,-85.8,93.69,98.69,38.37,285.48,1.39,2.18
Koszty sprzedaży,,,,,94.18,375.84,-53.28,41.91,14.06,74.13,56.29,44.47,44.24,-7.16,-41.29,-41.28,-29.88,-19.48,1.57,2.29,14.12,-39.44,20.99,36.09,5.84,189.4,45.22,45.45,-14.63,-46.05,11.14,15.86,37.38,67.77,21.17,21.84
Koszty ogólnego zarządu,,,,,18.74,40.61,161.41,227.08,102.84,58.04,12.79,-17.26,20.27,-12.38,3.65,-6.11,-8.91,37.57,40.66,-16.1,0.6,12.54,-22.4,14.09,21.44,18.43,24.0,11.3,-3.2,53.69,2.02,18.38,28.74,-19.84,18.55,31.8
Zysk ze sprzedaży,,,,,320.56,42.04,26.72,-1.03,-123.55,-143.24,118.79,163.15,-14.55,3.76,337.73,-51.32,1266.58,1267.83,-98.58,-34.66,11.77,-103.73,176.72,-75.16,-107.19,3785.87,183.89,628.63,508.33,-104.47,271.58,123.58,73.7,1099.77,-27.53,9.05
Pozostałe przychody operacyjne,,,,,-95.16,-75.11,-9.43,506.62,1268.18,-11.31,657.29,-69.73,-34.33,-44.28,-55.85,-218.62,-68.97,-65.33,-33.02,97.47,-73.91,-56.46,-80.93,504.17,-39.58,53.12,80.49,96.91,1186.21,92.86,14.86,-73.82,-78.82,-70.9,-12.94,68886.0
Pozostałe koszty operacyjne,,,,,-6.58,-84.79,-25.71,1760.67,257.75,469.31,158.65,-100.61,-21.26,-71.56,-29.0,202.35,8.0,-48.37,25.65,-21.84,-53.24,36.08,-66.67,80.88,-24.75,-32.56,-65.0,14.63,-28.95,-25.52,-42.86,-77.3,22.22,-56.48,593.75,2650.0
Zysk operacyjny (EBIT),,,,,155.69,8.75,27.3,-53.69,-115.84,-143.56,124.89,466.41,-40.87,15.79,327.03,-53.91,1509.39,1314.17,-98.62,-32.43,11.71,-104.16,179.63,-75.18,-107.36,3408.93,189.3,634.09,514.18,-104.31,270.36,123.28,67.69,1138.29,-27.81,55.77
Przychody finansowe,,,,,67.49,-73.75,550.0,-103.28,-48.16,395.24,-58.76,26350.0,84.36,11.86,115.54,8.76,54.5,45.56,-23.8,-22.94,-59.4,-83.27,-97.48,-91.14,4.92,77.65,-137.5,-643.59,-97.27,-84.11,133.33,559.43,2757.14,316.67,43100.0,110.88
