,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,169.11,159.23,200.86,61.78,16.5,42.46,40.61,79.29,174.79,97.6,42.92,59.73,-4.05,102.73,38.25,-27.41,-33.93,-58.47,-36.32,69.66,25.86,97.19,37.2,-4.69,50.1,27.83,43.17,27.92,-14.02,0.79,-7.32,-2.43,6.72,-3.21,-32.07,-4.04,0.71,35.57,115.85,66.96,78.87,29.36,15.73,23.1,-23.03,8.31,-5.65,-20.78,27.38
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,131.42,293.71,113.54,104.66,45.79,20.1,48.37,55.03,223.66,86.48,124.0,23.65,38.16,111.0,52.67,68.88,-20.43,-16.85,-12.96,41.76,15.72,11.07,17.82,-14.04,42.48,26.61,18.53,43.26,-7.59,-3.27,-12.83,-26.81,-19.8,-4.61,-21.65,-15.99,-5.88,32.0,72.44,69.77,58.39,30.22,17.02,26.36,-31.97,9.26,1.53,-5.01,80.07
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,232.31,-193.91,627.12,-90.73,-17.71,203.7,29.49,1984.21,73.7,239.29,-90.28,270.45,-166.8,44.74,-507.41,-215.13,-73.7,-483.64,-295.0,10.12,11.17,93.51,23.36,46.84,-13.83,18.25,75.23,-139.78,-24.29,237.5,133.94,108.68,110.72,54.55,-647.32,435.12,219.17,126.47,251.06,50.72,279.06,16.7,3.24,1.92,13.45,-7.47,-84.21,-147.79,-101.66
Pozostałe przychody operacyjne,,,,,,20800.0,,400.0,5350.0,68.42,60.0,140.0,77.98,-11.93,156.25,137.5,213.4,-38.06,1770.73,-233.33,-48.85,117.19,-74.58,356.58,20.9,-15.59,-4.1,-4.62,-66.49,-38.35,-7.49,-18.28,513.49,-100.0,-98.27,-62.5,-94.44,,-100.0,-66.67,200.0,,,-10.53,-83.72,,2200.0,6041.18,-52.38,-100.0,-45.65,-99.81,2030.0
Pozostałe koszty operacyjne,,,,,,,-100.0,100.0,0.0,,,,-100.0,,,,,,-21.93,-43.15,30.59,6.49,-41.1,-42.17,3653.15,128.05,8.14,68.75,-100.84,-47.06,38.71,-18.52,12228.57,24.24,-22.48,101.52,-96.77,-100.0,-100.0,78.2,-56.93,,,-88.61,52.54,-6.73,-19.35,103.7,-45.56,32.99,-39.0,725.45,79.59
Zysk operacyjny (EBIT),,,,,231.92,-12.93,648.28,-86.12,-5.33,359.41,29.84,1348.28,74.91,48.71,-103.37,228.1,-121.13,-3.62,576.32,-234.11,-308.28,-366.92,-1000.0,25.81,-310.62,101.58,24.0,48.8,74.56,-78.57,76.9,-163.39,-309.39,416.67,105.24,104.98,101.88,667.74,-4186.67,640.22,592.93,82.77,231.16,97.5,230.32,24.6,12.19,76.21,15.18,-16.42,-87.25,-146.92,-96.9
Przychody finansowe,,,,,,100.0,-66.67,-40.0,-118.75,175.0,1300.0,100.0,166.67,345.45,228.57,416.67,1200.0,-55.1,-56.52,-41.94,-57.69,-77.27,-60.0,-88.89,-81.82,-60.0,-62.5,-50.0,-50.0,-100.0,-100.0,-100.0,600.0,,,,-100.0,,,-100.0,,,,,,,,,42.86,,-61.11,-77.78,-80.0
