,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,5.17,2.94,5.55,26.4,7.73,15.62,13.93,10.29,18.36,10.96,11.69,6.2,13.42,20.15,13.12,8.25,7.54,8.23,89.24,113.24,117.89,96.56,-15.12,-24.0,-22.22,-22.07,-1.15,15.99,7.36,15.89,8.02,-12.04,-12.38,-10.9,-8.15,-1.83,-17.42,-47.86
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,1.94,-5.61,13.19,28.28,11.26,18.63,13.74,13.46,23.27,7.75,10.64,3.47,11.66,15.79,11.69,7.38,1.76,13.42,109.09,135.33,133.32,105.93,-14.37,-23.87,-25.61,-19.59,-5.94,9.89,6.04,11.2,9.86,-10.29,-8.15,-6.45,-4.56,7.26,-12.97,-51.73
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,32.03,147.73,-53.61,15.79,-14.96,-3.81,17.43,-9.64,-22.97,36.58,31.05,27.72,37.06,47.53,35.18,13.85,70.89,-17.34,-164.32,-19.78,17.09,33.2,-15.99,-26.18,21.95,-48.06,148.09,127.13,17.88,91.82,-102.56,-27.51,-42.56,-52.59,-9239.47,-101.07,-68.22,23.79
Pozostałe przychody operacyjne,,,,,-216.04,-245.37,456.62,-85.9,-46.88,260.93,-23.38,547.55,237.64,-1.98,-45.29,-92.66,-19.97,-31.49,-38.87,949.48,66.33,143.81,254.81,-123.18,67.07,-182.11,-140.05,743.64,-11.93,259.67,119.71,-17.38,-78.1,220.84,271.17,-115.94,-1955.94,200.88,160.17,1446.5,118.56,-64.84
Pozostałe koszty operacyjne,,,,,321.37,70.71,-62.24,-67.98,50.34,-35.93,41.74,152.68,112.39,2.06,73.99,-99.47,-61.99,-31.86,105.76,14371.43,906.25,-254.92,32.99,-115.5,-18.77,29.15,-52.94,3826.75,-63.61,1532.97,-46.5,-96.55,-74.79,-95.05,46.76,143.07,907.95,584.99,158.37,7194.3,63.43,-625.36
Zysk operacyjny (EBIT),,,,,7.68,146.73,9.86,13.64,-22.51,92.77,-10.05,-4.49,-9.6,44.35,-16.34,29.35,49.74,61.8,-18.34,12.44,19.79,21.14,-262.47,-20.85,42.48,0.67,-43.13,-95.42,41.12,-199.71,115.64,3975.97,14.79,232.47,-172.02,-40.12,-96.32,-8.26,-722.3,-580.72,-155.25,225.56
Przychody finansowe,,,,,242.77,-14.0,-42.5,206.12,-80.63,668.42,490.82,-118.67,-424.42,165.74,-98.94,115.48,108.96,-88.15,7784.62,6550.0,-224.0,215.69,48.0,101.5,-622.58,-1018.94,164.14,-179.79,-50.0,93.51,-93.16,181.22,620.24,-178.12,132.85,-93.49,-46.11,1344.76,220.69,1112.93,-177.39,-79.74
Koszty finansowe,,,,,356.95,-14.58,293.19,-108.15,-183.31,102.65,22.64,-1576.92,149.51,-94.39,-62.38,576.83,0.18,3185.56,62.7,-105.39,-56.73,-75.45,15.83,1453.12,1178.84,242.84,810.99,-144.34,472.58,-74.29,-90.76,181.99,-91.56,106.72,426.65,-710.53,326.64,116.63,-48.43,173.29,20.39,-463.19
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,-95.8,102.5,-10287.5,-60400.0,-16400.0,-100.0,100.0,100.0,89.06,,,,2378.5,,,,-76.54
Zysk z działalności gospodarczej,,,,,2.14,1586.67,-67.4,42.86,18.72,119.36,-4.53,-7.61,-44.66,133.53,56.01,-53.78,73.35,1.94,-25.69,247.79,26.71,66.91,-540.31,-31.97,-1.17,-43.74,-419.18,-129.67,-169.63,-310.0,95.71,744.87,454.61,200.81,-971.71,8.6,-129.58,49.48,27.53,-367.89,-68.08,187.42
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,2.14,1586.67,-67.4,42.86,18.72,119.36,-4.53,-7.61,-44.66,133.53,56.01,-53.78,73.35,1.94,-25.69,247.79,26.71,66.91,-540.31,-31.97,-1.17,-43.74,-419.18,-129.67,-169.63,-310.0,95.71,744.87,454.61,200.81,-971.71,8.6,-129.58,49.48,27.53,-367.89,-68.08,187.42
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,
Zysk netto,,,,,4.93,867.95,-68.38,48.08,18.39,64.17,19.78,-11.35,-42.73,127.07,35.78,-54.01,65.01,1.51,-33.95,251.32,25.9,62.15,-720.2,-34.79,12.05,-44.51,-367.81,-159.81,-173.6,-324.26,84.42,444.48,394.69,210.18,-214.83,-28.46,-129.56,45.89,27.53,-521.32,-101.87,141.82
Zysk netto akcjonariuszy jednostki dominującej,,,,,4.93,867.95,-68.38,48.08,18.39,64.17,19.78,-11.35,-42.73,127.07,35.78,-54.01,65.01,1.51,-33.95,251.32,25.9,62.15,-579.28,-31.94,2.56,-41.04,-363.23,-176.35,-159.48,-319.04,82.4,355.6,474.23,199.83,-181.28,-40.01,-141.79,63.32,22.22,-493.86,-36.71,81.31
Aktywa trwałe,,,,,-5.44,-4.66,-4.63,-3.04,7.29,14.81,21.5,44.09,41.56,30.88,29.41,11.93,5.77,5.95,7.21,10.52,18.44,87.68,235.65,244.46,230.02,116.54,12.04,-6.14,-17.31,-30.45,-29.76,-24.94,-19.31,-9.02,-11.68,-12.45,-10.6,-1.03,3.51,-27.77,-28.28,-36.2
Wartości niematerialne i prawne,,,,,3.79,-9.38,26.28,36.61,150.08,186.52,135.98,79.96,-0.73,-41.38,-41.19,-35.25,-40.47,-24.31,-27.71,-24.98,-11.36,16.46,1472.99,1458.92,1342.63,1705.66,41.82,39.89,31.3,-8.75,-12.19,-11.36,-6.81,-2.4,-1.98,-1.38,-0.91,4.64,3.43,-75.55,-76.17,-78.04
Rzeczowe składniki majątku trwałego,,,,,-7.63,-0.82,-8.9,-8.05,-2.47,10.37,16.89,51.31,55.96,45.91,45.01,13.9,4.97,2.1,0.19,8.53,20.58,39.79,220.53,215.52,195.66,154.69,2.63,-14.36,-24.76,-39.26,-35.67,-32.34,-25.88,-8.04,-15.26,-13.81,-18.52,-14.21,-8.89,-31.36,-28.37,-22.29
Należności długoterminowe,,,,,-2.01,-2.81,4.28,4.31,-1.84,-22.42,-9.17,-19.95,-8.16,18.94,4.04,31.84,82.11,68.31,162.0,-16.09,-59.79,-69.94,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,1.09,-2.87,15.47,29.04,0.54
Inwestycje długoterminowe,,,,,,,,,,,,-100.0,,,,,,,,2639.73,1062.79,,,300.0,300.2,-69.05,99.63,-53.1,-99.78,-100.0,-100.0,-100.0,-100.0,,,,,,,,,14.6
