,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-0.49,-8.26,-0.83,-10.56,36.6,38.77,42.51,32.02,8.8,5.96,-0.7,19.08,-1.14,3.41,8.47,-12.39,-11.37,-0.06,-11.12,-3.75,9.01,-8.08,3.99,1.43,-5.56,-2.36,-0.25,1.96,-19.51,-25.32,-11.95,-14.9,24.32,17.52,0.3,9.01,33.96,51.29,59.19,38.82,31.69,17.41,6.44,30.69,-5.49,-1.74,6.03,56.91,41.99,57.15,76.89,7.92,61.02,42.12,11.16,16.01
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,7.28,-0.61,3.28,0.72,53.83,46.99,49.15,37.76,6.49,9.41,-4.44,10.4,6.26,0.36,12.95,10.04,-6.99,-6.49,-6.39,-10.61,1.12,177.01,0.0,-7.66,1.78,-55.43,7.69,6.36,-25.98,-40.12,-31.87,2.55,26.03,24.23,34.82,3.02,55.0,67.42,70.9,153.45,39.2,24.13,7.02,-26.73,-9.96,-10.17,23.95,64.56,44.47,64.26,50.03,14.65,47.45,30.94,4.51,35.83
Koszty sprzedaży,,,,,,,,11.67,,,,-72.19,5.25,2.2,-10.1,-31.08,-47.14,-34.45,25.53,-0.08,53.25,49.81,-16.77,41.14,8.82,-11.55,-15.93,-14.29,-4.05,3.26,8.7,-0.56,-19.79,-14.94,-19.43,-3.98,19.41,17.57,-0.71,22.78,-19.83,-16.38,36.79,-4.58,19.59,34.02,-12.79,6.06,19.83,-12.31,9.88,-7.38,5.04,7.31,10.35,106.17,513.47,371.66,255.06,186.16
Koszty ogólnego zarządu,,,,,,,,4.0,,,,-72.29,-2.68,0.66,-12.38,-10.17,-1.89,5.46,8.0,4.27,4.36,-3.9,5.21,10.65,19.13,0.55,-5.73,-11.36,-16.06,17.39,-9.94,71.49,-3.83,-21.76,-4.29,-29.64,45.45,50.89,44.23,-15.07,-1.56,0.39,12.44,36.29,7.94,2.73,30.04,-3.85,-4.41,-8.37,-32.22,-6.46,1.54,62.66,-6.73,70.39,21.97,30.87,134.62,2.32
Zysk ze sprzedaży,,,,,-11.51,-22.04,-9.16,-1028.88,-24.15,-18.6,-13.53,213.89,19.26,-6.33,18.93,89.16,-12.46,31.14,-9.92,-81.71,-39.55,15.56,-30.35,72.96,52.93,-563.37,35.44,99.39,-32.59,96.81,-32.69,-28.8,15.11,378.63,116.38,-122.33,15.92,-26.77,-72.39,175.36,-29.17,-23.91,-22.97,-4371.79,-24.53,-120.52,-2.76,107.14,54.57,1101.27,-393.04,-27.1,42.72,-0.51,232.37,-522.19,68.49,95.43,4.65,-396.59
Pozostałe przychody operacyjne,,,,,68.53,32.95,-10.3,545.6,-64.18,-70.37,-48.24,157.72,408.49,72.34,240.01,-57.15,-55.66,116.56,-7.42,21.77,-13.34,369.31,-58.58,-18.68,-16.33,-78.84,-14.12,-87.17,148.78,-51.98,-12.33,3158.33,-35.29,-42.15,-10.94,-81.59,-33.33,70.0,12.28,-286.81,-57.95,833.61,246.88,-114.87,127.03,-138.07,-63.51,133.22,17.86,384.4,2503.7,236.46,-69.7,59.35,-133.19,9.13,-826.67,-117.32,47.29,-229.22
Pozostałe koszty operacyjne,,,,,11.02,4.05,26.26,-45.42,-91.96,-89.92,-84.83,174.9,14.47,20.76,-31.81,106.73,72.72,8.42,-16.16,-83.51,-47.97,725.25,68.26,-146.16,65.0,-91.39,-53.77,126.37,-52.53,-29.03,-26.53,-16.98,-8.51,-31.82,38.89,200.0,44.19,263.33,0.0,-267.42,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,-16.43,-27.11,-26.45,-17.57,7.64,15.95,40.76,-72.34,32.67,-3.34,35.2,-252.77,-20.99,41.48,-9.31,144.31,-37.01,32.77,-38.31,505.11,45.23,-453.02,41.08,22.29,-20.69,97.75,-31.78,30.79,6.95,527.49,110.39,-111.71,9.49,-29.41,-71.75,155.38,-27.76,189.92,16.73,-6805.56,-18.63,-133.56,-24.48,109.22,50.58,497.21,107.25,48.65,33.16,35.61,-17.18,-176.54,51.16,-55.4,49.81,-977.11
Przychody finansowe,,,,,,,,13.39,,,,394.26,206.73,56.85,119.41,-95.27,-65.74,39.24,-73.19,-22.15,2.14,0.12,85.98,26.29,-36.25,-42.16,-77.36,-77.32,-49.02,-61.02,-41.67,481.82,338.46,30.43,-92.86,-64.06,-86.84,173.33,1800.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
