,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,3486.0,4629.0,5144.0,5462.0,5884.0,6206.0,5793.0,4975.0,4232.0,5521.0,4781.0,7457.0,3821.0,4061.0,4003.0,4111.0,4068.0,4472.0,5621.0,7738.0,5545.0,6822.0,10523.0,11101.0,9138.0,8313.0,11072.0,9689.0,8873.0,8915.0,15928.0,19608.0,23611.0,23345.0
Techniczny koszt wytworzenia produkcji sprzedanej,645.0,2423.0,2710.0,1605.0,2557.0,4280.0,2763.0,3430.0,3190.0,2951.0,2162.0,5261.0,2667.0,2027.0,1863.0,2191.0,2141.0,2087.0,2303.0,2928.0,2342.0,2363.0,2656.0,2455.0,2471.0,2140.0,2343.0,2405.0,2147.0,2230.0,2218.0,2295.0,2447.0,3571.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,247.0,277.0,530.0,209.0,54.0,43.0,183.0,286.0,2953.0,3595.0,1266.0,1660.0,3960.0,3359.0,2869.0,2791.0,8145.0,10467.0,13070.0,9724.0
Koszty ogólnego zarządu,688.0,647.0,614.0,808.0,654.0,1042.0,918.0,686.0,620.0,616.0,664.0,742.0,900.0,264.0,692.0,650.0,732.0,773.0,683.0,536.0,659.0,723.0,730.0,1038.0,1290.0,1435.0,1483.0,1735.0,1390.0,1933.0,1419.0,1151.0,1645.0,2365.0
Zysk ze sprzedaży,2153.0,1559.0,1820.0,3049.0,2673.0,884.0,2112.0,859.0,422.0,1954.0,1955.0,1454.0,254.0,874.0,1201.0,993.0,665.0,1403.0,2581.0,4231.0,2361.0,3450.0,4184.0,4013.0,4111.0,3078.0,3286.0,2190.0,2467.0,1961.0,4146.0,5695.0,6449.0,7685.0
Pozostałe przychody operacyjne,-4.0,-11.0,18.0,3.0,67.0,-81.0,14.0,29.0,198.0,-58.0,45.0,53.0,11.0,-87.0,71.0,27.0,34.0,-17.0,6.0,8.0,3.0,0.0,69.0,8.0,11.0,-2.0,4.0,669.0,-19.0,-536.0,91.0,95.0,45.0,-101.0
Pozostałe koszty operacyjne,250.0,-117.0,19.0,536.0,210.0,196.0,32.0,3.0,-11.0,10307.0,215.0,-72.0,-113.0,17624.0,707.0,-9.0,14.0,18021.0,756.0,226.0,-56.0,1711.0,34.0,-5.0,-15.0,125.0,153.0,395.0,-35.0,-402.0,101.0,64.0,76.0,-120.0
Zysk operacyjny (EBIT),1899.0,1665.0,1819.0,2516.0,2530.0,607.0,2094.0,885.0,631.0,-8411.0,1785.0,1579.0,378.0,-16837.0,565.0,1029.0,685.0,-16635.0,1831.0,4013.0,2420.0,1739.0,4219.0,4026.0,4137.0,2951.0,3137.0,2464.0,2483.0,1827.0,4136.0,5726.0,6418.0,7704.0
Przychody finansowe,0.0,21.0,261.0,-194.0,189.0,-220.0,323.0,232.0,-46.0,13.0,58.0,267.0,-239.0,-38.0,105.0,7.0,94.0,-73.0,13.0,212.0,-76.0,47.0,187.0,-94.0,142.0,-60.0,0.0,68.0,400.0,2949.0,676.0,1147.0,-855.0,3341.0
