,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Period,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,13460.0,14479.0,15086.0,17524.0,24406.0,25245.0,26215.0,26668.0,34794.0,35505.0,39107.0,44870.0,53946.0,60032.0,79846.0,91463.0,100112.0,104414.0,100590.0,105707.0,105398.0
Techniczny koszt wytworzenia produkcji sprzedanej,8752.0,9738.0,9865.0,11891.0,18209.0,16065.0,17280.0,16526.0,20439.0,24496.0,27816.0,31507.0,29304.0,38206.0,53054.0,58636.0,71936.0,68510.0,71521.0,73943.0,71657.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,208.0,-392.0,0.0,1134.0,438.0,296.0
Koszty ogólnego zarządu,1351.0,2166.0,3164.0,4624.0,4156.0,5252.0,4353.0,5685.0,6549.0,5825.0,6989.0,6956.0,17546.0,13657.0,16394.0,18846.0,15062.0,25783.0,22570.0,23078.0,26562.0
Zysk ze sprzedaży,3357.0,2575.0,2057.0,1009.0,2041.0,3928.0,4582.0,4457.0,7806.0,5184.0,4302.0,6407.0,7096.0,8169.0,10214.0,13773.0,13506.0,10121.0,5365.0,8248.0,6883.0
Pozostałe przychody operacyjne,1.0,15.0,-2.0,168.0,-14.0,43.0,34.0,32.0,154.0,129.0,223.0,28.0,129.0,56.0,287.0,259.0,111.0,269.0,127.0,143.0,496.0
Pozostałe koszty operacyjne,4.0,26.0,12.0,188.0,132.0,106.0,35.0,73.0,815.0,24.0,31.0,21.0,360.0,186.0,488.0,224.0,375.0,195.0,412.0,65.0,50.0
Zysk operacyjny (EBIT),3354.0,2564.0,2043.0,989.0,1895.0,3865.0,4581.0,4416.0,7145.0,5289.0,4494.0,6414.0,6865.0,8039.0,10013.0,13808.0,13242.0,10195.0,5080.0,8326.0,7329.0
Przychody finansowe,18.0,28.0,-27.0,21.0,-12.0,18.0,50.0,-65.0,491.0,396.0,-396.0,134.0,166.0,419.0,51.0,912.0,-1064.0,13.0,20.0,41.0,57.0
Koszty finansowe,112.0,121.0,46.0,30.0,259.0,152.0,51.0,55.0,135.0,86.0,271.0,408.0,273.0,237.0,826.0,542.0,838.0,1332.0,1501.0,2128.0,3495.0
Pozostałe przychody (koszty),0.0,98.0,67.0,-165.0,0.0,162.0,149.0,224.0,403.0,139.0,114.0,217.0,197.0,250.0,243.0,274.0,0.0,322.0,242.0,303.0,93.0
Zysk z działalności gospodarczej,3260.0,2569.0,2037.0,815.0,1624.0,3893.0,4729.0,4520.0,7904.0,5738.0,3941.0,6357.0,6955.0,8471.0,9481.0,14452.0,11340.0,9198.0,3841.0,6542.0,3984.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3260.0,2569.0,2037.0,815.0,1624.0,3893.0,4729.0,4520.0,7904.0,5738.0,3941.0,6357.0,6955.0,8471.0,9481.0,14452.0,11340.0,9198.0,3841.0,6542.0,3984.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2720.0,2103.0,1629.0,1118.0,1172.0,3141.0,3855.0,3695.0,6420.0,4451.0,3075.0,5326.0,5341.0,6571.0,8053.0,12360.0,10358.0,7748.0,3338.0,5404.0,7227.0
Zysk netto akcjonariuszy jednostki dominującej,1797.0,1776.0,967.0,1396.0,762.0,2820.0,3343.0,2872.0,4729.0,4016.0,2346.0,4296.0,4021.0,5017.0,5725.0,9018.0,6974.0,5790.0,1870.0,3676.0,8372.0
Aktywa trwałe,1159.0,1872.0,3299.0,5354.0,5818.0,6121.0,6412.0,6730.0,7683.0,8963.0,18840.0,18503.0,19122.0,20195.0,47106.0,48965.0,50433.0,51215.0,55764.0,56248.0,54747.0
Wartości niematerialne i prawne,51.0,213.0,197.0,146.0,139.0,314.0,451.0,638.0,882.0,1037.0,1353.0,1517.0,1759.0,1866.0,20970.0,21269.0,19067.0,18937.0,18815.0,18762.0,25462.0
Rzeczowe składniki majątku trwałego,758.0,1098.0,1503.0,3605.0,3711.0,3546.0,3534.0,3489.0,3725.0,4130.0,14402.0,14253.0,14600.0,15951.0,23500.0,24931.0,24920.0,24135.0,26971.0,25140.0,23121.0
Należności długoterminowe,0.0,128.0,754.0,889.0,873.0,931.0,931.0,932.0,931.0,1779.0,1899.0,1216.0,576.0,476.0,400.0,235.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,293.0,375.0,153.0,621.0,720.0,1116.0,1238.0,1462.0,1609.0,1669.0,1181.0,1398.0,1697.0,1296.0,1539.0,1813.0,1079.0,1402.0,1643.0,1946.0,1169.0
Pozostałe aktywa trwałe,57.0,58.0,692.0,93.0,375.0,214.0,258.0,209.0,536.0,348.0,5.0,119.0,490.0,606.0,697.0,717.0,5367.0,6741.0,8335.0,10400.0,4995.0
Aktywa obrotowe,12021.0,14965.0,16637.0,24964.0,21779.0,23557.0,25870.0,30895.0,39390.0,45738.0,49452.0,53695.0,63699.0,74567.0,93602.0,105975.0,115307.0,129135.0,123694.0,134451.0,143770.0
Zapasy,27.0,52.0,89.0,109.0,114.0,155.0,140.0,156.0,85.0,40.0,152.0,248.0,0.0,13.0,144.0,226.0,45.0,38.0,30.0,30.0,16.0
Należności krótkoterminowe,9508.0,11104.0,11164.0,18620.0,17200.0,15271.0,19591.0,18175.0,26446.0,28291.0,30527.0,34857.0,44381.0,46131.0,62114.0,75406.0,77881.0,81006.0,77050.0,89867.0,88720.0
