,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Period,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-0.46,-24.06,12.61,2.8,-13.36,6.8,10.1,0.48,41.68,61.5,37.92,23.18,36.48,24.94,-5.41,16.34,23.52,0.35,31.76,131.72,-0.82,35.66,23.02,-39.6,7.05,4.5,-7.65,-14.15,2.63,2.53,-17.0,-5.33,11.11,-11.91
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-4.66,-23.57,13.28,1.95,-10.5,9.16,28.63,14.88,65.85,89.3,39.75,27.82,43.06,31.83,0.1,11.16,18.9,-3.18,30.1,58.92,5.03,12.67,20.19,-9.02,-3.95,18.71,-11.05,-21.39,2.22,3.63,-15.07,1.47,10.71,-5.05
Koszty sprzedaży,,,,,-0.38,16.94,-21.87,17.63,52.25,4.88,58.49,43.46,27.3,75.77,9.3,-7.16,-10.43,-30.92,-9.76,28.89,24.83,45.05,41.22,27.25,7.32,33.94,21.56,-0.98,23.34,-6.03,-9.45,20.4,-7.88,-1.02,-16.51,-29.86,17.92,-18.95
Koszty ogólnego zarządu,,,,,95.06,-49.15,19.59,12.84,51.65,96.5,-78.75,-83.16,-83.55,-77.25,23.8,37.91,-7.5,24.2,-3.72,2.39,30.14,36.79,22.76,146.38,-14.59,181.77,62.78,-6.41,149.09,-22.06,61.35,71.99,24.53,-0.65,7.9,-28.65,34.4,80.15
Zysk ze sprzedaży,,,,,-12.5,-23.13,39.48,-6.43,-109.12,-68.98,-51.28,-58.22,382.71,15.92,76.42,-18.36,28.69,12.56,-108.11,170.08,176.19,-0.89,262.24,1258.71,-93.22,803.53,411.95,-94.9,1807.59,-52.13,52.21,51.94,10.24,-5.57,-109.16,-44.66,-1.9,-165.15
Pozostałe przychody operacyjne,,,,,-28.85,496.3,87.13,762.96,191.71,-70.95,332.28,2.86,-92.42,10.2,-68.18,37.97,1712.5,194.48,360.77,-39.42,-8.97,24.78,129.38,-424.79,-40.53,49.84,-40.57,245.54,169.21,-106.51,-69.75,-71.81,-97.95,291.67,178.34,-18.1,1519.23,-87.61
Pozostałe koszty operacyjne,,,,,33.51,-26.01,47.47,975.18,-268.53,378.75,-77.5,-66.23,122.93,-91.19,243.06,24.8,791.75,282.6,161.94,34.43,192.02,25.56,214.06,124.56,-72.25,267.9,-35.24,73.35,-107.85,-115.57,-100.0,-25.0,436.36,374.93,,-88.8,14.59,219.8
Zysk operacyjny (EBIT),,,,,-14.41,37.82,41.11,-19.25,-91.9,-195.58,-21.11,-46.77,210.51,133.76,14.89,-11.14,33.12,2.93,-85.39,116.6,90.76,-0.85,191.27,1251.06,-96.11,394.76,88.1,-95.37,5564.47,0.15,52.8,21.26,-8.55,-69.31,-63.8,-9.23,2.73,-836.18
Przychody finansowe,,,,,-74.31,-46.97,-65.38,192.86,-7.14,-117.14,3.7,-53.85,-119.23,9650.0,-100.0,-100.0,100.0,-100.0,,,,,-100.0,-100.0,532.42,-2625.81,,,-85.9,123.12,203.83,13.7,-563.96,-279.56,-99.89,-98.34,95.73,363.08
