,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,28.0,265.0,391.0,577.0,697.0,829.0,1860.0,1146.0,1021.0,1891.0,2449.0,3142.0,2648.0,4766.0,4992.0,5063.0,5552.0,7210.0,5636.0,6817.0,6509.0,7700.0,9511.0,7069.0,7788.0,5873.0,6136.0,5924.0
Techniczny koszt wytworzenia produkcji sprzedanej,55.0,231.0,460.0,270.0,467.0,451.0,1076.0,415.0,607.0,630.0,1083.0,1570.0,1122.0,2430.0,2818.0,6455.0,4050.0,4369.0,4062.0,6260.0,4012.0,7096.0,7824.0,5907.0,6064.0,5040.0,5414.0,5436.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-27.0,34.0,-69.0,307.0,230.0,378.0,784.0,731.0,414.0,1261.0,1366.0,1572.0,1526.0,2336.0,2174.0,-1392.0,1502.0,2841.0,1574.0,557.0,2497.0,604.0,1687.0,1162.0,1724.0,833.0,722.0,488.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,4.0,-4.0,4.0,0.0,85.0,112.0,373.0,-460.0,15.0,-4.0,-6.0,2606.0,9.0,67.0,0.0,-23.0,0.0,46.0,80.0,-76.0,15.0,0.0,2.0,1.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,115.0,180.0,334.0,-477.0,23.0,8.0,72.0,30.0,76.0,366.0,39.0,-45.0,0.0,0.0,0.0,357.0,7.0,13.0,21.0,954.0
Zysk operacyjny (EBIT),-27.0,34.0,-69.0,307.0,234.0,374.0,788.0,455.0,384.0,1193.0,1405.0,1589.0,1518.0,2324.0,2096.0,1184.0,1435.0,2542.0,1535.0,579.0,2497.0,650.0,1767.0,729.0,1732.0,820.0,703.0,-465.0
Przychody finansowe,0.0,0.0,93.0,109.0,4.0,0.0,37.0,494.0,336.0,100.0,104.0,105.0,247.0,1219.0,490.0,6.0,1540.0,-20.0,-154.0,56.0,34.0,386.0,169.0,-124.0,58.0,137.0,111.0,211.0
Koszty finansowe,0.0,0.0,0.0,2.0,1.0,-1.0,2.0,6.0,5.0,3.0,-5.0,1.0,2.0,17.0,2.0,9.0,16.0,89.0,-90.0,1.0,1.0,3.0,12.0,16155.0,21.0,190.0,-56.0,7556.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-2.0,24.0,49.0,31.0,145.0,158.0,31738.0,118.0,-13.0,-10.0,158.0,-47.0,-8.0,-139.0,-200.0,503.0,-90.0,-121.0,-397.0
Zysk z działalności gospodarczej,-27.0,34.0,24.0,414.0,237.0,375.0,823.0,943.0,708.0,1288.0,1538.0,1742.0,1794.0,3671.0,2742.0,32919.0,3077.0,2420.0,1461.0,792.0,2483.0,1025.0,1785.0,-15750.0,2272.0,677.0,749.0,-8207.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-27.0,34.0,24.0,414.0,237.0,375.0,823.0,943.0,708.0,1288.0,1538.0,1742.0,1794.0,3671.0,2742.0,32919.0,3077.0,2420.0,1461.0,792.0,2483.0,1025.0,1785.0,-15750.0,2272.0,677.0,749.0,-8207.0
