,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,1.58,-9.65,-4.57,-9.07,2.57,13.32,15.84,17.73,3.53,3.16,0.24,-4.7,-12.43,-13.37,-13.29,-13.33,-9.6,-5.52,-0.11,17.06,19.23,13.5,15.02,-1.44,-4.92,-11.32,-6.69,-7.83,-6.91,-4.0,-9.31,-2.99,-2.99,-0.39,1.65,11.12,11.35,8.12,6.5,6.07,2.0,1.2,5.23,-3.86,4.33,-4.57,-8.03,-2.92,-7.63,-8.65,2.96,4.74,10.95,4.46,13.28,9.3,-6.11,-51.99,-34.19,-40.67,-49.6,55.8,38.08,56.74,73.41,29.75,0.26,-5.87,16.88,24.83,36.05,32.36,30.46
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,5.73,1.6,6.3,-14.83,6.25,5.35,10.31,10.78,-2.78,-4.24,-3.55,-4.68,-4.81,0.42,-5.45,-7.53,-12.55,-15.96,0.92,23.43,32.31,31.71,22.62,2.64,2.67,-1.65,3.41,-3.0,-11.03,-6.13,-2.39,-0.84,6.05,2.76,-5.49,1.21,4.77,6.69,0.73,6.03,5.72,3.16,12.33,6.34,3.2,-4.84,-8.71,-5.88,-8.51,-7.37,-0.15,-1.91,11.93,5.01,9.98,6.53,-6.1,-34.39,-29.03,-24.5,-36.82,19.98,25.61,33.43,46.07,23.94,9.72,-9.53,7.53,17.41,23.88,24.04,28.23
Koszty sprzedaży,,,,,50.12,25.37,16.7,-5.3,-6.4,-4.48,4.77,35.69,9.03,24.42,15.32,-4.29,-13.12,-24.8,-24.63,-24.51,-22.8,-5.2,-1.39,-0.84,9.66,-3.16,2.39,-3.2,-7.53,-13.47,-11.68,-18.04,-1.16,-3.87,-32.88,-3.43,-19.47,-5.59,44.45,37.47,24.52,14.39,25.96,8.8,-8.05,0.2,-19.83,-20.91,4.67,-19.14,-10.57,-8.29,-10.35,0.49,2.47,7.67,3.12,1.69,8.74,14.95,0.34,-40.79,-32.54,-40.03,-28.59,36.06,20.89,19.85,25.69,14.82,3.55,7.55,-0.13,18.81,22.57,23.43,31.81
Koszty ogólnego zarządu,,,,,25.04,13.22,-25.11,-8.7,-11.88,-16.52,-15.43,6.76,12.83,44.63,45.99,18.46,-10.51,-35.14,-25.04,-34.26,-3.64,10.51,9.9,23.62,10.33,3.52,24.09,-7.06,-7.75,-1.4,-2.83,-0.45,-1.11,-1.44,-3.09,1.71,4.44,8.01,-0.77,7.55,-4.8,-1.01,-4.33,9.87,-0.01,7.26,12.66,-1.87,10.81,-1.09,5.65,5.25,9.46,12.78,7.13,1.26,7.88,5.57,4.96,16.7,3.28,-27.51,-5.91,-16.86,-1.67,39.08,14.23,16.31,6.93,13.61,18.85,11.75,27.88,26.57,22.41,28.32,8.27
Zysk ze sprzedaży,,,,,-76.67,-93.0,-73.87,45.28,51.88,943.59,293.36,28.4,29.98,-29.48,-38.91,-33.79,-72.03,-29.74,-15.94,31.57,186.21,62.17,-17.48,18.29,-43.68,-24.24,-31.65,-18.94,-124.95,-89.97,-192.24,-30.52,137.69,123.64,-21.77,-36.11,-963.49,-88.9,-11.83,76.24,127.01,334.51,20.73,-10.75,-54.45,-181.06,11.86,-57.98,35.45,364.74,-5.69,98.9,-162.73,-236.12,53.22,103.95,313.33,-4.87,259.08,7.48,-366.54,-508.18,-360.14,-195.03,-1069.09,49.34,152.1,184.09,61.1,48.69,-291.84,-31.24,75.47,91.18,181.43,173.9,252.7
Pozostałe przychody operacyjne,,,,,-18.22,-6.97,-8.29,-41.36,28.71,-34.18,-50.61,31.08,-60.31,11.6,105.22,-17.48,50.24,-15.04,-22.63,13.16,36.08,123.11,18.37,62.0,7.33,-36.98,-31.23,-32.76,-13.83,25.9,39.5,46.96,-47.11,-0.9,-19.37,53.66,4.98,-54.64,78.24,-86.26,31.1,28.32,24.34,200.17,22.98,-13.89,-75.73,285.53,0.16,0.44,59.28,-79.64,284.88,7.48,-48.65,-67.1,-99.22,-59.89,102.89,257.74,6889.92,709.52,420.06,25.96,1.15,-64.42,-72.74,-55.11,-83.93,8.74,293.4,-27.31,6.96,-16.13,-80.13,46.17,95.34
Pozostałe koszty operacyjne,,,,,279.81,-109.67,29.36,-40.63,-61.35,866.28,-52.31,-32.62,-47.22,-38.16,108.15,1039.55,66.35,158.45,2.66,-76.98,50.27,82.83,-43.4,-24.91,-16.03,-76.58,4.53,168.33,-22.32,44.45,40.31,24.92,-13.57,19.74,-14.34,-69.59,3.02,-55.46,-10.38,127.63,-17.69,-23.76,-31.46,-72.52,-28.41,-24.61,12.06,-37.91,-7.06,11.83,2.07,2641.29,25.45,776.43,-54.98,-82.89,-43.74,-90.23,-26.04,-29.47,1459.64,503.51,256.97,-1.33,-96.62,-57.8,-56.33,-66.0,110.79,-58.39,-45.27,1223.58,-38.39,-32.78,121.45,-68.17,-3.96
Zysk operacyjny (EBIT),,,,,-93.69,-82.45,-81.03,68.6,473.46,309.18,427.94,47.92,20.14,-24.88,-43.85,-182.6,-74.77,-50.66,-25.57,176.86,192.42,61.77,8.11,55.54,-38.92,9.48,-42.31,-75.74,-121.01,-91.41,-226.72,-142.17,86.44,89.85,-17.99,593.58,-3198.62,-99.88,17.49,-92.77,126.46,72080.0,54.64,1440.83,19.68,-137.49,-117.22,44.84,17.6,601.55,6.14,-400.67,266.82,-435.72,55.44,119.72,-96.4,59.75,303.62,71.49,-4249.26,-481.49,-152.73,-237.3,-153.34,48.28,355.87,169.86,54.13,57.27,-98.75,-226.45,78.04,105.68,10387.77,212.58,310.51
Przychody finansowe,,,,,-31.78,-52.01,29.13,-20.95,0.51,112.11,-14.89,42.62,49.57,37.01,-5.59,18.19,-36.78,-55.42,-35.48,-40.34,11.18,31.68,17.64,7.6,-6.64,30.74,18.18,123.88,40.25,-50.77,3.59,-25.63,-54.62,-37.52,-43.02,-49.75,-16.15,68.81,81.72,-18.42,-38.48,-40.98,-88.73,-55.3,24.88,-44.37,21.4,-26.79,-47.71,-4.72,1858.63,25.23,-7.93,3804.11,-94.45,-19.0,-17.1,-81.77,434.44,412.63,-45.04,-27.22,-95.97,129.66,-91.4,211.62,-8406.92,-55.12,1596.67,-38.32,106.45,-141.66,10021.61,-317.52,-3044.54,2350.59,-88.53
