,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,,,,,69.0,59.76,-35.33,5.51,1.39,10.64,19.24,45.24,20.65,14.41,5.99,9.14,25.55,5.52,-26.13,64.32,25.41,8.71,60.12,-15.42,-2.89,-4.96,5.86,9.52,8.53,13.06,-24.36,39.78,-4.81,-21.4,41.15,-12.32,40.26,27.6,25.61,92.94,61.61,40.09,28.15,-3.77,-5.44,0.5,4.27,-7.2,-9.18,-8.46,-13.8,19.6,39.87,25.93,51.13,56.5,33.84,15.46,15.41,7.13,26.6,17.83,6.87,7.63,5.04,6.94,27.15,41.94,37.28,24.24
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,77.56,56.06,-34.03,-6.29,-11.88,5.95,8.51,49.98,28.04,11.53,6.89,8.27,22.98,13.49,-21.48,84.84,35.48,15.44,74.61,-11.24,-4.42,-7.63,-1.39,3.21,7.66,16.4,-23.62,37.81,-3.77,-22.52,46.27,-6.71,49.61,32.46,29.53,103.65,54.92,37.92,26.12,-5.61,-5.64,-0.05,-1.0,-17.72,-10.95,-6.04,-6.81,35.46,53.91,34.85,57.44,67.08,34.66,11.9,12.28,1.66,22.55,18.24,8.19,10.24,8.34,8.86,29.57,37.75,32.92,16.75
Koszty sprzedaży,,,,,66.34,63.61,-35.89,116.82,28.88,17.97,35.73,-33.96,6.05,-1.9,-6.06,13.34,34.4,46.24,4.56,52.96,2.03,-10.5,18.03,-19.89,-3.14,-8.9,-0.86,-9.12,3.79,0.13,-1.19,48.55,3.23,-7.46,13.37,-13.11,22.96,14.36,7.78,-0.75,15.42,12.62,23.59,-23.45,0.5,6.55,14.24,55.91,4.11,-1.86,-14.91,16.58,16.03,18.91,23.09,18.94,14.44,-5.3,18.18,9.58,-7.51,-20.89,-26.78,-25.25,3.62,21.17,23.41,36.64,32.09,28.74
Koszty ogólnego zarządu,,,,,54.81,28.5,-63.3,152.91,46.22,49.17,123.74,3.02,13.68,56.75,-13.33,36.5,13.82,-8.06,7.58,-27.0,47.0,7.39,10.47,40.16,0.68,10.49,14.86,5.29,3.86,34.06,-2.22,3.91,3.9,-20.81,12.34,-15.28,17.44,14.2,13.58,51.68,22.54,59.65,36.2,28.45,13.98,6.1,14.01,-10.14,7.03,-1.62,-7.66,16.57,4.94,4.81,23.87,26.65,24.95,21.05,15.33,15.99,88.73,104.5,69.97,49.77,4.26,-8.63,11.8,32.89,29.3,34.66
Zysk ze sprzedaży,,,,,-645.83,79.29,-30.08,-458.02,34.35,20.12,38.09,83.73,-3.49,36.55,25.87,-84.42,3.37,-47.57,-86.62,-26.76,-212.79,0.37,151.11,-62.56,42.75,19.2,147.31,74.09,156.49,4.22,-74.67,56.46,-488.51,-32.06,150.21,-369.09,-57.99,17.88,35.58,274.16,516.67,99.58,56.09,45.03,-28.81,-3.73,31.0,21.59,-41.73,-33.5,-64.44,-95.5,-34.78,-33.33,68.7,91.59,193.02,135.73,62.25,923.9,131.29,23.28,11.89,-2.05,-27.6,-9.02,19.47,172.91,131.04,87.75
Pozostałe przychody operacyjne,,,,,-96.81,-14.29,1500.0,25.0,-100.0,41.67,-50.0,-16.67,,-100.0,300.0,-32.0,-100.0,,-78.12,-58.82,,,57.14,128.57,33.33,-61.43,190.91,318.75,-100.0,-40.74,-93.75,-38.81,,-56.25,-200.0,-36.59,1000.0,1214.29,12400.0,769.23,27.27,-76.09,-93.09,-32.74,228.57,277.27,23.53,-48.03,-34.78,-50.6,-76.19,-50.63,-53.33,-46.34,1960.0,115.38,264.29,90.91,-36.89,430.95,60.78,295.24,63.08,-42.83,93.9,4.22,114.15,-14.12,-18.87,202.31
Pozostałe koszty operacyjne,,,,,-100.0,449.57,194.12,332.76,,-93.67,120.0,134.26,-91.3,427.5,20.0,-85.03,1700.0,-25.59,-19.7,1.14,-72.22,83.44,159.43,251.69,146.67,164.24,-29.09,12.78,143.24,-69.65,-47.69,-4.53,-65.56,84.42,322.55,176.85,66.13,-10.56,-8.12,47.27,274.76,13.39,-85.86,-38.43,-88.6,-66.44,83.93,148.58,111.36,132.41,149.51,-67.38,-16.13,-12.46,39.69,-14.58,66.67,85.76,-8.08,-15.53,-36.92,-66.61,-36.06,31.31,8.54,44.81,-27.01,-23.23,-30.34,3.02
Zysk operacyjny (EBIT),,,,,-260.0,63.02,-30.91,-464.85,-21.09,36.52,35.2,63.36,45.81,33.56,26.97,17.62,-130.95,-48.15,-89.23,-25.74,-52.58,-1.08,146.74,-79.23,24.32,7.68,203.56,62.22,58.48,16.63,-76.89,30.68,-329.03,-37.35,120.29,-264.64,-56.89,24.21,68.05,111.9,396.01,103.73,64.72,530.5,-14.41,0.33,30.17,-72.01,-45.78,-36.6,-69.03,-252.97,-37.44,-34.79,79.96,45.0,213.2,139.78,67.81,790.24,142.14,30.72,16.12,-18.98,-25.88,-9.74,23.24,220.95,127.91,92.15
Przychody finansowe,,,,,,,,152.43,15.91,-508.33,72.0,-8.08,-94.12,222.45,-83.72,-0.42,-66.67,251.67,1971.43,-100.0,13100.0,-84.36,-60.0,,-76.52,6.06,-56.9,65.87,-100.0,128.57,292.0,-12.75,,-36.25,94.9,-100.66,16.67,-17.65,-91.62,8700.0,642.86,21.43,306.25,-90.12,-76.92,364.71,-367.69,-541.18,950.0,-117.72,100.57,241.33,-80.95,309.52,-8900.0,-100.0,387.5,350.0,309.09,,-100.0,-100.0,-94.57,237.5,,,-100.0,-100.0,,
