,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Period,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,,,,,152.14,38.49,139.97,-20.17,-16.84,45.17,-0.91,41.09,18.37,-40.21,330.17,271.53,49.45,487.75,-54.5,-60.86,67.29,-11.22
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,130.82,35.45,179.18,-46.8,-4.95,36.41,-7.35,101.81,24.8,-4.72,315.06,202.39,18.82,275.24,-56.27,-43.18,101.4,10.09
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,379.0,730.0,-32.72,1007.25,-77.79,369.88,116.67,-71.51,-122.75,-422.05,448.26,1179.63,3637.74,188.69,-43.97,-115.74,-70.61,-298.2
Pozostałe przychody operacyjne,,,,,-10.0,-44.44,11.76,-87.23,-83.33,6210.0,-100.0,1412.5,5600.0,-94.14,,-74.38,463.74,-86.49,-76.59,-930.11,-78.42,11300.0
Pozostałe koszty operacyjne,,,,,,,-100.0,,,,,,,,,505.78,-7.32,-81.6,-54.26,-98.66,505.26,7921.74
Zysk operacyjny (EBIT),,,,,346.44,232.14,-30.97,486.33,-77.88,997.85,107.66,-63.6,-67.37,-231.64,459.96,777.94,3537.66,181.55,-45.45,-128.39,-81.11,-417.79
Przychody finansowe,,,,,200.0,-133.33,933.33,250.0,-44.44,900.0,177.42,-664.29,-100.0,337.5,-140.7,945.57,,-94.29,111.43,103.89,-66.67,28250.0
Koszty finansowe,,,,,6.9,-30.43,-2.56,-3.12,64.52,75.0,21.05,454.84,519.61,351.79,1060.87,351.74,473.1,-290.51,-11.61,-26.77,-6.41,-49.59
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,100.0,100.0,-100.0,,,
Zysk z działalności gospodarczej,,,,,390.61,500.0,-28.12,526.43,-81.82,1521.67,119.78,-74.25,-236.32,-262.38,383.62,1131.76,483.4,200.0,-49.17,-117.94,-217.32,-238.92
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,390.61,500.0,-28.12,526.43,-81.82,1521.67,119.78,-74.25,-236.32,-262.38,383.62,1131.76,483.4,200.0,-49.17,-117.94,-217.32,-238.92
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,409.15,550.0,-28.69,486.12,-85.51,2369.44,181.3,-94.73,-330.58,-320.13,361.63,5906.12,456.27,116.1,-67.21,-96.98,-184.0,-789.84
Zysk netto akcjonariuszy jednostki dominującej,,,,,409.15,550.0,-28.69,486.12,-85.51,2369.44,181.3,-94.73,-330.58,-320.13,361.63,5906.12,456.27,116.1,-67.21,-96.98,-184.0,-789.84
Aktywa trwałe,,,,,55.35,29.63,25.98,15.4,51.23,55.63,55.96,53.54,9.43,9.02,7.56,4.24,4.18,-1.67,-1.8,1.23,-1.45,-4.86
Wartości niematerialne i prawne,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,4156.96,4820.86,5756.67,9.71,-98.5,7.15,2.19
Rzeczowe składniki majątku trwałego,,,,,-39.11,-45.75,-40.64,-37.65,1444.53,1746.09,1898.2,2091.09,-2.69,16.67,7.08,3.48,1.7,-23.33,-20.0,294.24,-29.7,-31.44
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,22.55,22.55,22.55,0.69,1.04,1.04,1.04,-100.0,-100.0,-100.0,-100.0,,,,,,,
Pozostałe aktywa trwałe,,,,,71.65,36.33,30.37,19.74,15.88,21.52,21.37,27.46,23.63,15.09,-91.16,-96.98,-97.01,-97.07,-63.43,0.0,0.51,0.0
Aktywa obrotowe,,,,,247.38,203.82,86.95,1.66,20.74,42.01,67.04,50.33,118.3,138.92,108.1,221.45,156.13,129.9,69.64,21.36,8.83,-10.05
Zapasy,,,,,165.12,389.14,330.46,90.44,215.64,29.78,53.05,24.91,200.14,61.22,-100.0,267.92,114.54,82.01,,24.68,-28.84,-71.91
Należności krótkoterminowe,,,,,249.49,634.18,25.62,-5.38,122.34,-0.39,9.0,-13.88,37.42,146.21,1014.03,519.14,444.57,467.89,82.35,15.29,22.53,3.09
Inwestycje krótkoterminowe,,,,,254.9,40.18,97.94,-0.59,-42.56,117.44,89.78,280.71,198.69,-94.07,-70.87,-20.85,-35.82,2136.05,37.35,68.69,-17.1,-19.05
Środki pieniężne i inne aktywa pieniężne,,,,,254.9,40.18,97.94,-0.59,-42.56,117.44,89.78,275.4,198.69,-94.07,-70.87,-19.73,-35.82,2136.05,37.35,68.69,-17.1,-19.05
Pozostałe aktywa obrotowe,,,,,281.2,53.21,-6.61,-41.47,-36.77,14.37,75.47,1015.89,491.84,9292.15,1994.62,-67.18,-67.59,-96.23,-89.01,-71.61,-81.7,-76.96
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,150.86,107.12,63.84,5.07,30.23,46.74,63.81,51.2,78.94,91.05,80.21,161.27,122.54,102.23,57.81,19.14,7.77,-9.52
Kapitał własny akcjonariuszy jednostki dominującej,,,,,141.28,142.99,17.64,41.24,30.29,40.99,47.0,15.29,11.11,-15.6,18.84,73.89,86.29,129.65,60.12,60.94,49.89,37.34
Kapitał (fundusz) podstawowy,,,,,10.87,10.87,10.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.73,13.73,13.73
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,107.95,138.45,138.45,14.14,14.67,46.06,46.06,46.06,46.06,0.0,-11.19,-69.01,-69.01,-69.01,-65.1,304.69,304.69,304.69
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,,,,,,722.24,955.22,231.29,293.31,119.45,108.69,23.74,-13.07,-14.59,-20.49
Z tytułu dostaw i usług,,,,,,,,,,,,,,,,456.35,,,,49.48,11.83,18.83
Kredyty i pożyczki,,,,,,,,,,,,,,,,1.73,,,,278.9,251.78,218.03
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,33.97,,,,-32.1,-24.46,-38.31
Inne zobowiązania długoterminowe,,,,,,,,,,,,,-100.0,-100.0,-100.0,,,,,97.97,94.57,28.44
Zobowiązania krótkoterminowe,,,,,-100.0,31.97,118.67,-40.97,,139.43,16.04,-7.03,17.21,70.48,116.13,426.77,402.44,168.45,125.02,30.68,5.15,-28.74
Inne zobowiązania krótkoterminowe,,,,,,,,-40.97,,,,-72.68,,,,1067.0,,,,1.97,-16.85,-54.81
Rozliczenia międzyokresowe,,,,,422.24,130.72,141.53,54.29,-48.86,-31.75,-19.24,9.24,20.7,69.79,-100.0,-100.0,-100.0,-100.0,,,,
Pasywa razem,,,,,150.86,107.12,63.84,5.07,30.23,46.74,63.81,51.2,78.94,91.05,80.21,161.27,122.54,102.23,57.81,19.14,7.77,-9.52
Przepływy pieniężne z działalności operacyjnej,,,,,431.76,-1776.27,1734.1,-211.97,-62.29,156.21,-49.82,22.36,-374.18,-561.91,-358.07,140.33,138.91,120.74,70.0,-126.55,-339.99,5.16
Amortyzacja,,,,,-5.41,-37.14,-69.44,-76.47,314.29,604.55,1518.18,3112.5,24.14,14.19,11.8,-21.79,8.89,10.17,3.02,-8.46,110.71,169.23
Przepływy pieniężne z działalności inwestycyjnej,,,,,100.0,100.0,75.0,95.19,,,-5716.67,13860.0,76.36,139.93,96.85,-164.97,100.0,-383.18,-1918.18,93.51,,52.81
CAPEX (niematerialne i rzeczowe),,,,,-100.0,-100.0,,-75.0,,,-100.0,-96.3,,-100.0,,41800.0,-100.0,,2072.73,-55.61,,-18.48
Przepływy pieniężne z działalności finansowej,,,,,-65.97,-75.34,-104.29,100.7,-112.08,-289.01,6406.19,-110.72,16555.81,-215.12,65.49,558.7,-121.06,-174.35,-95.74,737.44,-51.14,-36.92
Emisja akcji,,,,,,,,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,747.91,-5521.25,146.86,-246.98,-68.48,147.24,72.62,9.2,79.34,-682.33,-54.39,150.89,-91.11,104.98,-144.04,120.32,-2841.2,-44.78
