,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Period,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,,,,,47.12,12.98,6.68,56.2,44.25,64.36,38.96,48.01,28.49,9.63,32.02,22.17,9.58,1.78,16.19,-10.81,4.26,10.91,-31.29,5.09,-6.14,-20.31,19.07,37.14,17.38,8.72,-8.14,-16.34,-0.33,4.14,2.95,7.23,0.49,-14.13,-6.29,-0.21,5.65,-3.83,-1.4,-5.81,-4.6,-5.11,-12.49,-18.71,-16.91,8.4,0.28,5.15,-2.55,111.89,1.64,26.38,31.36,-54.57,-28.48,-16.97,-25.77,-30.26,42.78,20.32,58.07,80.47,13.25,6.69,-1.95,-2.43,-24.48,-12.76,-25.79
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,39.88,0.98,4.72,58.57,41.23,71.03,32.58,42.33,19.67,4.38,33.56,24.45,8.17,6.43,18.41,-11.7,1.29,13.53,-38.66,-10.94,-7.18,-4.27,20.46,44.29,25.45,-14.91,-9.86,-11.0,-4.13,14.44,9.28,8.69,1.93,-19.01,-11.69,1.98,5.48,2.1,-1.96,-4.06,-6.55,-0.93,-16.26,-17.3,-12.84,6.86,5.61,-0.63,-5.62,108.45,7.54,48.16,42.35,-55.36,-13.27,-19.91,-15.1,-22.46,28.96,15.24,39.73,61.96,1.12,15.65,-8.03,2.4,-22.49,-7.63,-21.0
Koszty sprzedaży,,,,,62.07,46.46,52.04,31.76,49.53,37.94,44.73,57.21,43.6,59.18,32.51,16.64,23.6,2.07,10.62,-4.11,6.7,-0.08,-4.45,24.33,6.22,-4.02,1.26,18.1,4.7,11.0,0.55,-14.85,3.47,-8.27,-0.03,4.07,-3.08,-3.85,1.83,-8.49,0.38,0.34,-3.76,3.23,-0.07,-1.8,-2.83,-9.33,-9.94,-2.41,-8.63,-0.55,-6.07,93.5,3.98,4.95,11.81,-52.96,-30.65,-12.76,-16.54,-15.72,32.17,18.17,30.63,52.8,43.36,18.04,26.91,12.63,4.33,2.03,-11.76
Koszty ogólnego zarządu,,,,,69.71,51.49,4.6,86.03,11.06,95.67,57.43,-16.54,43.03,-11.57,5.25,5.94,-25.39,9.63,-8.49,-2.28,7.72,-6.72,-7.37,20.97,10.92,-16.07,-5.89,-21.7,-16.2,-1.38,17.43,18.84,9.76,-5.74,-8.1,-5.15,-1.08,5.56,-5.61,4.26,5.67,5.33,-5.03,-8.42,-16.96,2.93,11.62,5.3,6.59,0.78,-1.17,-5.19,5.45,89.69,31.98,-6.31,39.29,-59.89,-25.56,10.61,-19.79,101.48,20.43,6.03,-3.64,-45.38,1.32,-9.04,-47.92,59.62,1.2,-6.37,115.53
Zysk ze sprzedaży,,,,,-42.03,6.84,-71.91,13.06,66.15,89.77,148.18,49.93,105.71,-59.11,26.9,53.19,-7240.0,-71.26,34.1,-294.07,44.26,258.79,-82.17,52.41,-530.65,-415.41,559.5,509.65,19.64,103.24,-42.05,-121.94,15.87,-190.42,-61.19,72.54,17.09,-226.27,53.71,616.67,69.94,-361.82,49.49,-289.08,2.13,-54.67,-55.31,-162.4,-693.24,41.05,15.54,63.54,41.9,44.11,-244.89,-109.95,-16.04,63.69,-266.21,12.87,-228.59,-1015.81,53.6,61.9,91.88,86.26,-20.15,-509.06,-386.63,-615.46,-220.58,-78.44,-209.08
Pozostałe przychody operacyjne,,,,,1320.0,1689.47,12840.0,555.56,1.41,67.06,-85.63,-79.49,98.61,18.49,21.51,140.5,-48.95,-50.97,138.94,-21.31,302.74,-30.0,20.37,-17.47,-43.54,86.58,39.69,32.8,40.96,-24.83,-49.34,1.59,72.65,31.48,62.17,40.0,-18.07,12.68,11.53,22.97,14.8,6.04,5.05,8.43,-4.74,0.0,83.07,-34.87,-15.47,-11.98,-62.5,-23.55,276.8,56.25,-47.67,80.17,-7.37,29.86,1038.22,18.74,-39.04,-68.43,13.93,503.55,9.37,198.61,-34.09,285.16,-7.44,509.8,-10.13,-91.91,480.42
Pozostałe koszty operacyjne,,,,,-57.09,215.83,352.94,-39.52,-23.21,38.85,7.79,-41.33,-22.09,10.88,-91.57,600.0,114.93,96.73,2342.86,-50.0,-52.78,59.62,-63.74,237.66,126.47,105.95,587.1,-33.08,96.1,-14.96,-56.34,-18.68,3.31,-81.56,39.25,-12.72,16.99,-2.76,100.39,36.03,-6.85,134.12,55.88,-43.75,27.35,314.37,12.36,27.51,90.76,-75.23,-59.19,116.6,29.42,28.6,-74.39,-89.27,-77.46,-29.75,65.26,305.36,-53.53,1295.63,77.71,-23.79,17.86,-91.63,88.53,1061.85,178.03,1585.42,22.24,124.18,1322.62
Zysk operacyjny (EBIT),,,,,10.0,8.52,-51.61,45.32,66.13,89.58,45.43,30.34,145.5,-54.35,31.59,44.95,-1012.79,-78.86,32.45,-253.95,78.09,240.32,-75.09,23.14,-1352.33,-526.49,361.76,358.77,16.53,93.42,-41.36,-123.92,23.02,95.44,-57.04,92.28,10.22,-1755.56,26.0,2076.09,73.42,-606.79,32.25,-236.08,-26.63,-98.76,-51.88,-217.7,-684.33,53.1,22.36,55.65,52.05,46.56,-249.04,-54.33,23.96,88.27,-170.64,11.26,-385.65,-6396.14,78.78,178.38,99.84,94.89,-173.78,91.77,-23390.91,-1502.62,-309.53,-506.77,-298.03
Przychody finansowe,,,,,,-11.11,-100.0,-100.0,-100.0,468.75,,,,-220.33,-70.97,-100.0,385.71,196.35,2777.78,,-147.06,-98.1,-21.62,123.89,41.67,-1750.0,-1.97,222.22,369.05,378.79,-100.0,-79.31,-100.0,-99.46,,55.56,,0.0,2320.0,-528.57,,-11600.0,56.2,100.0,-100.0,100.0,2.12,,,,-100.0,176.79,-30.23,292.86,,-85.16,58.93,-82.12,,269.57,-239.13,208.47,-100.0,-100.0,100.0,-98.9,,,,19600.0,0.0,-66.67,59600.0
