,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,-4.7,-3.64,6.76,14.7,47.05,24.75,123.06,8.44,0.42,5.41,-11.94,31.77,36.38,11.78,-12.42,5.74,-8.58,122.14,7.66,179.06,11.79,-26.24,34.77,-40.67,-1.73,-29.19,-15.93,0.43,4.94,30.3,0.92,-3.73,9.63,3.81,648.68,1466.7,1506.14,1999.65,214.78,14.75,6.6,-4.95,16.66,13.57,-1.74,-1.77,-15.37,-10.6,5.19,30.73,47.66,18.16,-4.3,-28.71,-34.81,-26.92,-35.78,-38.43,-21.12,-25.75,38.77,58.49,41.93,328.86,288.68,132.45,84.68,-5.83,-40.74,2.52,-6.67,-21.08,-18.8
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-3.34,-22.82,-13.59,1.55,16.39,31.7,93.05,25.66,5.1,5.54,9.81,7.23,24.99,4.99,-17.08,29.75,8.9,67.5,18.63,69.52,7.52,14.64,63.01,-10.64,23.44,-5.03,28.95,26.58,46.31,37.32,-6.75,-11.09,-1.5,6.93,704.96,2037.06,2044.67,2212.31,222.47,14.02,4.47,-2.05,21.29,15.71,4.71,-3.35,-18.58,-9.58,5.68,34.13,48.58,16.32,-9.93,-32.15,-37.15,-29.93,-41.39,-42.14,-20.96,-26.01,50.2,46.77,33.17,359.76,295.2,169.47,103.63,-9.37,-45.0,-3.16,-12.72,-25.06,-25.09
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,-17.63,,-73.6,56.79,-4.53,-16.2,21.26,-11.02,-122.84,-32.77,-18.83,96.46,507.55,52.5,-21.6,-73.42,-31.02,-34.84,14.29,35.59,28.86,21.38,-31.25,-7.5,1.04,15122.28,32684.42,41312.16,15697.42,-12.16,-6.04,-22.68,-28.55,-14.56
Koszty ogólnego zarządu,,,,,2.25,2.3,2.33,19.7,0.65,4.62,12.53,-12.59,-3.43,5.04,5.28,9.86,-3.25,-4.18,-1.06,-0.08,30.55,41.3,30.66,26.76,12.54,-8.16,39.3,-43.45,-18.64,-9.51,36.51,67.34,-24.76,-26.48,-67.86,-33.96,9.79,-34.51,100.11,178.55,157.94,218.27,58.97,23.77,8.0,12.3,-23.22,-36.44,-7.91,4.97,14.17,77.35,12.56,45.39,19.71,-4.54,2.19,-18.87,-16.68,3.38,8.2,20.93,52.94,26.48,16.12,13.06,136.54,64.2,120.11,114.31,13.95,62.3,40.21,37.98,27.03,43.25,18.82
Zysk ze sprzedaży,,,,,-10.4,90.58,61.17,64.31,124.76,32.14,233.46,-13.45,-2.51,5.45,-32.24,154.48,57.24,41.47,-10.49,-31.08,-27.61,262.93,-13.43,634.73,16.23,-62.08,-11.99,-61.95,-22.24,-96.9,-192.7,-56.64,-52.33,485.02,120.04,54.92,64.15,32.65,738.16,252.35,345.23,962.55,155.33,25.28,35.81,-94.32,-76.57,-7.6,-71.13,752.84,333.49,-44.65,-17.07,-175.34,34.65,88.09,274.82,366.94,18.29,24.5,24.68,31.37,-35.87,-34.92,-22.95,211.88,144.2,56.77,198.62,-93.11,-95.99,37.28,2.95,1072.48,2470.6,44.29,21.46
Pozostałe przychody operacyjne,,,,,675.0,72.94,-88.54,-42.14,298.39,-73.28,672.22,23.23,336.03,311.27,226.62,708.95,-79.11,-25.55,-114.87,-93.05,4.0,-83.14,222.22,326.14,592.31,1941.55,49.09,-99.2,-52.9,-28.15,474.39,21116.67,36.57,-26.16,-16.63,-11.0,30.52,-29.97,53.9,43.16,-11.47,99.63,94.93,-9.62,43.02,53.4,-47.0,157.98,0.58,48.91,49.44,-65.28,-25.12,-31.42,26.94,5360.93,35.77,-44.66,-15.34,-97.18,27.54,-36.21,-63.83,263.99,-39.89,-20.27,1.93,-84.5,16.0,41.03,31.74,330.99,252.62,4.49,-286.31,-272.09,-47.65
Pozostałe koszty operacyjne,,,,,-41.18,3612.67,-92.86,165.08,100.0,-99.93,1063.64,-80.93,-85.0,7091.67,522.66,-233.48,266.67,31.17,-179.17,210.29,236.36,-80.48,131.7,1490.09,97.3,148.87,-70.5,-73.16,328.77,-66.73,232.2,-66.94,47.92,798.91,7.14,1059.09,95.03,-87.6,312.38,14.42,52.93,267.65,-24.48,70.65,-58.15,7272.27,7395.87,586.37,-37.72,-99.01,101.94,-96.44,0.0,3130.09,-99.19,2296.27,253.06,-91.55,64.59,-73.1,-49.33,-69.29,-60.91,-80.95,-54.66,-29.54,2543.22,528.08,522.95,364.29,-92.74,-80.55,-42.5,175.79,38.08,329.98,322.75
Zysk operacyjny (EBIT),,,,,-9.44,-789.9,53.43,19.85,126.7,135.69,234.91,23.09,4.12,5.25,-32.18,239.84,46.23,27.22,-6.7,-51.31,-27.4,279.22,-18.18,566.77,25.5,-51.57,-9.27,-60.98,-26.46,-80.24,-173.54,-45.96,-49.55,-32.86,142.75,-24.32,56.7,102.41,423.98,454.0,323.89,695.11,159.2,13.75,38.96,-316.7,-230.95,-190.17,-69.42,129.63,-66.79,167.99,-18.14,-248.15,160.87,135.89,255.04,198.02,14.48,-25.02,26.51,32.46,-36.96,2.68,-23.2,206.15,97.35,-11.02,192.15,-93.34,-94.33,118.78,6.02,1057.68,1983.92,7.96,17.19
Przychody finansowe,,,,,9.48,35.33,4.36,10.17,39.59,17.5,208.54,183.41,5.28,42.96,-24.59,5.17,338.08,-94.54,-3.93,-63.09,-62.53,129.62,30.33,81.46,-36.38,547.19,34.65,-425.89,43.44,-59.71,-21.74,144.62,-20.89,103.85,-74.3,-79.47,-84.73,-74.92,-29.1,125.0,314.16,-38.46,-44.78,-57.87,-72.06,503.76,51.03,-34.6,187.26,-63.96,-15.34,-73.02,-61.88,13.03,49.24,224.03,41.43,-19.51,-27.76,38.39,81.13,-82.35,-23.88,-49.72,-76.86,86974.62,-59.23,329.94,100.13,-93.32,3532.44,196.65,585.55,-17.28,-30.08,117.11,33.83
