,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-29.14,-46.53,-25.47,38.03,0.53,-10.43,-7.21,-49.2,-13.38,-1.07,5.26,-19.94,135.46,-33.62,-7.89,72.94,53.71,172.23,26.29,-20.92,-15.44,-29.95,-19.28,-13.73,-98.92,-99.83,-99.15,-97.63,-25.61,-116.67,576.0,19.05,-65.57,19900.0,-86.98,166.0,9.52,-11.11,586.36,8.27,173.91,-113.64,-89.4,-20.49,403.17,1075.0,600.0,-96.94,-97.48,-98.72,-97.32,-71.43,-100.0,456733.35,72800.0,328150.0
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-57.65,-70.2,-64.87,121.98,-13.9,67.38,-37.35,1330.2,80.9,-27.33,128.86,-46.63,106.49,-16.95,-24.25,211.87,61.09,255.23,77.68,-33.21,-9.05,-37.36,-23.2,-13.11,-99.65,-99.28,-99.15,-99.28,52.63,10.53,5.26,5.0,-27.59,-4.76,15.0,-9.52,0.0,0.0,4.35,-47.37,-85.71,-95.0,-95.83,-140.0,-100.0,-100.0,-100.0,100.0,,,,,,,,
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,-75.15,-48.28,149.32,21.43,8.28,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-20.93,-3.44,478.5,-25.29,4.84,-6.8,-36.15,-68.87,-15.15,48.79,65.43,-99.19,135.37,-67.44,-4.42,-11733.33,-48.63,-16.82,-49.19,160.74,-39.73,39.2,-13.17,-17.17,-28.0,-40.81,-25.41,-30.98,-22.53,-8.64,-17.8,-0.83,2.93,16.25,-1.86,39.6,10.16,-3.42,6.72,-35.88,-3.87,-20.97,-15.16,-179.93,-67.75,-72.52,-22.51,135.81,-4.17,43.54,-48.5,4.55,-100.0,-100.0,-100.0,-100.0
Zysk ze sprzedaży,,,,,214.45,27.88,76.31,174.87,28.09,-1310.67,1432.35,-178.66,-194.16,-43.86,-199.12,247.05,-25.64,83.71,40.09,-120.73,17.18,-100.81,-58.92,-156.0,153.8,-255.82,-6.55,-1.43,-311.45,62.02,35.89,30.42,19.49,7.13,42.47,3.69,-10.31,16.32,-41.96,-13.41,-9.76,0.38,20.13,56.08,14.63,-7.49,-9.19,355.0,132.32,115.54,46.63,-122.17,-202.68,-339.08,23.87,-8.16,-160.13,2657.21,-222.49,2204.4
Pozostałe przychody operacyjne,,,,,56.11,149.42,179.94,385.61,433.99,269.27,-53.73,-66.55,22.89,-27.0,-27.87,158.08,-2.98,352.31,-54.1,125.04,38.52,-99.72,-33.71,-89.2,-99.14,136.36,-79.2,-89.89,-100.0,-100.0,-100.0,-100.0,,,,,,-100.0,8050.0,-66.67,,,-84.36,-133.33,,,923.53,114600.0,,-90.91,-100.0,-100.09,-100.0,-100.0,,33000.0,,,,-961.4
Pozostałe koszty operacyjne,,,,,82.79,58.09,-80.17,142.74,52.42,35.07,1.74,-42.57,4.51,-182.38,-99.66,222.96,-100.0,323.45,13250.0,-77.99,,-98.99,-97.38,22.37,1258.06,-6941.67,8614.29,-44.52,-100.0,100.12,-100.0,-97.99,,2100.0,,-100.0,,-100.0,,,,,1.44,-100.0,,,-100.0,,,-100.0,,2690.91,,,-100.0,16.81,,-152.48,,-106.13
Zysk operacyjny (EBIT),,,,,238.36,158.0,732.23,1273.52,415.35,660.92,-42.98,-123.2,-23.63,11.63,-62.37,345.85,26.79,762.92,-85.89,194.06,51.69,-107.65,-222.41,-115.14,-117.95,-84.22,-550.7,-39.27,-0.91,25.03,57.86,48.4,19.49,4.15,43.15,6.56,-10.31,19.04,-238.55,-20.47,-9.76,0.38,-17.17,57.77,14.63,-22.46,108.05,771.65,132.54,113.95,-334.91,-196.01,-202.0,-492.13,32.13,3.57,-238.56,1648.14,-189.35,138.32
Przychody finansowe,,,,,2029.41,385.0,15900.0,-101.95,614.36,427.84,2257.5,-38614.29,-88.67,-87.11,-97.08,100.96,-90.1,171.21,-21.82,123.08,75.86,-32.96,259.3,-36.21,-50.98,693.33,400.97,894.59,236.0,-104.41,-68.86,488.32,-135.71,638.1,-99.38,-101.02,3866.67,388.05,127733.33,4954.55,-35.66,-29.65,-100.0,35.21,-71.11,-25.77,,-65.93,-11.9,-94.97,48.75,-81.5,53.51,-210.34,-95.34,-12.09,-96.83,96.88,-72.0,3.75
Koszty finansowe,,,,,-60.0,254.9,571.43,1017.02,456.0,-79.56,1297.87,-126.68,-38.85,-135.14,-98.93,2167.83,-77.06,13076.92,-971.43,76.62,38.46,-94.43,254.1,-59.69,53.7,2663.83,924.47,-90.73,69.88,-39.3,-99.69,1074.52,-71.63,68.86,1833.33,629.12,1445.0,-91.21,4439.66,-94.35,3.07,96.15,-97.19,480.79,-83.36,-90.2,-44.59,-102.4,-62.26,-93.33,556.1,1261.32,-97.5,166.67,-99.63,-99.27,3200.0,-112.5,138300.0,-6800.0
Pozostałe przychody (koszty),,,,,-30.77,-69.84,7.93,-193.75,-75.16,-183.18,2298.01,-1123.4,-207.84,24.75,-276.35,71.61,101.94,-411.62,115.72,-72.43,-825.0,90.74,-92.39,104.0,253.45,93.52,258.57,-7440.0,-100.0,100.0,-100.0,100.0,,,,,,,,,,,,,74.5,-100.0,,-17.72,100.0,,-100.0,100.0,,,,,,,,
Zysk z działalności gospodarczej,,,,,208.9,31.27,629.1,324.6,632.15,351.66,70.1,-334.8,-78.46,-31.83,-146.51,76.95,127.7,600.55,127.47,82.78,45.35,-126.74,-94.2,-969.82,-114.6,-277.43,-863.89,-74.99,-42.42,10.39,80.91,94.51,15.55,-34.45,-268.57,-6031.58,103.88,111.22,120.16,97.78,-3350.0,-130.92,-1883.33,-1115.16,37.23,0.0,179.65,145.66,172.3,207.48,-98.29,-264.13,-55.93,-438.26,-863.16,45.02,-516.92,1488.95,-1186.9,184.28
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,208.9,31.27,629.1,324.6,632.15,351.66,70.1,-334.8,-78.46,-31.83,-146.51,76.95,127.7,600.55,127.47,82.78,45.35,-126.74,-94.2,-969.82,-114.6,-277.43,-863.89,-74.99,-42.42,10.39,80.91,94.51,15.55,-34.45,-268.57,-6031.58,103.88,111.22,120.16,97.78,-3350.0,-130.92,-1883.33,-1115.16,37.23,0.0,179.65,145.66,172.3,207.48,-98.29,-264.13,-55.93,-438.26,-863.16,45.02,-516.92,1488.95,-1186.9,184.28
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,174.06,102.24,635.17,114.54,933.33,5537.5,67.26,-335.51,-80.83,-24.83,-146.8,77.83,138.05,645.72,127.29,81.47,49.74,-126.7,-94.14,-894.51,-115.46,-286.37,-1115.07,-76.67,-45.58,17.33,86.37,80.02,22.04,-32.98,-276.24,-1591.83,107.6,106.0,124.47,97.83,-1307.69,-713.95,-586.02,-980.39,9.55,88.07,344.91,150.12,167.84,-20.63,-98.28,-270.55,-64.36,-122.37,-915.79,47.35,-707.77,1635.21,-1638.71,160.28
Zysk netto akcjonariuszy jednostki dominującej,,,,,210.69,-315.73,1285.62,87.87,644.54,127.91,28.1,-482.86,-78.62,11.0,-149.37,91.32,114.16,597.47,127.81,49.24,56.3,-127.59,-76.25,-845.53,-115.17,-180.0,-192.08,-120.34,-45.58,7.78,63.8,83.01,22.04,-32.98,-276.24,-1591.83,107.6,106.0,124.74,97.82,-1297.44,-709.3,-591.49,-987.62,16.06,87.98,339.61,148.61,173.72,-20.63,-98.28,-274.12,-64.36,-122.37,-915.79,47.35,-707.77,1635.21,-1638.71,160.28
Aktywa trwałe,,,,,26.11,44.68,48.48,36.1,34.86,5.33,12.54,-14.09,5.72,14.7,-11.03,8.09,-3.24,1.41,16.99,1.81,1.98,-7.91,-6.71,5.54,-1.91,-10.11,-12.82,-15.22,-9.53,-1.55,-1.64,4.68,-0.78,-5.58,-5.58,-55.15,-57.06,-61.08,-61.03,-85.65,-80.48,-83.24,-83.5,-32.79,-44.4,-23.03,-19.64,229.18,214.1,154.89,169.54,-30.44,-26.66,-20.0,-31.13,-75.47,-64.23,22.31,66.53,457.38
Wartości niematerialne i prawne,,,,,17.35,17.93,14.25,-7.91,-17.52,-49.39,-45.27,-38.78,-27.82,15.3,3.82,9.27,11.22,21.01,22.92,-25.21,-25.07,-24.34,-31.86,-4.9,-7.07,-16.64,-10.72,-34.8,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,254.2,595.18,751.17,498.51,351.94,81.63,15.55,-100.0,-100.0,-17.27,-17.23,
Rzeczowe składniki majątku trwałego,,,,,105.22,62.48,53.47,67.93,-16.4,-60.72,-68.26,-75.34,-57.16,-29.18,-8.7,-79.25,-83.05,-74.46,-76.52,84.15,94.01,22.18,14.64,-24.63,-27.78,-37.29,-36.5,-37.01,-76.5,-74.21,-72.99,-75.62,-41.82,-65.31,-78.72,-82.05,-81.25,-70.59,-30.0,-14.29,0.0,-20.0,-57.14,-66.67,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-100.0,1533.33,1566.67,78.6
Należności długoterminowe,,,,,,,,,,,-100.0,211.76,,,,3.77,3.77,41.51,3.77,-18.18,-18.18,-40.0,-18.18,0.0,0.0,0.0,0.0,4.44,8.89,8.89,8.89,-27.66,-30.61,-30.61,-30.61,0.0,0.0,14.71,5.88,5.88,5.88,-7.69,-83.33,-83.33,-97.22,-97.22,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,
Inwestycje długoterminowe,,,,,18.47,124.52,159.49,205.31,255.41,125.03,135.84,27.59,39.98,16.16,-17.42,11.72,-5.97,-3.12,19.1,9.73,7.6,-34.78,-1.62,9.26,1.41,33.28,-12.86,-8.59,18.41,32.31,30.6,28.57,-0.99,-5.93,-5.93,-53.97,-55.68,-59.67,-59.67,-87.21,-81.61,-85.26,-81.27,-31.51,-50.36,-27.12,-42.67,221.31,221.31,118.4,97.18,-69.4,-66.24,-63.86,-67.62,-99.34,-7.29,27.4,192.67,36750.0
