,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,745.0,684.0,420.0,2105.0,1249.0,2119.0,1674.0,2500.0,1433.0,2583.0,1892.0,4767.0,4233.0,1993.0,3541.0,3890.0,2201.0,3848.0,4405.0,6685.0,5077.0,4449.0,4248.0,4596.0,3947.0,4339.0,2837.0,6674.0,6262.0,4080.0,4094.0,6588.0,5181.0,5354.0,4416.0,8131.0,4016.0,5558.0,5690.0,7922.0,6182.0,6482.0,8477.0,9695.0,6992.0,9012.0,8822.0,14235.0,10019.0,13744.0,11424.0,17521.0,14891.0,14234.0,13882.0,16715.0,13654.0,13891.0,10841.0,13805.0
Techniczny koszt wytworzenia produkcji sprzedanej,774.0,796.0,691.0,1535.0,1160.0,1527.0,1418.0,1601.0,1657.0,2180.0,1739.0,3106.0,3852.0,2379.0,3333.0,1996.0,2803.0,3736.0,4189.0,4296.0,5005.0,4304.0,4080.0,3643.0,4312.0,4324.0,4615.0,6369.0,5422.0,3658.0,3794.0,5987.0,4514.0,5266.0,4177.0,5955.0,3688.0,5215.0,5208.0,6535.0,5622.0,5028.0,6681.0,8045.0,6790.0,7008.0,7182.0,8121.0,7988.0,11467.0,9498.0,12259.0,12458.0,12163.0,12380.0,14711.0,13257.0,13088.0,11972.0,17576.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-29.0,-112.0,-271.0,570.0,89.0,592.0,256.0,899.0,-224.0,403.0,153.0,1661.0,381.0,-386.0,208.0,1894.0,-602.0,112.0,216.0,2389.0,72.0,145.0,168.0,953.0,-365.0,15.0,-1778.0,305.0,840.0,422.0,300.0,601.0,667.0,88.0,239.0,2176.0,328.0,343.0,482.0,1387.0,560.0,1454.0,1796.0,1650.0,202.0,2004.0,1640.0,5291.0,2031.0,2277.0,1926.0,5262.0,2433.0,2071.0,1502.0,2004.0,397.0,803.0,-1131.0,-3771.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,742.0,0.0,0.0,517.0,15.0,14.0,15.0,73.0,37.0,14.0,15.0,27.0,36.0,14.0,24.0,20.0,65.0,19.0,18.0,0.0,4.0,1.0,23.0,0.0,17.0,0.0,3.0,8.0,209.0,52.0,54.0,35.0,81.0,399.0,114.0,204.0,106.0,105.0,130.0,219.0,603.0,208.0,354.0,361.0,277.0,5.0,-20.0,567.0,301.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,101.0,6.0,2.0,1.0,287.0,181.0,1.0,4.0,13.0,1.0,0.0,1.0,1.0,24.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,851.0,0.0,0.0,0.0,67.0,0.0,4.0,482.0,-62.0,0.0,7.0,5.0,207.0,19.0,0.0,27.0,229.0,357.0,-352.0,7.0,31.0,1.0,65.0,42.0,68.0
Zysk operacyjny (EBIT),-29.0,-112.0,-270.0,571.0,92.0,592.0,264.0,910.0,-213.0,621.0,302.0,1831.0,570.0,-377.0,426.0,1903.0,-590.0,126.0,2.0,2245.0,85.0,156.0,182.0,988.0,-351.0,38.0,-1759.0,346.0,854.0,440.0,300.0,602.0,668.0,111.0,231.0,1342.0,328.0,346.0,490.0,1529.0,612.0,1504.0,1349.0,1793.0,601.0,2111.0,1839.0,5190.0,2117.0,2407.0,2118.0,5636.0,2284.0,2777.0,1856.0,2250.0,401.0,718.0,-606.0,-3538.0
Przychody finansowe,0.0,0.0,0.0,41.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,166.0,0.0,0.0,173.0,12.0,11.0,7.0,6.0,7.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,46.0,16.0,-9.0,19.0,79.0,19.0,-98.0,0.0,30.0,174.0,-134.0,29.0,4.0,-3.0,25.0,-24.0,495.0,-430.0,-64.0,0.0,184.0,-184.0,2.0,40.0,265.0,196.0,553.0,-473.0,5.0,9.0,18.0,8.0
Koszty finansowe,0.0,0.0,0.0,20.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,51.0,0.0,0.0,26.0,5.0,6.0,5.0,15.0,13.0,4.0,5.0,1.0,46.0,30.0,74.0,-9.0,43.0,34.0,21.0,5.0,17.0,188.0,15.0,-132.0,85.0,25.0,50.0,-36.0,14.0,18.0,99.0,-71.0,143.0,14.0,15.0,190.0,71.0,21.0,65.0,10.0,21.0,47.0,58.0,56.0,51.0,174.0,664.0,-297.0,1334.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-16.0,-110.0,-268.0,575.0,96.0,591.0,265.0,917.0,-197.0,634.0,321.0,1898.0,612.0,-331.0,485.0,1910.0,-585.0,128.0,-7.0,2239.0,81.0,157.0,181.0,943.0,-381.0,-35.0,-1749.0,303.0,866.0,435.0,286.0,604.0,559.0,115.0,265.0,1257.0,333.0,470.0,392.0,1544.0,598.0,1402.0,1445.0,1626.0,1082.0,1666.0,1585.0,5119.0,2280.0,2158.0,2110.0,5655.0,2502.0,2915.0,2353.0,1726.0,232.0,63.0,-291.0,-4864.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
