,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Period,2017/Q1,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,,,,-76.51,277.15,76.2,4375.05,1474.22,31.62,597.37,-40.41,85.67,53.73,34.21,30.91,6.41,9.63,9.03,-53.52,-39.12,-28.79
Techniczny koszt wytworzenia produkcji sprzedanej,,49.25,,,,-19.19,28.34,164.29,1283.96,108.33,878.33,1162.16,-49.76,629.0,81.86,-36.78,40.01,14.68,9.58,17.44,27.34,-21.99,12.74,-30.7,83.76
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-49.25,,,,244.11,233.16,-102.0,-117.08,58.18,7745.38,2894.59,2551.15,574.0,-55.11,859.96,62.65,49.81,41.3,1.81,-0.29,28.0,-78.54,-43.17,-109.27
Pozostałe przychody operacyjne,,,,,,,,,-100.0,,-100.0,-100.0,,,,,,,-20.0,0.0,-20.0,-100.0,-100.0,-100.0,5300.0
Pozostałe koszty operacyjne,,,,,,,,,,,,-100.0,-60.0,,-66.67,,750.0,,3400.0,,105.88,-13.95,228.57,2083.33,1274.29
Zysk operacyjny (EBIT),,-49.25,,,,244.11,233.69,-102.16,-116.67,58.18,7712.8,2685.0,2481.56,574.0,-55.08,860.44,62.44,47.1,40.88,1.69,-0.56,28.71,-79.42,-45.73,-113.16
Przychody finansowe,,,,,,-100.0,,1450.0,-162.0,,,-100.0,93.55,243.09,-378.69,,17650.0,16.59,440.75,201.7,95.16,95.61,56.08,-12.41,39.42
Koszty finansowe,,,,,,-100.0,220.0,28.57,1671.43,,2381.25,4500.0,213.64,33.33,-92.44,-91.3,-109.57,6650.0,983.33,247.22,-593.94,-59.63,-6.46,-389.6,255.9
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-46.73,,,,246.58,221.88,-100.97,-128.29,101.4,8051.28,3544.44,1323.75,503.71,-55.69,1581.29,86.64,38.24,54.18,10.99,6.72,39.02,-70.89,-37.42,-103.95
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-46.73,,,,246.58,221.88,-100.97,-128.29,101.4,8051.28,3544.44,1323.75,503.71,-55.69,1581.29,86.64,38.24,54.18,10.99,6.72,39.02,-70.89,-37.42,-103.95
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,-46.73,,,,236.99,212.5,-94.03,-157.97,110.0,6956.48,-372.28,1242.21,469.29,-52.24,3400.73,20.63,35.01,66.69,18.53,-10.74,44.04,-71.15,-41.3,-111.08
Zysk netto akcjonariuszy jednostki dominującej,,-46.73,,,,236.99,212.5,-94.03,-157.97,110.0,6956.48,-372.28,1242.21,469.29,-52.24,3400.73,20.63,35.01,66.69,18.53,-10.74,44.04,-71.15,-41.3,-111.08
Aktywa trwałe,,0.25,,,,-46.08,-40.05,-48.89,-43.03,310.91,325.82,982.21,1267.81,371.13,448.32,220.57,68.72,63.4,78.44,88.21,75.54,71.04,48.28,33.89,88.66
Wartości niematerialne i prawne,,-0.74,,,,-50.5,-59.06,-67.99,-100.0,-100.0,-87.27,-86.82,,,4933.33,5588.24,6164.29,121.91,88.74,133.2,82.78,77.97,-39.35,-55.03,-48.97
