,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Period,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,680.0,575.0,1249.0,1030.0,1043.0,1387.0,1059.0,1095.0,942.0,820.0,6141.0,668.0,3257.0,2504.0,2986.0,3800.0,7116.0,1780.0,2019.0,1167.0,1511.0,1521.0,235.0,1382.0,1377.0
Techniczny koszt wytworzenia produkcji sprzedanej,839.0,692.0,730.0,771.0,1082.0,915.0,792.0,770.0,990.0,683.0,1197.0,1756.0,2270.0,2362.0,2563.0,2938.0,7124.0,2922.0,2464.0,1875.0,2221.0,2918.0,924.0,5975.0,2820.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-159.0,-117.0,519.0,259.0,-39.0,472.0,267.0,325.0,-48.0,137.0,4944.0,-1088.0,987.0,142.0,423.0,862.0,-8.0,-1142.0,-445.0,-708.0,-710.0,-1397.0,-689.0,-4593.0,-1443.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,264.0,0.0,10.0,21.0,91.0
Pozostałe koszty operacyjne,0.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,86.0,0.0,14.0,136.0,760.0,4.0,1.0,1.0,243.0,4.0,0.0,-4.0,191.0,189.0,228.0,-161.0,1462.0
Zysk operacyjny (EBIT),-159.0,-118.0,519.0,257.0,-6.0,472.0,265.0,321.0,-133.0,137.0,4930.0,-1224.0,239.0,139.0,422.0,861.0,-251.0,-1145.0,-445.0,-705.0,-637.0,-1586.0,-907.0,-4411.0,-2814.0
Przychody finansowe,1.0,1.0,2.0,-1.0,10.0,4.0,1.0,5.0,8.0,12.0,8.0,1222.0,5732.0,7906.0,75.0,6876.0,-1756.0,468.0,34.0,-221.0,596.0,31.0,1766.0,438.0,-1582.0
