,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,19.06,74.01,104.07,98.35,63.11,-13.38,-25.97,-16.36,-30.66,-16.13,5.59,-4.16
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,43.53,50.63,25.76,28.79,19.76,-15.27,-18.67,-4.24,-8.57,7.39,36.09,29.67
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,94.96,18.09,136.21,118.21,58.6,70.3,63.39,30.44,11.24,37.48,22.9,18.14
Zysk ze sprzedaży,,,,,-67.52,217.52,474.14,788.77,431.74,-48.95,-69.86,-77.4,-112.13,-157.21,-124.27,-347.0
Pozostałe przychody operacyjne,,,,,400.76,-74.72,40.88,50.33,-97.37,-37.87,-89.77,-98.13,66.39,-78.48,189.24,676.47
Pozostałe koszty operacyjne,,,,,70.11,-44.53,571.11,156.92,-74.12,221.6,-44.7,-104.99,27.16,337.37,-32.34,275380.0
Zysk operacyjny (EBIT),,,,,-18.83,70.91,374.57,490.09,94.56,-51.51,-71.54,-78.97,-111.33,-190.88,-119.01,-2480.82
Przychody finansowe,,,,,73.02,-1094.12,12408.0,-11.73,37.23,431.81,245.04,-3890.91,-100.0,-100.0,-79.92,100.71
Koszty finansowe,,,,,569.77,723.42,-363.38,282.61,101.39,-52.63,147.33,178.18,198.28,71.82,-47.46,264.79
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-10.47,50.63,465.91,415.63,81.03,-13.97,-35.57,-193.73,-121.03,-165.52,-95.26,-464.93
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-10.47,50.63,465.91,415.63,81.03,-13.97,-35.57,-193.73,-121.03,-165.52,-95.26,-464.93
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,,,,-9.96,61.86,441.92,442.2,78.19,-16.93,-32.55,-235.08,-130.82,-175.99,-102.27,-208.34
Zysk netto akcjonariuszy jednostki dominującej,,,,,-9.96,61.86,441.92,443.69,75.51,-32.16,-37.11,-233.77,-133.22,-194.13,-112.35,-206.7
Aktywa trwałe,,,,,,311.99,,526.52,649.44,140.72,168.81,81.82,78.19,51.41,37.54,24.16
Wartości niematerialne i prawne,,,,,,965.5,,1600.04,1886.34,224.52,252.78,117.39,105.44,71.89,52.24,18.39
Rzeczowe składniki majątku trwałego,,,,,,137.01,,162.03,186.64,32.42,32.43,7.23,9.57,-3.8,-4.41,-2.32
Należności długoterminowe,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,-100.0,,,,,,-100.0,-100.0,,,
Pozostałe aktywa trwałe,,,,,,,,690.36,240.83,1144.94,4828.85,-23.93,-10.51,-84.03,-94.17,4368.14
Aktywa obrotowe,,,,,,170.76,,152.8,7.95,-4.82,-23.41,-35.77,-51.97,7.48,69.05,87.54
Zapasy,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,,-7.65,,62.48,71.21,15.25,-24.77,1.08,-46.09,-33.77,12.42,27.02
Inwestycje krótkoterminowe,,,,,,502.84,,230.58,-8.09,-10.59,-23.61,-50.41,-55.17,22.86,91.33,134.49
Środki pieniężne i inne aktywa pieniężne,,,,,,502.15,,231.95,-7.98,-10.48,-23.51,-50.41,-55.17,22.86,51.71,82.42
Pozostałe aktywa obrotowe,,,,,,1463.22,,-33.95,-22.73,-9.41,114.78,10.61,19.52,5.68,31.08,156.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,199.92,,230.93,67.53,36.46,31.47,10.77,2.12,29.46,50.66,46.37
Kapitał własny akcjonariuszy jednostki dominującej,,,,,201.18,174.86,228.43,236.47,50.43,46.62,23.44,5.77,-2.34,39.86,64.38,55.25
Kapitał (fundusz) podstawowy,,,,,7.45,7.45,,8.91,1.35,1.35,0.0,0.0,0.5,11.69,20.03,20.03
Udziały (akcje) własne,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,104.87,,156.82,25.47,25.47,0.0,0.0,5.15,112.98,193.47,193.47
Udziały niekontrolujące,,,,,,,,,,,,155.79,85.33,-0.39,7.7,-3.74
Zobowiązania długoterminowe,,,,,,135.71,,186.87,230.64,31.96,44.82,45.14,48.84,-7.4,-13.43,-25.56
Z tytułu dostaw i usług,,,,,,584.63,,154.4,101.51,-30.42,34.17,15.03,-14.6,-34.78,3.13,18.56
Kredyty i pożyczki,,,,,,,,1162.78,868.7,221.99,223.81,-71.62,-75.96,-7.9,-77.45,-28.67
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,101.7,,-3.03,-2.1,-19.9,-18.53,8.5,38.35,36.78,52.8,42.64
Inne zobowiązania długoterminowe,,,,,,-80.74,,214.76,377.44,1781.19,681.52,205.24,194.59,-35.51,-44.98,-41.47
