,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-30.89,-46.93,-18.85,118.26,160.94,126.0,19.67,-57.05,-59.18,-30.28,-5.43,144.07,78.86,56.12,63.84,-17.93,57.8,26.27,37.07,23.51,-19.69,23.56,5.59,8.31,44.58,18.57,47.53,114.7,94.52,90.2,27.79,38.53,-24.51,-30.41,-9.98,2.93,51.98,-4.98,-13.03,-22.78,-81.94,-77.25,-84.27,-84.83,-43.73,-50.9,7.89,-33.35,-41.26,-1.54,24.75,38.0,122.67,35.91,-9.44,7.26,-14.58,-16.53,-42.4,-43.74,6.49,72.6,60.83,57.84
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-31.61,-49.91,-16.65,78.39,171.13,141.27,27.85,-37.27,-43.82,-22.78,-3.08,92.51,46.24,54.83,46.52,-23.49,58.19,26.03,41.47,20.27,-20.49,25.63,9.62,12.44,46.94,21.07,50.81,122.79,108.85,92.62,28.67,40.64,-24.01,-30.41,-6.6,4.5,49.69,0.06,-11.86,-19.91,-82.08,-78.33,-86.61,-85.39,-50.11,-56.39,0.81,-43.55,-24.93,15.15,12.73,46.88,73.17,40.21,21.18,65.97,1.75,-17.81,-22.58,-30.43,-9.61,38.12,9.09,-9.69
Koszty sprzedaży,,,,,89.57,36.87,44.0,-22.16,126.61,108.49,141.27,140.82,0.4,-11.15,-20.39,-8.4,18.15,5.18,7.85,-6.45,-16.72,1.14,46.55,38.29,22.13,67.23,-12.42,26.9,183.39,56.44,109.4,211.07,37.6,76.38,58.73,23.67,-22.59,25.53,34.71,125.32,377.65,41.38,109.13,13.72,-96.17,-94.08,-95.58,-98.04,-51.37,-34.75,-32.49,-24.06,-1.88,-21.3,-20.86,-19.01,-9.55,3.76,-18.24,22.61,-20.42,-21.01,-19.83,0.0,9.73,11.93,39.18,6398.58
Koszty ogólnego zarządu,,,,,-24.72,81.83,23.56,57.6,122.24,8.83,19.26,-13.96,-2.9,11.01,16.15,26.9,12.44,3.44,-6.96,-18.08,-11.94,-13.82,-2.38,18.84,9.36,12.1,-1.6,-2.45,0.12,-2.72,-0.34,1.37,0.22,13.42,4.71,-1.73,7.14,-8.06,11.5,8.14,4.08,-7.66,-22.75,-5.23,-14.66,-20.01,-24.23,-15.25,-18.93,5.58,8.14,-13.46,-6.41,-9.91,0.77,16.47,-6.32,-14.78,-27.04,-52.23,-20.03,-7.93,1.43,23.47,1.94,-0.04,12.49,-328.68
Zysk ze sprzedaży,,,,,-32.03,-68.39,-57.45,338.33,133.15,183.57,-113.15,-233.17,-161.33,-109.75,-566.67,86.76,117.54,413.58,462.15,290.68,346.44,129.37,21.48,92.32,-34.43,-3.22,-29.03,-35.82,35.84,-17.26,21.17,74.23,-56.61,113.58,17.35,21.83,-137.81,-60.87,-100.42,-118.82,-151.41,-279.41,-14070.27,-802.83,-6.37,75.84,125.0,75.77,107.25,37.2,124.64,101.98,-2840.28,-229.16,133.79,-881.82,145.31,-1.63,-103.7,-2474.19,-212.14,18.56,-2485.49,-12.84,183.29,278.18,123.65,83.13
Pozostałe przychody operacyjne,,,,,-91.96,-40.63,-76.46,-48.66,-4.41,342.75,32.6,-26.73,179.72,-83.92,-25.83,-0.37,-55.35,-18.18,2.81,-27.51,81.18,272.05,191.26,-52.18,2.04,-64.71,-9.01,572.65,13.57,-65.9,-32.78,-79.75,-41.12,714.29,-4.91,69.49,1100.9,-22.44,-52.9,453.77,-95.03,37.14,-12.33,170.72,1000.5,144.62,1774.22,-88.05,283.42,-21.93,-93.87,184.25,-94.61,63.45,321.77,-92.45,628.79,-17.52,274.68,611.48,-80.22,-86.48,42.4,-133.12,-48.32,-26.18,-74.4,-25.38
Pozostałe koszty operacyjne,,,,,-86.53,-52.41,36.05,-53.95,172.88,943.48,-91.45,109.44,67.08,8.61,1140.0,-75.44,-86.25,-74.68,128.23,-135.58,51.35,554.55,288.87,954.74,2321.43,-69.91,-76.56,192.86,-62.32,-72.56,-88.18,-64.47,-43.84,1243.93,90.16,-33.49,47.74,50.35,361.21,2143.59,20.75,75.12,123.93,12.34,100.78,-34.2,-122.79,-95.79,604.38,-63.03,181.32,651.59,-93.23,109.77,185.14,-89.21,564.69,64.44,-63.35,772.11,-92.48,-59.08,648.28,-19.02,117.14,81.69,-70.56,22.09
Zysk operacyjny (EBIT),,,,,-48.06,-65.82,-62.6,685.34,126.02,193.61,-103.59,-218.5,-157.83,-112.95,-2487.5,94.69,122.31,302.02,431.4,735.91,302.04,110.36,3.95,30.87,-55.09,0.78,-12.86,-26.69,85.03,-16.7,26.04,57.17,-56.12,103.01,15.86,35.45,41.88,-75.87,-104.69,-229.19,-176.33,-542.46,-1381.92,-39.73,62.66,87.28,163.09,85.6,264.86,137.44,-27.94,97.49,-396.65,-405.74,139.44,-1167.39,146.4,-156.77,-73.28,-2118.7,-186.3,-4.54,-373.47,-29.01,192.66,166.73,137.74,56.51
Przychody finansowe,,,,,-88.79,194.84,36.73,-28.65,-25.32,4.54,-79.29,-59.27,-77.97,-48.81,1556.25,435.55,561.54,177.12,-68.77,-59.47,-49.77,-42.66,-51.36,-79.48,926.39,563.47,-726.71,131.91,-67.21,-60.77,126.07,316.51,-36.86,-89.75,-74.52,-91.3,-89.11,665.0,-28.36,-62.03,-24.0,-27.32,89.58,-90.0,9150.0,-671.22,-190.11,366.67,-98.12,100.79,125.61,-500.0,1109.09,-564.0,-71.43,89.29,-90.6,36.21,-100.0,183.33,-93.33,93.24,,-100.0,-100.0,100.0,,
