,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Period,2007/Q1,2007/Q2,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,26.52,29.52,,,-0.02,13.45,-1.85,1.36,5.16,4.56,12.43,1.33,-7.6,2.72,-17.6,-14.1,6.53,6.42,17.03,28.42,11.46,-9.09,2.6,1.27,-6.51,14.59,7.07,-1.42,13.81,-3.94,9.43,11.92,3.77,3.53,5.88,14.28,16.53,37.13,20.72,16.93,11.14,-9.9,-5.71,0.66,-1.71,19.42,11.72,-2.83,2.86,-11.32,-4.24,-1.46,4.48,12.16,6.81,-0.14,-7.66,17.69,21.24,35.93,53.43,10.7,1.05,0.78,-13.16
Techniczny koszt wytworzenia produkcji sprzedanej,,,34.42,23.87,,,-2.8,22.08,-2.39,0.81,3.12,8.48,18.8,9.51,2.73,15.71,-17.23,-12.5,3.95,-0.68,18.1,20.16,7.96,-10.23,-3.14,1.69,-8.12,12.16,9.81,-0.31,17.94,-2.96,10.4,9.76,2.49,3.37,6.64,15.3,16.6,33.45,17.39,14.84,5.48,-10.55,-5.28,0.42,1.65,19.04,11.06,-0.97,6.13,-8.09,-1.63,0.93,5.31,14.74,12.03,2.04,-2.61,21.84,18.06,25.75,41.85,4.44,-1.42,1.85,-13.87
Koszty sprzedaży,,,11.43,70.37,,,12.17,-9.67,4.33,-12.69,9.24,6.69,5.24,0.0,-12.46,-5.19,-23.33,-14.54,-15.17,-23.38,6.91,3.17,-10.08,-18.34,-22.86,-17.44,0.47,19.19,16.91,7.36,16.69,18.78,11.83,-2.18,1.91,2.13,3.86,17.58,4.96,23.04,13.15,23.09,19.58,7.08,10.29,3.7,1.58,7.57,5.38,-4.53,4.23,-4.12,-5.47,-1.6,1.07,7.88,12.52,-4.36,-6.29,2.83,4.02,18.57,20.07,1.74,-4.28,3.02,-3.79
Koszty ogólnego zarządu,,,-1.87,31.0,,,-4.38,-31.42,-18.84,-4.3,34.46,21.71,-23.95,17.99,-12.89,14.63,78.61,24.05,34.86,6.78,19.78,53.07,26.1,29.64,17.98,9.27,5.6,-1.83,2.76,-4.59,15.81,16.24,12.33,-22.89,8.59,9.68,7.34,41.4,0.6,18.8,17.83,18.48,16.17,1.03,11.68,5.62,8.51,16.37,2.86,-2.44,9.14,-12.53,-0.11,1.95,-1.52,20.35,-1.14,-6.82,6.52,-3.03,9.72,12.24,6.12,15.34,14.36,24.01,4.84
Zysk ze sprzedaży,,,-18.4,-33.41,,,17.39,-0.35,-0.21,93.34,14.81,-310.14,-156.7,-106.63,-128.96,-402.5,-79.64,-488.67,244.55,84.67,-3.64,346.89,208.08,55.29,389.65,31.28,-1.83,261.84,-47.88,-25.44,-36.32,-318.51,-34.54,97.19,30.26,-2.32,-26.09,-4.87,48.55,172.5,358.82,31.58,68.51,-130.94,-64.69,-2.22,-34.61,378.57,115.51,-19.05,-42.48,-308.97,-77.87,-31.35,1.25,-86.81,-667.47,-25.51,-144.12,-36.34,116.89,346.2,850.89,111.44,421.3,-12.71,-20.93
Pozostałe przychody operacyjne,,,35.34,-59.72,,,24.2,-6.9,45.58,-28.34,4.62,8.99,-8.88,16.38,1.96,60.68,112.82,162.14,96.15,95.47,-3.86,61.85,33.09,-48.53,21.55,-49.2,-22.28,9.61,28.87,-62.61,7.82,76.16,-51.2,-18.67,-22.2,5.6,-11.48,210.37,-12.71,-53.46,1.11,-14.08,31.39,19.3,28.21,12.78,-37.93,-19.89,-20.29,-143.84,-7.94,306.29,584.59,150.0,16.38,-73.76,-82.51,178.65,-18.52,-24.22,-47.9,-36.69,574.09,0.82,39.08,338.85,-91.84
Pozostałe koszty operacyjne,,,-27.27,-91.99,,,287.5,439.39,584.21,134.94,-1.94,28.09,-63.46,103.08,7.24,184.21,47.37,-44.44,-3.68,-53.7,5.71,158.64,13.38,47.67,77.7,-53.25,110.67,-33.63,-47.53,57.89,-61.07,-23.13,-54.35,-45.95,52.74,188.05,153.97,-87.22,-21.52,-89.71,-48.12,1113.79,-24.57,88.06,63.86,-32.67,153.79,37.3,47.79,6.33,33.73,-83.24,-9.45,7.54,20.31,424.14,142.86,-5.9,-26.35,-3.95,-37.33,36.86,-4.79,-6.16,37.18,-69.05,-14.55
Zysk operacyjny (EBIT),,,-14.39,-12.62,,,10.6,-35.01,-26.22,68.24,15.2,-309.76,-139.86,-115.14,-125.67,-435.63,-25.14,-65.59,311.94,96.52,-19.18,541.39,167.0,-173.28,753.26,22.33,-13.56,228.08,-26.1,-38.16,-24.15,-177.59,-40.63,118.94,14.66,-128.89,-35.29,6.73,45.51,209.85,293.8,20.08,70.17,-89.52,-56.98,0.83,-39.92,619.28,68.78,-29.7,-48.15,-63.15,45.74,-28.32,-2.01,-853.18,-186.66,-20.71,-163.73,-44.42,109.95,338.64,827.58,116.46,650.57,-4.68,-36.31
Przychody finansowe,,,3916.67,49.42,,,-96.27,-36.69,-33.9,938.1,722.22,-18.78,-2.07,123.86,104.05,-95.98,-157.67,-87.31,-33.11,-637.5,185.32,140.0,-46.53,244.19,-15.05,25.0,111.11,241.94,50.63,-8.0,206.14,-116.51,-31.09,-14.49,-72.49,254.29,54.88,-92.37,484.38,1.85,-29.92,1922.22,-85.74,107.27,167.42,-52.75,78.75,66.67,2.94,88.37,-56.64,-88.42,-97.55,-96.3,95.16,2063.64,-2316.67,1916.67,53.72,-65.13,132.33,325.62,114.52,271.69,327.91,87.77,49.62
