,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Period,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,45.69,43.23,-0.79,-15.33,16.04,-12.8,118.45,69.82,23.29,35.01,-9.38,-2.22,9.83,10.05,-17.02,52.22,-22.16,-32.95,16.6,-62.06,-28.51,-9.51,-21.46,52.47,120.06,-18.06,-29.45,21.92,-40.99,-9.07,150.74,31.99,99.92,-574.11,-93.77,-92.59,-95.87,101.21,-22.0,32.08,-339.96,-85.64,-85.74,-96.1,103.1,-11.36,-15.91,-7.32,6.85,157.69,31.08,-10.53,5.13,-61.19,-27.84,38.24,26.83,-46.15,22.86,4.26,-7.69,140.48
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,42.54,47.06,9.04,-10.24,10.94,4.73,87.23,81.76,45.02,31.63,4.34,-4.64,12.62,3.8,-32.81,44.77,-20.91,-36.14,10.08,-67.71,-36.2,20.32,-44.47,36.84,60.76,-58.17,-39.61,-10.77,-58.92,-4.47,317.95,87.61,270.84,-695.42,-91.79,-88.61,-93.98,101.51,176.71,-82.67,5.69,158.84,261.04,1022.13,874.08,770.94,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.53,-99.12,-98.43,100.35,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-0.93,53.03,13.86,20.21,59.97,57.39,10.38,30.16,29.57,19.29,20.15,27.13,2.5,6.29,12.5,-3.91,-1.05,6.35,1.54,7.91,17.31,37.98,28.2,55.31,84.43,6.7,77.54,46.04,23.88,21.29,-54.75,-66.41,-53.64,-164.35,-52.49,43.39,-71.91,121.58,-100.0,-100.0,-100.0,-100.0,,,,,-38.34,-55.68,-31.48,-43.54,-33.73,-54.24,-56.28,15.56,-64.87,87.9,-28.73,-60.22,106.82,-36.05,32.65,-24.51
Zysk ze sprzedaży,,,,,159.1,29.91,-57.28,-98.25,1.03,-95.03,85.93,277.27,-70.37,472.56,-703.46,-645.78,-5.82,104.47,40.16,594.7,-172.18,-77.79,53.52,-127.35,-136.27,-966.37,-15.49,72.76,425.8,93.39,-606.41,632.34,-123.63,-698.44,78.25,409.9,434.35,-315.19,-56.06,-188.13,-144.9,90.73,12.8,146.23,-209.69,-13.22,-500.93,-315.48,-216.2,-921.74,91.91,88.29,94.81,96.85,40.76,61.37,64.97,-58.66,73.76,-106.67,52.33,62.15,-162.26,46.24,-78.26,56.74
Pozostałe przychody operacyjne,,,,,-42.11,-54.55,,,127.27,400.0,633.33,1800.0,108.0,26.0,-81.82,-23.53,15.38,-146.03,875.0,-115.38,-63.33,3768.97,2153.85,46700.0,2495.45,-30.83,19.91,-27.36,-46.58,143.89,-75.33,-71.34,41.64,-52.14,-55.0,-23.71,-7.41,4100.81,3638.46,17474.32,5656.0,-104.05,346.25,-174.96,-147.43,135.84,-98.98,100.14,102.05,-77.86,-10984.42,-2911.11,-10263.84,-5706.03,96.0,-291.57,85.38,109.47,37.95,71.3,56.94,225.81,501.86,1464.48,146.69,41.41
Pozostałe koszty operacyjne,,,,,776.19,-100.0,,,-95.92,,,,-93.33,495.93,,,1900.0,16.51,,,-100.0,-52.46,-100.0,,,51.97,,-78.31,200.0,374.72,4400.0,1683.54,5900.0,-75.11,-31.11,-81.95,-73.33,-149.93,-98.39,-99.05,-100.0,223.08,-100.0,800.0,,-100.45,,-20.0,-50.0,3850.0,-100.0,330.56,-100.0,238.67,,1121.94,,-55.51,-50.0,-98.47,-100.0,2969.91,360.0,-134.48,,-99.22
Zysk operacyjny (EBIT),,,,,118.36,29.74,-57.02,-98.33,24.28,-96.72,87.1,376.19,-67.95,295.07,-776.05,-540.0,-7.09,191.27,14.82,608.86,-163.56,-25.52,116.78,-119.52,1.87,-488.17,27.85,179.18,1012.5,69.22,-1299.48,-632.37,-114.0,-66.78,78.64,325.46,688.51,1165.61,383.2,429.98,693.2,-111.2,555.43,-180.4,-165.08,79.71,-145.47,77.46,27.22,-1830.32,-171.24,65.4,-124.38,37.21,94.27,-265.65,84.18,99.09,49.34,75.15,58.67,-2480.0,386.75,1013.0,132.72,262.08
Przychody finansowe,,,,,-20100.0,23000.0,4325.0,-84.63,119.8,-81.6,-83.05,-52.72,-114.14,-92.94,-100.0,-100.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,-114.11,-62.67,10.0,22.86,211.43,53.57,2.27,-13.95,202.56,41.86,44.44,83.78,-51.69,-11.48,16.92,-176.47,-28.07,-57.41,-68.42,146.15,507.32,173.91,250.0,258.33,-10.04,68.25,28.57,-8.14,-22.32
Koszty finansowe,,,,,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,37.5,-150.0,-840.0,2225.0,21.21,722.22,524.32,205.38,595.0,801.79,-73.95,-1.06,73.74,-25.74,-4.89,27.05,-15.11,12.53,-383.55,-78.43,-84.63,-85.07,151.77,-51.95,-17.46,1038.1,53.59,208.11,257.69,-80.89,-62.03,37.72,45.7,-270.07,17.42,-84.71,-87.82,112.02,-17.39,162.5,518.18,425.0,-30.03,112.7,-2.45,0.0,-20.8
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-16.34,44.83,-39.12,-91.73,266.84,-95.26,87.53,-8.78,-72.14,149.78,-902.4,-348.13,-5.77,179.37,14.63,570.04,-167.31,2.97,111.52,-121.87,-10.13,-485.9,-52.68,114.26,772.88,70.4,-5101.03,-3519.12,-129.62,-37.73,74.07,262.71,381.54,1148.67,315.82,481.31,821.4,-112.73,567.48,-180.5,-168.24,60.7,-145.75,76.78,30.07,-762.33,-170.75,61.68,-121.17,35.69,94.29,-220.95,84.03,98.14,49.38,72.82,57.07,-1107.91,382.43,926.64,127.18,261.58
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-16.34,44.83,-39.12,-91.73,266.84,-95.26,87.53,-8.78,-72.14,149.78,-902.4,-348.13,-5.77,179.37,14.63,570.04,-167.31,2.97,111.52,-121.87,-10.13,-485.9,-52.68,114.26,772.88,70.4,-5101.03,-3519.12,-129.62,-37.73,74.07,262.71,381.54,1148.67,315.82,481.31,821.4,-112.73,567.48,-180.5,-168.24,60.7,-145.75,76.78,30.07,-762.33,-170.75,61.68,-121.17,35.69,94.29,-220.95,84.03,98.14,49.38,72.82,57.07,-1107.91,382.43,926.64,127.18,261.58
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,100.0,-100.0,,,,,,,,,,,,,,,
Zysk netto,,,,,15.25,45.54,-109.79,-84.8,303.9,-100.08,108.09,-122.37,-75.94,10333.33,-1781.02,-346.97,-6.47,345.93,36.69,566.44,-140.57,-6.57,125.79,-149.85,-204.71,-611.57,-50.53,23.47,490.93,75.16,-2690.32,-400.76,-145.09,-32.86,69.51,202.85,289.16,1132.61,239.48,527.18,918.76,-115.32,605.76,-184.44,-169.86,69.99,-147.32,75.39,30.31,-848.78,-83.38,-99.89,-116.63,33.53,90.6,41.07,83.7,97.54,53.64,70.97,56.53,-1167.92,361.61,820.66,124.03,210.42
Zysk netto akcjonariuszy jednostki dominującej,,,,,15.25,45.54,-109.79,-84.8,303.9,-100.08,108.09,-122.37,-75.94,10333.33,-1784.67,-183.33,-27.68,310.75,39.3,814.97,-138.89,-11.02,125.55,-148.77,-330.95,-682.35,-48.04,-0.46,378.45,79.54,-2406.99,-306.87,-192.86,-61.48,65.77,201.46,223.01,1132.61,239.48,527.18,918.76,-115.32,605.76,-184.44,-169.86,69.99,-147.32,75.39,30.31,-848.78,-83.38,-99.89,-116.63,33.53,90.6,41.07,83.7,97.54,53.64,70.97,56.53,-1167.92,361.61,820.66,124.03,210.42
Aktywa trwałe,,,,,112.07,144.06,151.96,19.86,23.31,58.74,44.68,82.11,86.34,29.8,19.18,5.98,8.35,7.63,16.69,10.81,15.2,12.56,10.51,8.83,10.55,11.31,69.51,66.96,58.2,70.6,4.44,10.73,-7.83,-14.18,-18.31,-8.84,4.38,238.81,273.86,309.24,400.52,51.43,65.96,14.85,-11.55,-9.66,-24.29,-17.78,-17.19,-23.46,-36.63,-31.74,-43.13,-43.29,-28.95,-36.38,-21.17,-13.5,-12.88,-7.88,-4.88,-2.02,2.46,24.29,28.42,28.88
Wartości niematerialne i prawne,,,,,13.1,20.25,27.52,462.14,0.0,2124.74,2116.32,402.92,1974.74,-1.47,-1.47,6.06,6.54,0.7,0.92,-0.69,-1.29,26.06,22.98,38.76,38.08,7.17,34.03,10.6,16.3,36.55,10.39,19.04,-47.16,-50.38,-51.19,-49.96,2.59,-90.78,-91.45,-92.23,-92.77,-36.16,-34.91,-32.43,-23.75,-96.46,-96.14,-96.5,-96.98,-25.0,-37.5,-28.57,-33.33,-50.0,-40.0,-60.0,-50.0,-66.67,-66.67,-100.0,-100.0,-100.0,-100.0,,,
