,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Period,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,10.45,1.05,3.64,8.47,15.45,18.8,16.43,8.34,-1.89,-22.41,-18.25,-21.52,-11.34,59.6,1.07,18.98,4.35,-17.28,19.39,43.24,64.95,36.15,25.53,-6.24,-14.58,-1.17,22.9,26.74,50.49,43.42,16.76,15.03,-7.8,1.07,25.3,27.39,52.67,50.01,51.35,49.97,12.44,12.26,1.57
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,10.01,29.19,-0.53,19.44,13.18,-15.68,-0.49,-0.43,-1.23,23.95,19.4,1.4,21.36,55.07,-1.95,36.2,1.4,-25.69,17.83,34.38,82.45,62.44,45.39,10.21,-12.86,-24.59,11.17,-1.72,51.59,95.52,19.1,34.05,-15.66,-15.49,22.42,24.12,32.06,26.27,45.84,36.62,31.58,-90.43,-18.46
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,10.71,-21.81,6.8,2.43,16.8,65.08,28.38,13.96,-2.27,-54.2,-38.86,-34.37,-30.26,68.01,4.29,4.05,7.32,-2.88,20.97,53.28,48.29,1.69,6.1,-22.6,-16.58,47.85,38.62,67.04,49.14,-12.21,14.26,-0.83,1.96,40.44,28.54,31.07,73.86,83.97,57.23,64.22,-2.51,28.21,-0.21
Pozostałe przychody operacyjne,,,,,27.5,-136.63,-92.55,-68.06,113.44,228.81,-3016.46,17.64,10.94,44.83,100.94,-13.52,-619.99,118.61,-11545.7,28.62,203.58,-117.22,105.16,10.57,-239.9,987.62,360.99,40.33,259.94,-83.09,1771.82,-134.63,-28.67,158.55,-91.96,848.51,81.41,884.3,107.74,233.05,134.97,-158.89,-134.27,-143.66,22.1,-0.58,-98.98
Pozostałe koszty operacyjne,,,,,-45.86,3.45,247.22,-83.89,193.06,376.17,-96.3,-16.49,159.24,-88.24,254.05,1790.12,-29.62,358.04,745.8,-28.09,246.23,-233.85,89.53,-78.02,-54.31,77.43,-50.43,-127.27,-74.88,804.73,-45.05,330.3,1064.05,-145.74,24.48,300.66,-10.61,91.53,-19.8,-39.74,-77.32,7595.28,-56.92,648.77,-361.22,19.22,552.03
Zysk operacyjny (EBIT),,,,,53.01,-106.38,-51.15,-58.0,315.08,1108.81,-222.86,16.45,-1.84,2.44,164.05,-23.51,-136.84,103.24,-348.42,23.8,518.02,-90.58,149.47,23.04,-129.37,1452.91,65.49,21.96,752.98,-68.58,734.25,-96.04,-10.86,82.08,-80.9,5958.49,49.26,587.8,59.35,207.24,120.75,-145.87,-35.81,-132.46,17.02,5.48,-29.86
Przychody finansowe,,,,,-82.36,-138.93,175.37,-22.23,-52.34,245.55,2218.56,-727.7,-602.45,-47.57,-85.93,88.65,109.59,195.42,417.74,-26.76,-1435.19,301.44,-97.47,133.19,105.13,-97.43,-12.06,2003.93,-2066.89,3270.71,438.63,-97.46,101.27,-99.16,-81.9,11318.4,-24417.57,2726.58,-48.15,-98.99,101.02,-89.07,3392.14,30432.98,-22621.86,32439.75,337.37
Koszty finansowe,,,,,-204.75,-145.04,-36.33,-91.31,225.35,504.61,-57.56,37.82,-20.27,55.08,4.39,39.24,-136.84,-60.58,6.51,-68.05,307.01,-53.97,83.26,556.42,-242.95,129.84,-11.19,-67.83,356.19,-126.26,779.45,-249.8,16.8,1103.83,-72.44,143.2,-36.22,-83.95,37.06,304.3,365.23,-966.45,-22.66,1.24,-58.92,171.21,52.46
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
