,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Period,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,38962.0,48252.0,26266.0,28982.0,42874.0,53524.0,30277.0,32337.0,39317.0,68349.0,36640.0,39014.0,53477.0,85874.0,43265.0,48314.0,70526.0,82982.0,50943.0,55879.0,74018.0,103696.0,44808.0,32664.0,57507.0,76061.0,38294.0,53498.0,79924.0,106025.0,64292.0,86764.0,118151.0,136712.0,96340.0,110401.0,128067.0,132295.0
Techniczny koszt wytworzenia produkcji sprzedanej,18246.0,19402.0,10918.0,11876.0,20727.0,22241.0,12737.0,13039.0,17471.0,31450.0,16199.0,16542.0,23108.0,38919.0,17680.0,18575.0,30708.0,35640.0,21064.0,22335.0,32127.0,46639.0,18334.0,13327.0,24791.0,30765.0,14635.0,19744.0,30273.0,39190.0,24214.0,31389.0,43546.0,51177.0,35656.0,40209.0,48238.0,46487.0
Koszty sprzedaży,10719.0,12365.0,10572.0,9851.0,11609.0,13935.0,12597.0,13403.0,14922.0,17927.0,15508.0,16123.0,18997.0,22973.0,18956.0,21019.0,24023.0,26955.0,23447.0,26328.0,29931.0,33001.0,22464.0,22683.0,24836.0,26462.0,21796.0,24497.0,29811.0,34834.0,29769.0,33151.0,41468.0,46311.0,41935.0,49702.0,51436.0,54391.0
Koszty ogólnego zarządu,1401.0,2035.0,2045.0,2072.0,1871.0,2747.0,1984.0,2385.0,2087.0,3324.0,2236.0,2435.0,2249.0,3213.0,2553.0,2554.0,2101.0,3354.0,2709.0,3008.0,2618.0,3859.0,3101.0,2770.0,1891.0,2383.0,2525.0,2474.0,2489.0,3231.0,3064.0,3763.0,4026.0,4753.0,5803.0,4014.0,4594.0,4739.0
Zysk ze sprzedaży,8596.0,14450.0,2731.0,5183.0,8667.0,14601.0,2959.0,3510.0,4837.0,15648.0,2697.0,3914.0,9123.0,20769.0,4076.0,6166.0,13694.0,17033.0,3723.0,4208.0,9342.0,20197.0,909.0,-6116.0,5989.0,16451.0,-662.0,6783.0,17351.0,28770.0,7245.0,18461.0,29111.0,34471.0,12946.0,16476.0,23799.0,26678.0
Pozostałe przychody operacyjne,296.0,1653.0,179.0,528.0,284.0,2177.0,375.0,188.0,209.0,617.0,340.0,163.0,148.0,575.0,189.0,178.0,156.0,155.0,378.0,188.0,112.0,1299.0,256.0,4877.0,285.0,863.0,2925.0,1068.0,1789.0,-1653.0,425.0,-1037.0,250.0,940.0,273.0,657.0,576.0,-354.0
Pozostałe koszty operacyjne,168.0,1700.0,260.0,811.0,141.0,2271.0,75.0,52.0,422.0,2631.0,265.0,449.0,1517.0,742.0,595.0,884.0,600.0,1502.0,699.0,752.0,-2.0,1472.0,1227.0,1851.0,703.0,1295.0,1803.0,870.0,706.0,-656.0,1295.0,-34.0,26.0,851.0,765.0,1350.0,719.0,500.0
Zysk operacyjny (EBIT),8724.0,14403.0,2650.0,4900.0,8810.0,14507.0,3259.0,3646.0,4624.0,13634.0,2772.0,3628.0,7754.0,20602.0,3670.0,5460.0,13250.0,15686.0,3402.0,3644.0,9456.0,20024.0,-62.0,-3090.0,5571.0,16019.0,460.0,6981.0,18434.0,27773.0,6375.0,17458.0,29335.0,34560.0,12454.0,15783.0,23656.0,25824.0
Przychody finansowe,6.0,7.0,171.0,471.0,22.0,183.0,119.0,1279.0,-573.0,307.0,24.0,4.0,-7.0,1.0,3.0,868.0,215.0,318.0,115.0,963.0,-1072.0,3221.0,0.0,114.0,318.0,-311.0,0.0,2141.0,-1399.0,-322.0,563.0,-561.0,-2.0,182.0,1099.0,2716.0,-2437.0,2738.0
Koszty finansowe,909.0,1099.0,441.0,406.0,364.0,299.0,1122.0,-617.0,160.0,708.0,1433.0,2167.0,256.0,1260.0,432.0,66.0,391.0,351.0,614.0,757.0,3504.0,-1759.0,3067.0,-1224.0,546.0,-193.0,1030.0,-55.0,443.0,475.0,517.0,3355.0,6914.0,-1295.0,507.0,721.0,1400.0,2966.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,7821.0,13311.0,2380.0,4965.0,8468.0,14391.0,2256.0,5542.0,3891.0,13233.0,1363.0,1465.0,7491.0,19347.0,3241.0,6262.0,13074.0,15653.0,2903.0,3850.0,4880.0,25004.0,-3129.0,-1752.0,5343.0,15901.0,-570.0,9177.0,16592.0,26976.0,6421.0,13542.0,22419.0,36037.0,13046.0,17778.0,19819.0,25596.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7821.0,13311.0,2380.0,4965.0,8468.0,14391.0,2256.0,5542.0,3891.0,13233.0,1363.0,1465.0,7491.0,19347.0,3241.0,6262.0,13074.0,15653.0,2903.0,3850.0,4880.0,25004.0,-3129.0,-1752.0,5343.0,15901.0,-570.0,9177.0,16592.0,26976.0,6421.0,13542.0,22419.0,36037.0,13046.0,17778.0,19819.0,25596.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5975.0,12579.0,1995.0,6358.0,6498.0,12260.0,1854.0,4828.0,2764.0,10895.0,-1461.0,1676.0,5819.0,15834.0,2678.0,4914.0,10697.0,12683.0,2262.0,3306.0,3844.0,22621.0,-2584.0,-1382.0,4255.0,12979.0,-460.0,7351.0,13550.0,21797.0,4949.0,11118.0,17860.0,28960.0,10062.0,13181.0,17391.0,20654.0
Zysk netto akcjonariuszy jednostki dominującej,5975.0,12579.0,1995.0,6358.0,6498.0,12260.0,1854.0,4828.0,2764.0,10895.0,-1461.0,1676.0,5819.0,15834.0,2678.0,4914.0,10697.0,12683.0,2262.0,3306.0,3844.0,22621.0,-2584.0,-1382.0,4255.0,12979.0,-460.0,7351.0,13550.0,21797.0,4949.0,11118.0,17860.0,28960.0,10062.0,13181.0,17391.0,20654.0
Aktywa trwałe,66015.0,64606.0,64173.0,66825.0,65678.0,63565.0,64413.0,65755.0,67648.0,71487.0,72993.0,78190.0,83689.0,89781.0,89718.0,92387.0,92792.0,93988.0,149741.0,153432.0,156380.0,154133.0,153013.0,160059.0,159684.0,158138.0,166250.0,157988.0,154916.0,150541.0,146908.0,143661.0,143070.0,143439.0,146066.0,145789.0,144519.0,148087.0
Wartości niematerialne i prawne,29306.0,29195.0,28890.0,28734.0,28427.0,28180.0,28003.0,27889.0,27803.0,27760.0,28313.0,28533.0,28706.0,28954.0,28977.0,29150.0,28993.0,29245.0,29190.0,29001.0,29017.0,28858.0,28655.0,28532.0,28265.0,28275.0,28050.0,27830.0,27663.0,27540.0,27429.0,27188.0,27045.0,27416.0,27226.0,26947.0,27061.0,27823.0
Rzeczowe składniki majątku trwałego,31558.0,31155.0,31110.0,32512.0,33044.0,33740.0,35127.0,37131.0,39002.0,42627.0,43090.0,47833.0,53020.0,55764.0,55782.0,58492.0,59002.0,59929.0,61704.0,120952.0,123836.0,121690.0,120670.0,130527.0,130244.0,127547.0,135782.0,127986.0,124638.0,120493.0,117338.0,114378.0,114293.0,114597.0,117844.0,117646.0,116141.0,118879.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3109.0,3074.0,3039.0,3004.0,2970.0,2935.0,2900.0,2865.0,2831.0,2795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,5151.0,4256.0,4173.0,5579.0,4207.0,1645.0,1283.0,735.0,843.0,1100.0,1590.0,1824.0,1963.0,1954.0,1885.0,1706.0,1793.0,1844.0,55912.0,579.0,662.0,754.0,893.0,1000.0,1175.0,2316.0,2418.0,2172.0,2615.0,2508.0,2141.0,2095.0,1732.0,1426.0,996.0,1196.0,1317.0,1385.0
Aktywa obrotowe,68597.0,87791.0,56890.0,70342.0,80079.0,123985.0,119281.0,119043.0,95399.0,112902.0,106612.0,79037.0,91365.0,85952.0,78400.0,95444.0,120317.0,102055.0,96770.0,110845.0,127398.0,105260.0,116469.0,112688.0,127225.0,118481.0,119410.0,128273.0,141142.0,183979.0,158584.0,163905.0,197621.0,186612.0,180566.0,196170.0,196943.0,189869.0
Zapasy,34651.0,33944.0,34116.0,32247.0,43974.0,37831.0,46147.0,43975.0,59149.0,45265.0,46646.0,50610.0,69124.0,53833.0,56554.0,52956.0,64319.0,71059.0,74951.0,80099.0,104141.0,67113.0,76961.0,82874.0,92321.0,81457.0,96669.0,91027.0,104534.0,103008.0,102972.0,112060.0,125685.0,130400.0,119591.0,123321.0,133995.0,120631.0
Należności krótkoterminowe,26220.0,16644.0,17366.0,20969.0,25598.0,14324.0,11042.0,20528.0,11744.0,18960.0,14290.0,25681.0,18175.0,22493.0,17764.0,36805.0,44228.0,21755.0,16228.0,25141.0,18416.0,33485.0,28254.0,23082.0,20022.0,29829.0,17765.0,23902.0,25735.0,28007.0,26584.0,39308.0,44449.0,38023.0,43410.0,48650.0,45872.0,46434.0
