,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,29.17,8.36,134.19,144.64,182.59,107.78,-47.25,-33.93,-53.83,-62.45,-33.15,-39.99,-49.69,-36.69,-15.38,-32.61,45.67,57.16,36.29,42.72,17.19,10.95,-30.6,-0.86,-48.99,-23.0,-0.23,-35.94,-0.8,-15.46,-11.45,9.22,82.67,38.91,29.56,11.37,32.57,74.12,87.32,59.6,-10.43,-28.2,-14.44,-22.88,19.42,25.47,-14.75,21.87,16.72,19.68,1.58,14.97,39.07,-18.23,29.71,-5.58
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,24.69,-4.77,163.71,141.0,264.04,155.12,-49.14,-42.72,-61.86,-61.05,-37.45,-32.53,-46.35,-43.45,-13.17,-31.07,60.75,82.04,43.59,46.47,13.0,2.09,-37.75,-11.6,-48.05,-16.96,11.46,-23.92,17.78,-12.91,-4.79,2.62,47.88,21.22,10.07,-0.01,39.62,83.89,104.5,69.54,-19.59,-34.98,-20.03,-27.63,28.27,40.92,-15.91,19.31,18.47,15.46,2.57,34.15,39.61,-14.93,39.22,-26.06
Koszty sprzedaży,,,,,,,,,1300.0,1410.0,2.78,22.83,-2.6,6.62,47.97,-10.26,-79.33,-78.88,-31.96,-79.29,-32.26,602.94,96.64,751.72,1447.62,64.02,71.67,197.57,67.38,27.81,-1.79,-34.15,-17.83,-15.37,-6.28,-14.46,4.25,5.19,-14.9,29.71,29.83,44.84,68.27,37.43,23.14,24.46,15.84,21.95,13.69,25.75,52.99,28.11,32.11,-5.44,-24.94,-19.43,-19.3,-7.85,-13.04,-12.38
Koszty ogólnego zarządu,,,,,55.85,27.94,92.61,41.88,-7.51,-7.61,-26.72,-6.4,4.08,1.33,-4.13,-8.91,-12.55,-8.95,-9.86,0.96,-3.73,6.62,10.14,2.89,5.87,-5.71,7.27,8.84,0.0,4.74,-11.39,-15.44,-8.01,-15.19,-9.46,-10.36,-3.75,5.66,-4.8,6.2,9.74,7.32,12.6,18.43,8.58,5.36,6.81,11.78,-3.15,9.02,4.28,16.37,6.83,-6.61,-0.59,-18.4,14.86,-2.08,9.22,55.92
Zysk ze sprzedaży,,,,,26.77,71.08,-38.77,293.84,-51.16,15.92,-32.83,24.73,145.7,-104.94,-4.74,-76.64,-109.7,182.48,-53.36,-83.33,-133.33,-468.58,-73.56,91.76,84.18,199.28,213.46,255.06,-1812.9,-250.91,-266.87,-159.06,-77.23,-13.38,-120.83,100.07,105.71,172.93,176.03,192700.0,-295.56,97.09,-2.41,28.79,389.49,4.03,72.03,-20.02,-70.95,-81.99,-43.22,53.73,-76.01,554.33,12.79,-86.54,1666.2,-76.9,-56.14,1207.54
Pozostałe przychody operacyjne,,,,,1383.75,100.0,566.67,62.18,-59.31,265.62,-19.38,-76.79,-60.46,4.56,1541.09,87.25,-63.35,-70.03,-95.42,1052.62,285.71,57.27,182.47,-31.46,132.22,-29.48,-44.16,-91.98,-85.01,-67.21,-10.46,-1.24,4.26,152.5,-43.8,243.93,-46.94,-56.44,68.83,-53.28,742.31,1370.45,115.38,-85.68,25.8,-61.67,38.57,105.45,-84.39,645.97,-41.75,310.62,33.72,-95.03,15.04,76.94,-33.04,152.17,-24.62,-68.57
Pozostałe koszty operacyjne,,,,,733.33,61.54,-109.47,403.57,24.0,156.35,1000.0,107.68,67.74,6893.5,2879.01,-16.05,36.54,-96.77,-89.56,118.1,-33.8,-53.56,1.59,-80.82,637.23,-39.53,-75.78,-42.63,-92.06,-45.37,8.06,27.97,325.45,213.39,-19.4,29.14,-41.03,38.75,327.78,64.79,50.0,43.33,0.0,0.1,-64.25,-3.15,-29.0,-42.49,21.62,-88.31,-87.2,-51.17,-17.78,100.0,1138.1,320.66,55.41,64.56,-43.08,16.49
Zysk operacyjny (EBIT),,,,,85.35,71.85,-32.05,232.28,-55.23,17.25,-35.88,4.22,81.6,-503.52,-29.58,-85.65,-112.07,98.25,-55.11,34.42,-27.16,-153.55,-60.0,99.87,61.41,174.47,233.33,-21.59,-994.34,-277.42,-228.62,-170.51,-89.02,-26.14,-138.47,113.79,102.86,135.38,171.33,466.39,-228.72,236.67,9.22,16.69,1336.36,-14.88,82.11,-1.84,-80.48,27.49,-40.13,110.23,-61.64,12.78,-2.51,-97.17,985.71,-77.42,-52.89,4578.26
Przychody finansowe,,,,,75.89,28.46,202.73,808.64,306.85,210.78,121.12,-56.32,-35.18,19.08,-41.22,30.17,1.22,-27.18,-33.75,50.66,48.79,-36.0,-50.31,-81.92,-68.53,-20.14,-12.24,-10.09,-15.16,-39.13,-39.42,-52.2,-38.4,-80.71,-36.51,29.59,-79.01,-125.93,-42.5,-89.76,61.76,542.86,-80.43,138.46,9.09,-35.48,44.44,-3.23,-30.0,-45.0,53.85,6.67,-4.76,54.55,140.0,46.88,95.0,170.59,870.83,223.4
