,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Period,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,29991.0,41822.0,17032.0,22391.0,47533.0,28387.0,28612.0,24210.0,25911.0,28167.0,30240.0,31696.0,35142.0,27091.0,24168.0,23999.0,26989.0,30858.0,39080.0,30457.0,38875.0,47427.0,57669.0,41095.0,52918.0,41936.0,52826.0,45039.0,54791.0,43891.0,68952.0,48839.0,54884.0
Techniczny koszt wytworzenia produkcji sprzedanej,14772.0,16089.0,12713.0,15032.0,-9141.0,15895.0,10431.0,14449.0,-3701.0,12905.0,-1283.0,32199.0,-2086.0,9599.0,4871.0,8580.0,14935.0,10477.0,6627.0,8515.0,28463.0,47002.0,55561.0,47570.0,57606.0,53088.0,61184.0,56640.0,60450.0,57799.0,63172.0,58677.0,64215.0
Koszty sprzedaży,28949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8087.0,3339.0,-11426.0,3898.0,3936.0,4119.0,7580.0,4281.0,3334.0,4724.0,7192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,10473.0,6518.0,5480.0,6594.0,30991.0,8240.0,11486.0,6347.0,23096.0,8187.0,15520.0,-10748.0,37931.0,7928.0,17365.0,11109.0,6427.0,7954.0,18140.0,15037.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-24203.0,19215.0,-1161.0,765.0,25683.0,4252.0,6695.0,3414.0,6516.0,7075.0,7916.0,6906.0,10723.0,5666.0,-2004.0,191.0,-1953.0,8146.0,10979.0,2181.0,2539.0,425.0,2108.0,-6475.0,-4688.0,-11152.0,-8358.0,-11601.0,-5659.0,-13908.0,5780.0,-9838.0,-9331.0
Pozostałe przychody operacyjne,7994.0,66.0,14684.0,8050.0,-19119.0,862.0,1024.0,952.0,2636.0,1248.0,1321.0,1243.0,1646.0,1060.0,1772.0,1426.0,1557.0,1494.0,1241.0,510.0,11175.0,8.0,63.0,146.0,-55.0,393.0,283.0,242.0,212.0,323.0,399.0,249.0,357.0
Pozostałe koszty operacyjne,1326.0,63.0,586.0,11.0,466.0,21.0,7.0,125.0,207.0,258.0,23.0,65.0,2121.0,47.0,15.0,1.0,755.0,2.0,39.0,783.0,13564.0,51.0,643.0,42.0,1249.0,339.0,309.0,200.0,848.0,24.0,767.0,180.0,302.0
Zysk operacyjny (EBIT),-17535.0,19218.0,12937.0,8804.0,6098.0,5093.0,7712.0,4241.0,8945.0,8065.0,9214.0,8084.0,10248.0,6679.0,-247.0,1616.0,-1151.0,9638.0,12181.0,1908.0,150.0,382.0,1528.0,-6371.0,-5992.0,-11098.0,-8384.0,-11559.0,-6295.0,-13609.0,5412.0,-9769.0,-9276.0
Przychody finansowe,-267.0,5.0,-5.0,64.0,584.0,976.0,2069.0,1189.0,1140.0,988.0,979.0,1409.0,55.0,708.0,456.0,449.0,223.0,112.0,30.0,0.0,0.0,10.0,0.0,0.0,78.0,284.0,526.0,666.0,2339.0,2992.0,2441.0,2706.0,2227.0
Koszty finansowe,32.0,216.0,275.0,14.0,413.0,230.0,47.0,128.0,47.0,70.0,738.0,1124.0,-383.0,285.0,135.0,333.0,172.0,110.0,647.0,273.0,920.0,2116.0,-322.0,1729.0,1199.0,858.0,673.0,507.0,887.0,958.0,766.0,1007.0,361.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-17834.0,19007.0,12657.0,8854.0,6269.0,5839.0,9734.0,5302.0,10038.0,8983.0,9455.0,8369.0,10686.0,7102.0,74.0,1732.0,-1100.0,9640.0,11564.0,1635.0,-770.0,-1724.0,1850.0,-8100.0,-7113.0,-11672.0,-8531.0,-11400.0,-4843.0,-11575.0,7087.0,-8070.0,-7410.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-17834.0,19007.0,12657.0,8854.0,6269.0,5839.0,9734.0,5302.0,10038.0,8983.0,9455.0,8369.0,10686.0,7102.0,74.0,1732.0,-1100.0,9640.0,11564.0,1635.0,-770.0,-1724.0,1850.0,-8100.0,-7113.0,-11672.0,-8531.0,-11400.0,-4843.0,-11575.0,7087.0,-8070.0,-7410.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,7278.0,15476.0,12397.0,7201.0,2733.0,4863.0,8569.0,5940.0,6243.0,7550.0,7588.0,8291.0,6268.0,6490.0,1671.0,2133.0,1641.0,9413.0,11345.0,3965.0,-3228.0,-1715.0,2017.0,-7830.0,-4079.0,-7512.0,-8112.0,-11668.0,-11985.0,-9475.0,3136.0,-6816.0,-14969.0
Zysk netto akcjonariuszy jednostki dominującej,7278.0,15476.0,12397.0,7201.0,2733.0,4863.0,8569.0,5940.0,6243.0,7550.0,7588.0,8291.0,6268.0,6490.0,1671.0,2133.0,1641.0,9413.0,11345.0,3965.0,-3228.0,-1715.0,2017.0,-7830.0,-4079.0,-7512.0,-8112.0,-11668.0,-11985.0,-9475.0,3136.0,-6816.0,-14969.0
Aktywa trwałe,123343.0,121069.0,121043.0,139797.0,194160.0,197720.0,222243.0,235497.0,270504.0,290053.0,313614.0,337136.0,349917.0,374108.0,403232.0,426143.0,447770.0,441276.0,553749.0,573783.0,584725.0,440933.0,436322.0,425749.0,428437.0,412833.0,406684.0,406492.0,405182.0,408785.0,403122.0,397093.0,379559.0
