,0,1,2,3,4,5,6,7,8,9,10
Period,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2018/Q3,2018/Q4,2020/Q4,2021/Q4,2022/Q4,2023/Q1,2023/Q4
Przychody ze sprzedaży,,,77.38,-50.16,,,,147.01,-46.21,,28.55
Techniczny koszt wytworzenia produkcji sprzedanej,,,175.6,-45.96,,,,106.18,-42.82,,32.15
Koszty sprzedaży,,,-17.1,12.05,,,,2.42,-39.18,,56.47
Koszty ogólnego zarządu,,,40.95,33.56,,,,135.6,-25.59,,38.06
Zysk ze sprzedaży,,,-325.36,-71.85,,,,653.23,-60.97,,5.57
Pozostałe przychody operacyjne,,,-26.83,-27.82,,,,151.31,-159.42,,179.92
Pozostałe koszty operacyjne,,,-3.26,625.17,,,,-89.87,666.94,,-67.89
Zysk operacyjny (EBIT),,,-371.36,-93.74,,,,2337.07,-67.07,,21.27
Przychody finansowe,,,392.41,1889.12,,,,26.42,67.64,,4.08
Koszty finansowe,,,,,,,,99.8,-45.82,,302.6
Pozostałe przychody (koszty),,,,,,,,,,,
Zysk z działalności gospodarczej,,,409.39,-6.29,,,,1949.21,-65.02,,15.27
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,
Zysk przed opodatkowaniem,,,409.39,-6.29,,,,1949.21,-65.02,,15.27
Zysk (strata) netto z działalności zaniechanej,,,,,,,,100.0,,,
Zysk netto,,,390.62,1.25,,,,4123.84,-65.03,,15.99
Zysk netto akcjonariuszy jednostki dominującej,,,3205.98,7.1,,,,8274.62,-64.87,,16.18
Aktywa trwałe,,,,102.77,,,,-15.19,-57.79,,18.62
Wartości niematerialne i prawne,,,,2.36,,,,13.52,-23.88,,-29.01
Rzeczowe składniki majątku trwałego,,,,-19.81,,,,-3.86,-28.72,,240.32
Należności długoterminowe,,,,8.3,,,,-100.0,,,
Inwestycje długoterminowe,,,,104.75,,,,-18.67,-99.84,,-33.33
Pozostałe aktywa trwałe,,,,267.66,,,,-3.01,-26.6,,2.08
Aktywa obrotowe,,,,-12.88,,,,40.31,14.37,,7.04
Zapasy,,,,-8.94,,,,29.7,21.95,,12.53
Należności krótkoterminowe,,,,21.96,,,,107.71,-23.48,,20.85
Inwestycje krótkoterminowe,,,,29.78,,,,85.12,5.48,,-19.7
Środki pieniężne i inne aktywa pieniężne,,,,-12.71,,,,119.56,0.62,,-32.04
Pozostałe aktywa obrotowe,,,,-73.63,,,,-91.72,-22.25,,19.83
Aktywa trwałe przeznaczone do sprzedaży,,,,-100.0,,,,,,,
Aktywa razem,,,,21.78,,,,31.16,6.68,,7.53
Kapitał własny akcjonariuszy jednostki dominującej,,,52.33,33.48,,,,82.5,-12.64,,27.75
Kapitał (fundusz) podstawowy,,,,0.0,,,,0.0,0.0,,0.0
Udziały (akcje) własne,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,38.52,,,,,,,
Udziały niekontrolujące,,,8490.0,2086.61,,,,-14.27,-45.09,,-48.56
Zobowiązania długoterminowe,,,,-6.3,,,,340.5,19.15,,10.6
Z tytułu dostaw i usług,,,,-34.68,,,,42.42,-28.49,,-4.49
Kredyty i pożyczki,,,,55.49,,,,-75.53,-3.05,,35.83
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,-100.0,,,
Zobowiązania z tytułu leasingu finansowego,,,,448.45,,,,65.68,20.57,,70.41
Inne zobowiązania długoterminowe,,,,2.63,,,,11.99,-33.55,,5.84
Zobowiązania krótkoterminowe,,,,7.22,,,,-12.15,13.96,,-3.78
Inne zobowiązania krótkoterminowe,,,,-19.71,,,,18.43,22.55,,-7.45
Rozliczenia międzyokresowe,,,,,,,,,,,
Pasywa razem,,,366.6,21.78,,,,31.16,6.68,,7.53
Przepływy pieniężne z działalności operacyjnej,,,-102.21,-82.53,,,,-101.18,12088.67,,-70.42
Amortyzacja,,,-15.88,25.45,,,,-4.84,0.19,,21.8
Przepływy pieniężne z działalności inwestycyjnej,,,-249.95,49.03,,,,18.85,-18.57,,71.87
CAPEX (niematerialne i rzeczowe),,,-86.64,-55.8,,,,-93.08,3123.44,,-69.41
Przepływy pieniężne z działalności finansowej,,,123.8,728.87,,,,81.35,-1280.07,,87.26
Emisja akcji,,,,-100.0,,,,,,,
Dywidenda,,,,,,,,,,,-100.0
Przepływy pieniężne razem,,,-46.68,127.18,,,,-35.07,-540.3,,101.91
