,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,10943.0,12069.0,10916.0,14526.0,19676.0,19178.0,21734.0,24138.0,23102.0,26735.0,25255.0,29700.0,26274.0,30166.0,25377.0,28513.0,24129.0,24516.0,23905.0,29845.0,27499.0,29115.0,28744.0,21699.0,27118.0,29015.0,26615.0,31188.0,28778.0,30252.0,29995.0,34308.0,30736.0,33662.0,37892.0,46868.0,41630.0,47906.0,43372.0,68686.0,49965.0,48738.0,53402.0,59705.0,57394.0,61568.0,63535.0,74665.0,66449.0,72887.0,64986.0,80497.0,70746.0,74052.0,69941.0,79466.0,75511.0
Techniczny koszt wytworzenia produkcji sprzedanej,6411.0,6952.0,5890.0,9150.0,14914.0,15897.0,17002.0,19788.0,18253.0,19395.0,19311.0,22601.0,19871.0,21483.0,19883.0,21057.0,15342.0,17769.0,17021.0,15592.0,15609.0,27893.0,22040.0,18025.0,22255.0,23297.0,22877.0,27501.0,24851.0,24595.0,24401.0,27421.0,25576.0,27546.0,33022.0,38814.0,35504.0,40045.0,38537.0,59828.0,42204.0,43118.0,45351.0,45368.0,44639.0,45583.0,49527.0,52960.0,49353.0,59812.0,50777.0,60774.0,53464.0,58902.0,57050.0,59517.0,51305.0
Koszty sprzedaży,370.0,313.0,153.0,299.0,513.0,96.0,229.0,303.0,171.0,112.0,287.0,253.0,346.0,357.0,302.0,467.0,724.0,538.0,736.0,4212.0,1783.0,-1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,1594.0,2361.0,1892.0,2127.0,1438.0,2487.0,1626.0,564.0,1145.0,1435.0,1133.0,2058.0,1487.0,2249.0,1225.0,2355.0,2716.0,2713.0,801.0,3078.0,3200.0,-3200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,2568.0,2443.0,2981.0,2950.0,2811.0,698.0,2877.0,3483.0,3533.0,5793.0,4524.0,4788.0,4570.0,6077.0,3967.0,4634.0,5347.0,3496.0,5347.0,6963.0,6907.0,6205.0,6704.0,3674.0,4863.0,5718.0,3738.0,3687.0,3927.0,5657.0,5594.0,6887.0,5160.0,6116.0,4870.0,8054.0,6126.0,7861.0,4835.0,8858.0,7761.0,5620.0,8051.0,14337.0,12755.0,15985.0,14008.0,21705.0,17096.0,13075.0,14209.0,19723.0,17282.0,15150.0,12891.0,19949.0,24206.0
Pozostałe przychody operacyjne,5.0,253.0,10.0,179.0,9.0,1.0,3.0,95.0,6.0,1.0,465.0,-396.0,30.0,-4.0,55.0,3350.0,36508.0,69.0,304.0,-36552.0,20.0,287.0,135.0,-165.0,-60.0,53.0,1152.0,644.0,-273.0,-5.0,-488.0,1166.0,356.0,27430.0,124.0,-9643.0,374.0,30.0,67.0,1198.0,258.0,-42.0,-135.0,266.0,17.0,13.0,28.0,21.0,30.0,63.0,436.0,91.0,1053.0,-1017.0,4.0,1845.0,223.0
Pozostałe koszty operacyjne,0.0,15.0,-1.0,154.0,28.0,20.0,25.0,97.0,1.0,214.0,681.0,516.0,39.0,544.0,287.0,1241.0,593.0,865.0,1249.0,2648.0,1618.0,455.0,1539.0,-587.0,131.0,455.0,179.0,658.0,504.0,558.0,262.0,-82.0,780.0,119.0,36.0,-36.0,1029.0,-626.0,1567.0,1276.0,2109.0,-978.0,281.0,-408.0,4066.0,130.0,1241.0,-743.0,2042.0,1715.0,4340.0,-4112.0,1195.0,749.0,590.0,-1885.0,1481.0
Zysk operacyjny (EBIT),2573.0,2681.0,2992.0,2975.0,2792.0,679.0,2855.0,3481.0,3538.0,5580.0,4308.0,3876.0,4561.0,5529.0,3735.0,6743.0,41262.0,2700.0,4402.0,-32237.0,5309.0,6037.0,5300.0,4096.0,4672.0,5316.0,4711.0,3673.0,3150.0,5094.0,4844.0,8135.0,4736.0,33427.0,4958.0,-1553.0,5471.0,8517.0,3335.0,8780.0,5910.0,6556.0,7635.0,15011.0,8706.0,15868.0,12795.0,22469.0,15084.0,11423.0,10305.0,23926.0,17140.0,13384.0,12305.0,23679.0,22948.0
Przychody finansowe,2.0,1.0,3.0,1396.0,16.0,184.0,252.0,301.0,181.0,123.0,19.0,46.0,256.0,111.0,-280.0,131.0,51.0,65.0,100.0,29.0,61.0,84.0,46.0,11.0,53.0,54.0,16.0,18.0,17.0,10.0,8.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,44.0,40.0,49.0,61.0,46.0,168.0,147.0,167.0,312.0,228.0,172.0,-37.0,395.0,138.0,148.0,554.0,66.0,811.0
Koszty finansowe,42.0,102.0,-21.0,162.0,110.0,190.0,64.0,47.0,382.0,-111.0,354.0,140.0,75.0,-32.0,237.0,944.0,605.0,74.0,1426.0,-1510.0,30.0,27.0,45.0,-13.0,4.0,48.0,239.0,269.0,238.0,224.0,260.0,494.0,270.0,607.0,671.0,854.0,755.0,699.0,714.0,706.0,887.0,558.0,219.0,577.0,372.0,349.0,288.0,291.0,334.0,305.0,313.0,355.0,365.0,513.0,251.0,652.0,350.0
