,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Period,2007/Q1,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,26.37,,,,-30.37,-38.36,-48.61,-49.59,-21.99,-20.57,1.93,23.48,14.9,26.73,22.46,-4.83,16.84,4.39,3.37,28.28,-1.2,-4.96,-11.98,-22.76,-5.49,13.17,3.05,60.44,18.57,7.73,35.49,-14.34,16.6,15.39,15.19,32.28,13.1,27.82,17.95,19.25,19.45,14.75,16.06,8.82,27.36,18.71,17.09,22.46,11.82,13.86,16.61,16.07,17.74,33.39,50.31,49.91,46.97,34.44,18.97,20.12,18.42,31.05,14.86,12.75
Techniczny koszt wytworzenia produkcji sprzedanej,,16.24,,,,-16.95,-22.71,-41.72,-42.79,-31.73,-19.77,-13.81,-1.63,7.93,7.04,-9.05,-4.17,12.75,11.95,33.49,29.83,-2.66,-14.58,-26.8,-34.47,-12.53,5.36,-2.67,60.23,32.13,6.34,51.25,-7.9,-1.63,18.65,9.77,17.11,13.06,21.29,24.06,33.96,36.49,25.72,25.97,11.68,21.5,21.76,11.62,20.31,13.18,16.91,19.76,16.65,15.63,19.14,23.52,24.18,24.62,31.19,27.12,18.54,23.08,25.16,22.71,27.8
Koszty sprzedaży,,-14.13,,,,1521.52,101.43,116.36,-88.91,-85.32,17.73,51.26,19.26,-2.13,11.45,-2.78,30.43,30.43,-25.95,-21.71,-26.19,-35.0,32.12,58.39,43.23,51.92,15.47,0.92,2.25,30.38,27.75,6.85,18.06,-4.85,-2.25,18.38,-3.73,8.5,10.73,-11.19,22.87,20.69,7.61,12.6,-12.3,-18.7,-27.33,42.24,47.48,59.42,107.08,4.57,40.0,-3.41,45.73,100.0,42.16,109.96,54.4,41.26,36.89,18.38,10.64,29.81,60.7
Koszty ogólnego zarządu,,87.88,,,,48.06,20.8,-26.81,-30.08,-31.59,-36.01,-10.96,-6.69,14.97,17.13,20.12,17.13,16.34,3.92,-1.0,14.36,0.24,3.02,1.52,5.35,5.94,15.37,10.95,13.91,14.8,1.69,-4.71,-23.06,-16.6,-13.31,-3.06,-2.02,0.0,20.62,16.5,46.79,25.06,12.52,23.96,6.65,14.23,16.78,10.25,2.63,11.48,4.24,9.3,29.44,24.12,24.38,19.53,-1.73,13.74,14.47,17.27,24.78,12.4,12.84,12.14,18.25
Zysk ze sprzedaży,,120.13,,,,-544.0,-162.87,-495.45,67.79,89.77,23.35,68.1,116.38,66.04,97.85,420.72,-241.38,53.7,-1033.33,-86.52,147.56,400.0,133.82,197.92,-30.77,-34.67,469.57,33.57,1329.63,-402.04,14.5,62.83,-54.66,377.03,102.0,69.45,322.86,30.24,95.71,11.2,-38.78,-53.18,-24.96,-30.89,8.39,194.0,32.36,52.1,46.84,-14.69,-30.39,14.29,-12.21,40.99,186.1,211.51,304.58,160.29,51.83,-7.93,16.75,9.39,75.69,-17.88,-40.1
Pozostałe przychody operacyjne,,0.0,,,,800.0,-87.5,-128.57,25.0,-88.89,300.0,6100.0,-40.0,17400.0,225.0,-96.67,3416.67,2.86,73.08,200.0,-82.94,77.78,-71.11,-16.67,-36.11,-93.44,-46.15,30.0,-73.91,-14.29,0.0,-46.15,50.0,-88.89,342.86,-14.29,188.89,-50.0,67.74,-83.33,234.62,0.0,-100.0,-100.0,-83.91,-100.0,,,-57.14,,-100.0,,600.0,,,,78.57,,-95.0,-100.0,-89.33,,500.0,,262.5
Pozostałe koszty operacyjne,,,,,,116.67,-100.0,25.0,700.0,-100.0,,-100.0,50.0,,75.0,,-37.5,-50.0,-71.43,-100.0,-66.67,1300.0,200.0,,-160.0,-50.0,66.67,,150.0,14.29,70.0,250.0,4500.0,-87.5,-88.24,357.14,-64.49,500.0,400.0,-40.62,297.96,83.33,-60.0,-89.47,-90.26,-72.73,475.0,150.0,26.32,300.0,43.48,80.0,145.83,-50.0,115.15,22.22,8.47,-83.33,94.37,36.36,-29.69,300.0,-60.87,73.33,-6.67
Zysk operacyjny (EBIT),,115.62,,,,-551.59,-163.4,-539.76,65.66,89.86,24.03,102.47,104.26,175.32,104.73,3788.89,518.75,29.41,-292.31,-82.86,-34.34,147.4,220.0,155.0,-13.85,-83.46,326.67,32.03,594.64,-319.05,9.38,53.96,-88.17,397.83,137.14,61.09,1458.7,28.71,91.27,13.37,-51.88,-54.63,-30.55,-29.05,40.87,205.0,28.57,51.61,44.65,-15.98,-33.51,13.75,-12.38,42.76,197.61,214.1,317.53,161.96,46.52,-8.2,14.81,9.74,87.41,-18.56,-39.79
Przychody finansowe,,-57.14,,,,4633.33,-49.11,-84.69,-70.95,-73.24,-33.33,80.0,-46.15,-36.84,-34.21,14.81,7.14,50.0,32.0,9.68,33.33,13.89,54.55,-82.35,-42.5,-41.46,-60.78,283.33,56.52,-29.17,-20.0,-39.13,-44.44,17.65,112.5,-57.14,65.0,20.0,-35.29,316.67,-18.18,8.33,86.36,-48.0,11.11,7.69,-26.83,69.23,-10.0,82.14,-80.0,-86.36,-55.56,-94.12,-116.67,-66.67,-100.0,333.33,5100.0,5700.0,,876.92,754.0,372.41,54.33
