,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,696.0,417.0,694.0,934.0,1873.0,1081.0,2088.0,1511.0,2182.0,1540.0,2936.0,2709.0,5996.0,3043.0,4196.0,4327.0,5753.0,6169.0,5801.0,3141.0,3801.0,2562.0,3694.0,5329.0,4784.0,5052.0,5068.0,5079.0,7181.0,6458.0,7256.0,6497.0,6174.0,6509.0,6725.0,6339.0,6589.0,6300.0,4568.0,6083.0,6636.0,8541.0,9860.0,10156.0,11870.0,11049.0,11411.0,12502.0,9136.0,11967.0,10766.0,9904.0,11637.0
Techniczny koszt wytworzenia produkcji sprzedanej,436.0,302.0,576.0,729.0,1009.0,1189.0,1230.0,1492.0,1471.0,1428.0,1825.0,2313.0,4761.0,2663.0,4088.0,2860.0,6578.0,5619.0,6241.0,4830.0,5234.0,4672.0,5432.0,6847.0,6057.0,5189.0,6400.0,5886.0,8630.0,6570.0,7586.0,8432.0,7975.0,6355.0,6613.0,6171.0,6396.0,6062.0,5181.0,5184.0,6020.0,8002.0,8934.0,8801.0,9535.0,10420.0,10455.0,11121.0,6487.0,11385.0,10615.0,10564.0,11681.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,260.0,115.0,118.0,205.0,864.0,-108.0,858.0,19.0,711.0,112.0,1111.0,396.0,1235.0,380.0,108.0,1467.0,-825.0,550.0,-440.0,-1689.0,-1433.0,-2110.0,-1738.0,-1518.0,-1273.0,-137.0,-1332.0,-807.0,-1449.0,-112.0,-330.0,-1935.0,-1801.0,154.0,112.0,168.0,193.0,238.0,-613.0,899.0,616.0,539.0,926.0,1355.0,2335.0,629.0,956.0,1381.0,2649.0,582.0,151.0,-660.0,-44.0
Pozostałe przychody operacyjne,0.0,1.0,0.0,2.0,2.0,209.0,10.0,10.0,109.0,352.0,16.0,24.0,194.0,310.0,41.0,57.0,608.0,192.0,767.0,-76.0,311.0,417.0,195.0,195.0,376.0,352.0,187.0,186.0,126.0,217.0,173.0,152.0,773.0,0.0,3.0,57.0,43.0,0.0,0.0,19.0,129.0,0.0,2.0,17.0,21.0,10.0,46.0,1044.0,10.0,0.0,25.0,2.0,213.0
Pozostałe koszty operacyjne,0.0,0.0,2.0,-2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,187.0,146.0,85.0,77.0,146.0,83.0,111.0,82.0,86.0,48.0,4166.0,187.0,93.0,81.0,-35.0,99.0,129.0,66.0,4245.0,123.0,100.0,133.0,137.0,0.0,0.0,237.0,59.0,104.0,124.0,27.0,90.0,97.0,100.0,55.0,49.0,129.0,61.0,454.0,88.0
Zysk operacyjny (EBIT),260.0,116.0,116.0,209.0,863.0,101.0,868.0,29.0,817.0,464.0,1127.0,420.0,1429.0,690.0,-38.0,1378.0,-302.0,665.0,181.0,-1848.0,-1233.0,-1775.0,-1629.0,-1371.0,-5063.0,28.0,-1238.0,-702.0,-1288.0,6.0,-286.0,-1849.0,-5273.0,31.0,15.0,92.0,99.0,238.0,-613.0,681.0,686.0,435.0,804.0,1345.0,2266.0,542.0,902.0,2370.0,2610.0,453.0,115.0,-1112.0,81.0
Przychody finansowe,0.0,2.0,3.0,5.0,16.0,4.0,1.0,3.0,-3.0,11.0,14.0,6.0,2.0,49.0,46.0,31.0,26.0,22.0,20.0,18.0,11.0,5.0,8.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,27.0,20.0,20.0,7.0,6.0,4.0
