,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,285.0,468.0,546.0,1227.0,761.0,773.0,936.0,2611.0,1420.0,1365.0,2173.0,3094.0,2759.0,2785.0,3947.0,5374.0,3950.0,4105.0,6479.0,2782.0,6633.0,6843.0,5416.0,3861.0,4459.0,5003.0,4376.0,3817.0,3359.0,4444.0,4915.0,4769.0,4152.0,4184.0,5023.0,6339.0,6372.0,10069.0,7782.0,6235.0,5713.0,5048.0,7015.0,7914.0,7863.0,9825.0,13876.0,6731.0,6692.0,7233.0,5590.0,5368.0
Techniczny koszt wytworzenia produkcji sprzedanej,510.0,447.0,527.0,614.0,774.0,746.0,1150.0,1739.0,1268.0,1339.0,1969.0,2390.0,2312.0,2280.0,3072.0,3521.0,2579.0,2983.0,4228.0,4528.0,6055.0,6660.0,5941.0,4637.0,4822.0,5110.0,4894.0,4756.0,4742.0,5599.0,6069.0,6016.0,4781.0,4156.0,4437.0,5224.0,5311.0,8815.0,6727.0,6998.0,6320.0,6602.0,7426.0,8708.0,8134.0,9973.0,11162.0,9057.0,6901.0,6883.0,6278.0,5958.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-225.0,21.0,19.0,613.0,-13.0,27.0,-214.0,872.0,152.0,26.0,204.0,704.0,447.0,505.0,875.0,1853.0,1371.0,1122.0,2251.0,-1746.0,578.0,183.0,-525.0,-776.0,-363.0,-107.0,-518.0,-939.0,-1383.0,-1155.0,-1154.0,-1247.0,-629.0,28.0,586.0,1115.0,1061.0,1254.0,1055.0,-763.0,-607.0,-1554.0,-411.0,-794.0,-271.0,-148.0,2714.0,-2326.0,-209.0,350.0,-688.0,-590.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,-22.0,36.0,4.0,73.0,201.0,32.0,63.0,64.0,27.0,28.0,138.0,2640.0,139.0,1427.0,214.0,1134.0,668.0,928.0,143.0,220.0,210.0,206.0,211.0,48.0,209.0,229.0,135.0,132.0,813.0,3.0,356.0,407.0,344.0,348.0,346.0,349.0,357.0,353.0,280.0,295.0,341.0,1998.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,51.0,0.0,0.0,0.0,7.0,0.0,0.0,29.0,179.0,36.0,29.0,225.0,377.0,7.0,13.0,959.0,3225.0,118.0,8.0,21.0,243.0,1142.0,-1030.0,-22.0,129.0,5.0,91.0,152.0,18.0,3.0,6.0,18.0,10.0,109.0,197.0,1567.0,-1176.0,4.0,85.0,-3.0,12573.0,7.0,8.0,28.0,219.0,7.0,5.0,8.0,3930.0
Zysk operacyjny (EBIT),-268.0,21.0,9.0,615.0,-13.0,27.0,-214.0,865.0,219.0,26.0,153.0,561.0,415.0,549.0,851.0,1508.0,1427.0,1173.0,1319.0,-4943.0,598.0,2815.0,-407.0,408.0,-1291.0,2057.0,172.0,-140.0,-1245.0,-1026.0,-1096.0,-1059.0,-421.0,70.0,777.0,1334.0,1087.0,1189.0,301.0,416.0,-255.0,-1232.0,-64.0,-13019.0,68.0,193.0,3043.0,-2192.0,64.0,640.0,-355.0,-2522.0
Przychody finansowe,0.0,0.0,0.0,18.0,0.0,0.0,17.0,2.0,0.0,19.0,-17.0,0.0,2.0,-2.0,8.0,46.0,33.0,13.0,29.0,119.0,84.0,20.0,-2.0,38.0,10.0,0.0,9.0,39.0,14.0,138.0,-41.0,175.0,5.0,-2.0,1.0,3.0,207.0,-40.0,-20.0,-54.0,123.0,-123.0,0.0,35.0,37.0,10.0,-19.0,47.0,5.0,3.0,22.0,-19.0
Koszty finansowe,0.0,0.0,0.0,23.0,0.0,0.0,34.0,48.0,0.0,25.0,-9.0,33.0,16.0,36.0,8.0,6.0,14.0,17.0,53.0,40.0,77.0,67.0,43.0,22.0,166.0,555.0,416.0,482.0,343.0,238.0,297.0,264.0,249.0,314.0,199.0,389.0,266.0,255.0,144.0,258.0,141.0,137.0,24.0,152.0,121.0,134.0,185.0,50.0,86.0,120.0,40.0,108.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-224.0,-83.0,-304.0,0.0,70.0,0.0,-173.0,-86.0,-8.0,-1.0,38.0,0.0,-139.0,1.0,2.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-273.0,20.0,17.0,608.0,-23.0,19.0,-213.0,819.0,219.0,20.0,145.0,528.0,401.0,511.0,851.0,1548.0,1446.0,1169.0,1295.0,-5088.0,522.0,2464.0,-452.0,494.0,-1447.0,1329.0,-321.0,-591.0,-1575.0,-1088.0,-1434.0,-1287.0,-664.0,-244.0,578.0,946.0,1028.0,894.0,137.0,104.0,-273.0,-1492.0,-88.0,-13136.0,-16.0,69.0,2839.0,-2195.0,-17.0,523.0,-373.0,-2649.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
