,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Period,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,134.14,54.2,49.5,47.99,31.04,29.56,31.6,20.47,17.07,10.04,10.34,11.88,13.78,18.74,27.07,26.09,33.26,35.58,27.12,9.34,-4.58,-37.81,-16.64,15.19,19.44,96.53,47.13,14.45,19.13,22.2,20.35,30.81,45.65,34.86,49.61,10.53
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,84.56,53.58,35.0,34.93,31.37,26.04,34.35,24.33,26.1,14.24,6.93,12.71,5.22,16.53,24.66,30.64,34.87,41.37,31.62,2.61,-1.18,-31.45,-21.56,10.45,9.03,66.18,49.81,10.82,15.91,23.12,20.31,56.22,64.88,47.97,39.72,2.66
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,1009.88,56.39,168.15,105.51,29.46,41.89,20.26,9.31,-25.84,-3.0,26.01,9.18,82.88,26.82,36.48,10.65,25.8,16.1,11.09,36.3,-21.49,-63.85,4.17,29.48,84.71,332.22,38.61,23.79,31.02,19.45,20.46,-27.74,-17.3,-5.47,83.55,49.74
Pozostałe przychody operacyjne,,,,,1945.45,-157.69,-80.48,676.0,-46.96,400.0,592.59,452.78,-44.13,-11.85,-29.41,-80.65,-8.5,65.97,26.01,109.74,22.95,-75.44,24.85,146.13,244.0,2604.12,108.99,258.24,150.26,53.98,1136.56,-70.68,-161.23,14.76,-120.84,914.61,308.85,-33.14,209.06,-49.0
Pozostałe koszty operacyjne,,,,,193.6,-50.0,752.98,40.34,-35.15,197.18,22.19,-23.46,142.61,-16.37,7.82,96.07,-11.36,22.03,70.13,-40.23,7.7,22.98,50.97,50.75,9.87,-14.71,-61.29,98.81,-12.75,6.39,86.36,-40.41,20.55,90.21,-347.66,-100.0,59.72,14.37,171.71,
Zysk operacyjny (EBIT),,,,,664.96,71.92,134.29,122.87,35.71,36.24,23.39,16.99,-40.06,-1.59,26.05,-1.97,111.98,27.71,33.36,21.17,28.28,14.17,6.9,36.02,-22.62,-60.64,16.55,26.27,103.56,344.32,75.81,29.68,21.79,15.46,4.87,-11.07,-15.1,-9.15,65.04,17.7
Przychody finansowe,,,,,43.66,357.41,1466.67,90.54,82.35,-30.77,-107.9,12.77,-53.23,-43.27,346.15,16.98,600.0,1306.19,-42.19,-6.18,98.19,-55.21,1200.0,51.29,-85.17,25.2,-55.72,-66.1,563.13,26.14,-245.54,5881.56,950.13,193.78,1846.45,-41.89,-72.64,56.33,-66.42,-139.67
Koszty finansowe,,,,,545.57,-47.76,-22.69,-24.35,-61.25,33.18,21.1,35.98,9.33,2.43,-6.18,27.88,9.04,-1.63,-0.22,-30.55,2.65,51.83,-20.4,4.53,-84.49,88.67,11.8,237.42,301.13,-71.79,-31.33,-82.94,14.68,60.67,182.73,490.29,374.75,264.87,161.24,-24.22
Pozostałe przychody (koszty),,,,,,,,,,,100.0,-182.92,,100.0,,88.65,,,,112.54,100.0,,-480.47,-569.12,,602.21,95.54,94.82,59.64,-97.16,889.64,100.0,100.0,-100.0,-100.0,,,,,-29.7
Zysk z działalności gospodarczej,,,,,101.26,287.68,-173.63,-47.16,23900.0,26.33,1480.74,-964.79,-59.84,4.3,37.96,159.48,193.11,41.95,56.83,91.63,59.37,1.99,-36.67,27.04,-13.81,-85.97,83.53,7.41,105.55,1390.33,100.18,104.29,54.76,15.6,0.72,-35.92,-51.91,-25.03,39.09,11.2
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,101.26,287.68,-173.63,-47.16,23900.0,26.33,1480.74,-964.79,-59.84,4.3,37.96,159.48,193.11,41.95,56.83,91.63,59.37,1.99,-36.67,27.04,-13.81,-85.97,83.53,7.41,105.55,1390.33,100.18,104.29,54.76,15.6,0.72,-35.92,-51.91,-25.03,39.09,11.2
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,82.68,245.72,-524.03,-119.57,1753.54,22.59,411.33,3662.87,-63.57,11.48,33.55,-58.14,179.31,40.63,59.59,174.83,73.67,-56.85,-1.05,0.97,-49.89,-6.31,23.87,49.12,276.44,444.52,106.61,57.14,65.28,11.41,-7.49,-44.57,-63.84,-29.41,41.26,21.42
