,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,31.45,25.36,40.5,76.79,64.74,70.57,45.4,0.61,-10.08,-20.08,3.44,-17.36,2.06,7.23,-11.11,3.52,-15.96,-11.91,-9.79,-15.98,-5.45,2.25,1.9,-28.9,2.17,-8.04,-18.02,40.9,-13.06,-3.75,9.97,2.74,9.56,1.34,-11.32,-15.58,-5.15,2.2,14.19,23.88,20.11,0.35,4.6,6.11,-2.04,3.43,5.83,-0.56,20.96,10.92,1.21,17.72
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,43.74,36.57,49.76,43.98,51.57,73.22,37.96,13.11,-3.87,-21.8,6.99,-10.86,0.85,3.91,-14.26,-0.25,-14.87,-10.66,-5.24,-13.42,-2.97,2.57,7.09,-23.63,3.63,-4.84,-17.23,42.35,-14.94,-4.48,2.45,-0.57,12.13,2.83,-5.96,-18.4,-5.67,2.41,13.63,17.72,16.04,-3.35,0.7,12.8,9.82,13.12,8.21,1.67,12.0,0.56,0.08,5.05
Koszty sprzedaży,,,,,3.86,14.26,23.93,169.68,183.67,47.78,84.18,-20.71,-21.93,10.29,-11.1,-5.6,-25.59,30.3,12.88,6.21,6.02,-21.89,-32.89,-28.37,-11.13,8.53,3.86,-23.65,3.77,-21.83,8.36,1.78,-2.3,14.03,27.49,73.66,23.94,28.66,-1.07,3.09,-3.26,-16.79,-7.08,-17.3,6.33,17.96,15.82,30.37,-16.4,-26.35,-33.68,-37.76,-13.45,-0.16,-4.33,8.52
Koszty ogólnego zarządu,,,,,20.25,79.88,111.31,191.85,85.33,100.3,105.95,4.16,-35.7,-38.79,-43.78,-21.02,24.39,4.56,31.01,-15.65,0.05,0.44,-7.77,-9.99,-6.83,23.9,-29.41,-2.56,-15.23,-35.37,9.84,-13.47,-12.49,-5.46,-3.27,-5.72,-2.2,-6.66,0.18,7.36,0.67,-3.61,9.32,2.02,22.41,45.25,15.77,29.62,15.88,-22.21,-1.13,-19.2,-0.73,17.24,-1.98,15.25
Zysk ze sprzedaży,,,,,-20.84,-74.92,-31.82,363.78,41.88,-30.63,29.18,-44.9,-32.66,24.87,58.25,-104.17,99.0,20.46,-35.16,1180.0,-67.81,-33.75,-20.41,-37.11,-45.97,-238.71,-53.2,-268.28,-14.82,117.5,-234.36,83.19,4.14,-490.21,132.44,-355.53,-196.61,-404.66,-651.68,-24.86,-3.99,59.45,56.49,248.63,317.79,-73.82,42.54,-148.19,-291.67,-31.79,347.95,170.66,214.9,198.51,55.23,623.51
Pozostałe przychody operacyjne,,,,,766.67,108.05,-54.05,300.65,1617.31,465.19,1659.43,-287.36,-52.3,-54.35,-91.64,114.74,11.74,391.01,-2.51,96.66,-10.08,-76.45,97.43,42.06,-39.02,-16.3,-86.54,-68.57,393.1,125.22,876.34,-154.81,-77.23,-41.75,-80.84,236.33,45.73,101.69,308.05,-26.95,134.43,-58.95,20.42,-360.25,-35.56,529.94,-84.09,156.69,-45.58,-99.32,297.79,139.17,306.27,7938.1,-65.8,-14.52
Pozostałe koszty operacyjne,,,,,122.22,98.57,264.91,983.7,203.33,716.55,1855.29,-156.15,58.52,-31.45,-83.43,198.88,27.9,25.32,27.6,-46.42,-21.14,-55.49,38.72,-8.23,-19.42,8572.12,33.53,-271.38,58.0,-97.71,-28.56,151.34,-44.8,342.58,-54.48,432.24,-30.81,-90.12,125.68,37.96,278.45,126.79,-42.26,-97.95,-43.79,173.57,122.67,486.34,-22.76,-97.91,-68.2,151.8,41.94,4.08,15.9,-29.36
Zysk operacyjny (EBIT),,,,,-21.66,-73.81,-38.44,240.49,63.82,-46.42,35.9,-38.7,-43.52,-10.86,39.72,-145.87,100.46,416.86,-41.19,202.9,-69.13,-68.51,-23.63,-19.05,-53.62,-5567.91,-108.74,-111.55,80.71,100.79,-893.97,-737.74,-45.91,-1364.21,111.27,-320.1,-192.3,47.17,-1708.52,-37.18,-36.16,24.59,67.08,130.3,306.02,18.26,-81.96,-179.39,-293.32,-114.78,193.16,92.32,232.05,259.38,31.92,4680.95
Przychody finansowe,,,,,377.92,2226.32,-415.81,-252.32,-49.46,-103.22,125.22,71.3,-77.42,136.54,-103.05,89.39,-85.71,-115.79,375.0,342.86,1300.0,3566.67,400.0,170.59,40.48,375.0,90.91,113.04,10.17,-90.89,4712.38,-10282.65,-89.23,393.33,-100.81,100.77,35.71,-101.8,198.78,-207.79,236.84,1950.0,-87.65,19.28,-7.81,-4.05,-490.0,317.91,133.9,-156.34,471.79,-243.84,-86.23,622.5,-73.79,89.52
