,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,141647.0,134408.0,147757.0,184765.0,186952.0,185911.0,201668.0,237702.0,235754.0,240314.0,253930.0,303420.0,303697.0,293946.0,326681.0,392893.0,391519.0,368280.0,371103.0,396670.0,469530.0,433138.0,475689.0,587223.0,611621.0,587485.0,639571.0,706948.0,751215.0,736967.0,836645.0,938540.0,956274.0,921925.0
Techniczny koszt wytworzenia produkcji sprzedanej,103877.0,101021.0,109209.0,136826.0,139136.0,138903.0,146452.0,175477.0,171226.0,180017.0,186574.0,224659.0,222172.0,214565.0,239830.0,296603.0,289597.0,266443.0,273807.0,276563.0,337767.0,305425.0,344264.0,414922.0,438006.0,407212.0,450401.0,492690.0,531817.0,512781.0,615871.0,686140.0,685177.0,676317.0
Koszty sprzedaży,25314.0,24501.0,26777.0,28089.0,33193.0,37938.0,37759.0,42368.0,45187.0,45954.0,45411.0,51037.0,54219.0,55202.0,60161.0,68878.0,72855.0,72122.0,71444.0,68503.0,77931.0,77684.0,76436.0,94068.0,102093.0,109073.0,115463.0,129107.0,133718.0,134254.0,151620.0,157580.0,164342.0,171616.0
Koszty ogólnego zarządu,3161.0,3044.0,1732.0,5102.0,2863.0,222.0,2972.0,3321.0,3412.0,4483.0,4324.0,4230.0,4345.0,5306.0,5653.0,6303.0,6081.0,7023.0,6438.0,7860.0,7556.0,7459.0,5919.0,8412.0,6796.0,9651.0,8320.0,14512.0,13176.0,14088.0,10979.0,11562.0,11957.0,12687.0
Zysk ze sprzedaży,9295.0,5842.0,10039.0,14748.0,11760.0,8848.0,14485.0,16536.0,15929.0,9860.0,17621.0,23494.0,22961.0,18873.0,21037.0,21109.0,22986.0,22692.0,19414.0,43744.0,46276.0,42570.0,49070.0,69821.0,64726.0,61549.0,65387.0,70639.0,72504.0,75844.0,58175.0,83258.0,94798.0,61305.0
Pozostałe przychody operacyjne,-320.0,-236.0,758.0,-1576.0,1037.0,-729.0,1206.0,-1283.0,-562.0,-293.0,1394.0,-1647.0,-1244.0,-201.0,474.0,-1773.0,-558.0,-1442.0,-304.0,-756.0,577.0,-517.0,-428.0,618.0,1445.0,-3421.0,1463.0,-354.0,3422.0,-6269.0,4018.0,1249.0,-3433.0,4360.0
Pozostałe koszty operacyjne,-33.0,261.0,40.0,449.0,120.0,172.0,201.0,83.0,68.0,257.0,27.0,107.0,74.0,71.0,63.0,137.0,238.0,312.0,109.0,110.0,66.0,437.0,79.0,1046.0,103.0,3142.0,250.0,347.0,304.0,366.0,195.0,398.0,474.0,-61.0
Zysk operacyjny (EBIT),9008.0,5345.0,10757.0,12723.0,12677.0,7947.0,15490.0,15170.0,15299.0,9310.0,18988.0,21740.0,21643.0,18601.0,21448.0,19199.0,22190.0,20938.0,19001.0,42878.0,46787.0,41616.0,48563.0,69393.0,66068.0,54986.0,66600.0,69938.0,75622.0,69209.0,61998.0,84109.0,90891.0,65726.0
Przychody finansowe,45.0,98.0,689.0,1578.0,325.0,2519.0,276.0,284.0,342.0,65.0,858.0,234.0,-18.0,-549.0,30.0,99.0,-59.0,186.0,390.0,-322.0,7.0,78.0,50.0,908.0,-847.0,217.0,61.0,79.0,41.0,76.0,118.0,2753.0,-2379.0,3655.0
Koszty finansowe,1574.0,1600.0,2405.0,909.0,1592.0,1244.0,3162.0,2922.0,2897.0,3139.0,3474.0,1267.0,1445.0,1010.0,2182.0,2465.0,2633.0,2515.0,3695.0,2084.0,1614.0,4699.0,1887.0,1403.0,1932.0,2661.0,4205.0,5471.0,9189.0,6334.0,8795.0,7037.0,7218.0,6566.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,7479.0,3843.0,9041.0,13392.0,11410.0,9222.0,12604.0,12532.0,12744.0,6236.0,16372.0,20707.0,20180.0,17042.0,19296.0,16833.0,19498.0,18609.0,15696.0,40472.0,45180.0,36995.0,46726.0,68898.0,63289.0,52542.0,62456.0,64546.0,66474.0,62951.0,53321.0,79825.0,81294.0,62815.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7479.0,3843.0,9041.0,13392.0,11410.0,9222.0,12604.0,12532.0,12744.0,6236.0,16372.0,20707.0,20180.0,17042.0,19296.0,16833.0,19498.0,18609.0,15696.0,40472.0,45180.0,36995.0,46726.0,68898.0,63289.0,52542.0,62456.0,64546.0,66474.0,62951.0,53321.0,79825.0,81294.0,62815.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5298.0,3455.0,6886.0,10868.0,8970.0,7765.0,10048.0,9901.0,10238.0,4697.0,12895.0,16674.0,15903.0,13170.0,15488.0,13466.0,15637.0,14123.0,12678.0,32606.0,36586.0,29112.0,37755.0,55610.0,51017.0,41642.0,50344.0,52415.0,53745.0,50764.0,43019.0,64151.0,65649.0,50767.0
Zysk netto akcjonariuszy jednostki dominującej,5298.0,3455.0,6886.0,10868.0,8970.0,7765.0,10048.0,9901.0,10238.0,4683.0,12876.0,16689.0,15909.0,13168.0,15488.0,13466.0,15637.0,14123.0,12678.0,32606.0,36586.0,29112.0,37755.0,55610.0,51017.0,41642.0,50344.0,52415.0,53745.0,50764.0,43019.0,64151.0,65649.0,50767.0
Aktywa trwałe,0.0,33960.0,34424.0,35568.0,37852.0,41648.0,50509.0,53281.0,54562.0,59045.0,61497.0,61002.0,66916.0,67454.0,119706.0,129225.0,131474.0,135893.0,144140.0,140406.0,143194.0,147166.0,149739.0,161641.0,182482.0,194702.0,200959.0,224961.0,278384.0,284690.0,290977.0,304158.0,307992.0,372542.0
Wartości niematerialne i prawne,0.0,5667.0,0.0,5062.0,4828.0,5105.0,4753.0,4398.0,5080.0,5388.0,5180.0,4844.0,5008.0,5508.0,5184.0,4718.0,5760.0,7897.0,8284.0,9196.0,11819.0,12726.0,13564.0,14564.0,15786.0,20561.0,21939.0,23520.0,24877.0,27043.0,29036.0,31535.0,33628.0,34944.0
Rzeczowe składniki majątku trwałego,0.0,27040.0,0.0,29106.0,31608.0,34697.0,42009.0,46112.0,47551.0,51633.0,52636.0,52384.0,59968.0,60090.0,110146.0,122257.0,123657.0,125953.0,130949.0,127520.0,129418.0,132257.0,132437.0,143482.0,161957.0,169337.0,174515.0,196231.0,248243.0,251080.0,255430.0,266704.0,267982.0,331960.0
Należności długoterminowe,0.0,1192.0,0.0,1341.0,1358.0,1675.0,1698.0,1600.0,1690.0,1864.0,1966.0,1838.0,1786.0,1702.0,1755.0,1830.0,1908.0,1896.0,1838.0,1814.0,1818.0,2043.0,2229.0,2614.0,3741.0,3638.0,3901.0,4108.0,4082.0,4299.0,4223.0,4226.0,4625.0,4494.0
Inwestycje długoterminowe,0.0,61.0,0.0,59.0,58.0,171.0,479.0,110.0,241.0,160.0,1715.0,157.0,154.0,154.0,153.0,151.0,110.0,147.0,146.0,143.0,139.0,140.0,110.0,118.0,122.0,118.0,113.0,112.0,111.0,110.0,110.0,110.0,110.0,110.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,1570.0,1061.0,0.0,0.0,0.0,1779.0,0.0,0.0,2468.0,269.0,39.0,0.0,2923.0,1733.0,0.0,0.0,1399.0,863.0,876.0,1048.0,491.0,990.0,1071.0,2158.0,2178.0,1583.0,1647.0,1034.0
Aktywa obrotowe,0.0,198405.0,233600.0,271029.0,293231.0,300501.0,361127.0,389309.0,432797.0,446377.0,472693.0,499826.0,518452.0,543545.0,591100.0,586983.0,590103.0,595633.0,620286.0,628505.0,652444.0,642787.0,814028.0,820380.0,896286.0,1008068.0,1147715.0,1117461.0,1172925.0,1285592.0,1305042.0,1311717.0,1344857.0,1421381.0
Zapasy,0.0,160302.0,188220.0,214597.0,243090.0,248931.0,292356.0,306541.0,342514.0,366912.0,378553.0,391163.0,404917.0,434702.0,447343.0,448158.0,439704.0,460584.0,461412.0,467421.0,503182.0,481441.0,596753.0,587684.0,641910.0,738506.0,827688.0,812052.0,860638.0,955730.0,948192.0,973600.0,962394.0,1006367.0
Należności krótkoterminowe,0.0,26975.0,38590.0,39252.0,43053.0,40533.0,59627.0,60204.0,68617.0,62697.0,77453.0,77539.0,96128.0,86894.0,116719.0,117891.0,129515.0,108922.0,130131.0,128269.0,124910.0,139962.0,188213.0,200085.0,227787.0,252393.0,280542.0,258465.0,281761.0,294927.0,300047.0,309661.0,348716.0,376397.0
Inwestycje krótkoterminowe,0.0,11128.0,6790.0,17107.0,7088.0,11022.0,8952.0,22382.0,21390.0,16633.0,16551.0,30988.0,17407.0,21949.0,27038.0,20934.0,20884.0,25977.0,28743.0,32815.0,24352.0,21384.0,29062.0,32611.0,26589.0,16948.0,39485.0,46589.0,30526.0,34935.0,56594.0,28005.0,33747.0,37360.0
Środki pieniężne i inne aktywa pieniężne,0.0,11007.0,6790.0,17064.0,6890.0,10976.0,8929.0,22024.0,21014.0,16609.0,12120.0,30843.0,17319.0,21913.0,26197.0,20846.0,20830.0,25947.0,28390.0,32808.0,24342.0,21377.0,26586.0,32401.0,26578.0,16936.0,35951.0,43001.0,30522.0,34931.0,53043.0,27900.0,33746.0,37360.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,73.0,0.0,15.0,192.0,182.0,276.0,135.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,355.0,0.0,0.0,209.0,451.0,0.0,1257.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,232365.0,268024.0,306597.0,331083.0,342149.0,411636.0,442590.0,487359.0,505422.0,534190.0,560828.0,585368.0,610999.0,710806.0,716208.0,721577.0,731526.0,764426.0,768911.0,795638.0,789953.0,963767.0,982021.0,1078768.0,1202770.0,1348674.0,1342422.0,1451309.0,1570282.0,1596019.0,1615875.0,1652849.0,1793923.0
Kapitał własny akcjonariuszy jednostki dominującej,72023.0,76067.0,82953.0,143500.0,152699.0,160708.0,170935.0,239359.0,249770.0,254620.0,267647.0,285785.0,301848.0,315162.0,330654.0,342483.0,358042.0,372197.0,384934.0,417526.0,454116.0,482927.0,520562.0,563137.0,613984.0,655496.0,705625.0,738495.0,791905.0,842824.0,885689.0,930644.0,996078.0,1046192.0
