,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,13700.0,21791.0,25835.0,29645.0,17696.0,23612.0,60504.0,72524.0,50007.0,49061.0,31918.0,47914.0,23090.0,18421.0,21338.0,28754.0,11616.0,11662.0,18056.0,19377.0,16921.0,18328.0,24609.0,27655.0,19830.0,20334.0,17078.0,27417.0,10116.0,15657.0,17038.0,17564.0,10035.0,13237.0,15087.0,19183.0,18331.0,18387.0,19547.0,21365.0,24301.0,32016.0,36615.0,34099.0,21767.0,22989.0,31326.0,26296.0,25994.0,28845.0,26706.0,32048.0,30341.0,34522.0,27128.0,36845.0,42196.0,28230.0,35189.0,34789.0
Techniczny koszt wytworzenia produkcji sprzedanej,10172.0,16764.0,20875.0,25610.0,12683.0,15964.0,55049.0,61721.0,46171.0,40727.0,27999.0,35356.0,17611.0,15863.0,17512.0,23855.0,9448.0,8970.0,15206.0,16444.0,15188.0,16329.0,21835.0,24086.0,17163.0,16670.0,13592.0,21291.0,8916.0,13843.0,15150.0,16198.0,10501.0,12056.0,14425.0,16622.0,15529.0,14614.0,15878.0,16621.0,21682.0,26873.0,32470.0,28179.0,17434.0,17474.0,25967.0,20393.0,22363.0,24624.0,21836.0,24331.0,26493.0,28431.0,22398.0,32640.0,36986.0,24186.0,31182.0,24134.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,11.0,10.0,144.0,127.0,154.0,151.0,148.0,156.0,150.0,161.0,219.0,140.0,31.0,34.0,149.0,29.0,21.0,239.0,293.0,247.0,325.0,392.0,503.0,735.0,544.0,501.0,494.0,484.0,447.0,424.0,463.0,414.0,466.0,446.0,394.0,537.0,605.0,646.0,663.0,738.0,745.0,804.0,768.0,900.0,847.0,1011.0,1175.0,1153.0,1119.0,956.0,882.0,929.0,903.0,881.0,767.0,814.0
Koszty ogólnego zarządu,1821.0,2230.0,1731.0,2070.0,2838.0,2853.0,3334.0,2937.0,2625.0,2636.0,2443.0,2749.0,2732.0,2671.0,2342.0,2504.0,2389.0,2432.0,2111.0,2528.0,2300.0,2593.0,2325.0,2601.0,2435.0,2445.0,2494.0,2831.0,2435.0,2561.0,2210.0,2394.0,2240.0,2172.0,2001.0,2146.0,2156.0,2295.0,1905.0,2279.0,2366.0,2463.0,2145.0,2699.0,2569.0,2595.0,2291.0,3017.0,2488.0,2829.0,2389.0,3511.0,2658.0,2642.0,2375.0,2865.0,3053.0,2587.0,2594.0,4467.0
Zysk ze sprzedaży,1707.0,2797.0,3229.0,1965.0,2164.0,4785.0,1977.0,7739.0,1057.0,5547.0,1328.0,9653.0,2597.0,-274.0,1265.0,2255.0,-252.0,226.0,590.0,376.0,-588.0,-833.0,156.0,721.0,-93.0,827.0,489.0,2560.0,-1779.0,-1248.0,-816.0,-1512.0,-3153.0,-1415.0,-1802.0,1.0,180.0,1032.0,1370.0,1928.0,-352.0,2034.0,1337.0,2483.0,1019.0,2116.0,2300.0,1986.0,296.0,381.0,1306.0,3053.0,71.0,2493.0,1473.0,411.0,1254.0,576.0,646.0,5374.0
Pozostałe przychody operacyjne,80.0,48.0,24.0,542.0,1187.0,96.0,160.0,879.0,483.0,351.0,129.0,204.0,191.0,367.0,2117.0,382.0,70.0,110.0,97.0,4403.0,270.0,173.0,274.0,3018.0,627.0,122.0,153.0,242.0,94.0,40.0,137.0,239.0,98.0,101.0,77.0,822.0,52.0,44.0,130.0,384.0,438.0,647.0,280.0,55.0,551.0,248.0,388.0,113.0,86.0,1850.0,226.0,464.0,115.0,92.0,260.0,821.0,77.0,232.0,196.0,258.0
Pozostałe koszty operacyjne,6.0,78.0,95.0,168.0,50.0,126.0,-9.0,846.0,62.0,323.0,81.0,1757.0,104.0,22589.0,2413.0,1475.0,142.0,730.0,252.0,3217.0,94.0,339.0,256.0,617.0,693.0,205.0,62.0,354.0,55.0,112.0,67.0,453.0,234.0,351.0,54.0,585.0,138.0,487.0,231.0,964.0,207.0,698.0,231.0,965.0,74.0,676.0,164.0,555.0,90.0,79.0,21.0,271.0,74.0,158.0,260.0,1140.0,115.0,260.0,148.0,1328.0
Zysk operacyjny (EBIT),1781.0,2767.0,3158.0,2339.0,3301.0,4755.0,2146.0,7772.0,1478.0,5575.0,1376.0,8100.0,2684.0,-22496.0,969.0,1162.0,-324.0,-394.0,435.0,1562.0,-412.0,-999.0,174.0,3122.0,-159.0,744.0,580.0,2448.0,-1740.0,-1320.0,-746.0,-1726.0,-3289.0,-1665.0,-1779.0,238.0,94.0,589.0,1269.0,1348.0,-121.0,1983.0,1386.0,1573.0,1496.0,1688.0,2524.0,1544.0,292.0,2152.0,1511.0,3246.0,112.0,2427.0,1473.0,92.0,1216.0,548.0,694.0,4304.0
Przychody finansowe,141.0,130.0,183.0,162.0,248.0,167.0,554.0,1472.0,1009.0,519.0,1225.0,643.0,654.0,618.0,720.0,837.0,662.0,450.0,477.0,1261.0,985.0,288.0,237.0,228.0,310.0,230.0,208.0,205.0,263.0,140.0,126.0,98.0,162.0,27.0,80.0,127.0,34.0,-7.0,46.0,13.0,55.0,31.0,9.0,31.0,60.0,20.0,13.0,30.0,42.0,11.0,20.0,32.0,40.0,17.0,48.0,47.0,78.0,46.0,466.0,152.0
