,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,-20.25,-13.15,14.04,58.34,90.36,93.74,37.41,23.36,-16.82,-44.58,-15.93,-13.19,84.31,90.6,35.71,10.4,-42.31,-53.09,-60.47,-48.97,-12.57,56.02,138.63,210.08,179.87,110.02,84.69,7.29,-30.5,-40.76,-21.32,-55.6,-71.2,-67.48,-74.92,-45.19,20.11,19.5,25.75,107.35,22.16,35.46,34.75,-4.24,43.79,38.81,8.93,-7.26,9.12,-11.85,33.97,176.14,28.38,167.75,92.55,-13.01,-18.33,-23.45,-45.14,9.62,-14.09,-36.89,-12.7,-26.68,6.7,-26.82,-2.31,-32.51,-30.0,45.79,0.99,36.07,43.77
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-20.39,-13.13,9.97,70.68,101.26,104.5,37.62,20.29,-15.48,-44.95,-19.61,-19.98,76.01,70.48,38.72,4.48,-46.78,-51.87,-63.34,-45.96,-8.1,55.07,158.3,226.81,208.64,128.0,117.75,10.87,-28.15,-34.51,-27.16,-35.01,-71.22,-77.15,-78.11,-67.98,-0.32,34.38,20.32,107.53,22.9,39.02,42.79,-13.15,50.69,30.32,9.21,3.43,9.56,-17.0,35.04,201.34,28.56,222.59,97.93,-9.47,-19.98,-24.21,-45.38,4.57,-17.17,-43.51,-17.94,-22.7,8.97,-24.73,2.06,-46.91,-32.06,49.16,0.65,55.05,58.77
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-1.25,2.2,4.11,10.16,14.18,5.23,9.84,12.01,1.24,14.3,9.87,40.52,42.07,12.92,20.18,62.79,-14.53,-4.57,-10.41,-26.08,6.42,13.0,13.44,-6.78,12.65,6.64,10.14,-19.38,-14.42,-13.29,-19.22,-18.1,-17.62,-12.99,-15.4,-5.57,7.39,8.21,34.8,-87.5,4.65,2.68,-13.82,1209.93,5.74,7.76,15.51,-2.9,-1.08,-16.72,25.9,21.22,20.23,49.81,35.39,0.02,25.47,5.41,-20.36,-10.05,8.28,5.08,8.98,12.81,10.41,7.69,-1.5,8.66,-10.07,3.51,-2.09,4.65,10.88
Zysk ze sprzedaży,,,,,-53.1,-77.37,207.66,-616.02,-61.99,-1435.45,90.92,67.57,-533.16,-24.98,81.23,429.26,394.94,414.22,0.57,53.96,35.66,-89.63,-46.26,-137.5,-74.17,294.65,47.51,203.17,-270.73,-113.18,-687.72,-158.14,-160.53,-2371.7,77.4,-2879.94,30.65,135.24,125.12,107.0,144.15,-57.62,148.13,432.49,48.33,43.99,2.74,-5.6,6.45,241.56,-4.5,-60.94,16.11,25.89,24.04,66.57,35.65,-39.81,59.56,-107.31,-40.07,-29.34,-71.31,1696.88,4.0,82.2,189.78,-131.14,-45.5,-68.65,-70.35,585.21,-55.14,85.99,33.0,-40.59,-471.53
Pozostałe przychody operacyjne,,,,,70.91,-73.38,1.4,-6.88,248.94,-31.76,-85.25,77.84,-81.71,26.15,25.0,100.0,80.0,79.27,2040.0,75.72,349.07,83.67,-81.66,15.73,-4.12,5.65,36.94,-102.83,311.83,-72.66,-290.23,1302.78,-96.81,64.74,127.87,207.16,49.18,-41.63,-44.74,-97.14,16.48,-61.0,-46.03,344.74,-14.15,476.07,91.18,114.79,-12.09,-77.3,3740.0,-53.99,13.75,183.01,-97.76,1133.53,137.36,715.24,3123.21,210.92,256.02,18.87,579.34,-85.92,246.03,34.13,-71.42,443.68,42.05,-13.11,-22.17,-38.87,33.39,-45.85,-72.42,27.28,-12.77
Pozostałe koszty operacyjne,,,,,-66.67,221.85,950.0,-56.21,7.69,-11.93,300.0,-46.04,35.71,-62.62,-83.82,80.43,252.63,725.0,527.27,2.71,14.93,-7.58,-59.42,-14.85,-27.27,26.15,4664.29,-105.62,428.57,-72.51,-100.45,2372.41,-96.96,-75.41,116.67,-95.75,466.67,-64.42,115100.0,621.43,-92.16,240.54,-99.05,180.2,825.0,-57.94,-245.45,671.91,-5.41,5683.02,7318.75,-106.73,22.86,-23.56,-48.23,711.22,1965.12,3.12,172.91,160.93,-8.22,14.53,102.08,-83.62,155.83,143.37,39.78,17.19,102.54,-8.94,-24.51,698.44,-3.05,-38.11,-45.43,-20.32,-42.01
Zysk operacyjny (EBIT),,,,,-46.2,-99.72,287.62,-152.8,-12.57,-32840.0,49.75,73.35,-253.49,-1.89,87.43,427.51,415.99,401.98,27.17,77.13,50.16,-90.91,-54.37,-109.39,-65.85,328.38,-31.7,448.89,-84.75,-121.51,-1305.93,-179.07,-2032.11,-1624.41,78.9,-1955.12,30.75,140.84,88.2,106.6,148.86,-61.68,655.75,472.92,40.5,99.65,5.79,-59.4,5.73,20.23,58.91,12.99,15.88,90.12,-45.6,50.26,1.17,3.73,119.79,-70.01,-23.58,-17.43,164.09,277.06,41.74,-1.12,-81.01,-54.22,-77.81,-88.98,-92.73,47.67,165.38,325.77,-72.46,-24.33,-69.64
Przychody finansowe,,,,,310.71,563.27,-587.5,-156.24,-34.78,-135.08,237.95,115.41,-92.0,249.12,-96.28,9617.07,26875.0,-720.0,-2520.0,-108.48,-98.46,203.61,-260.74,140.83,590.0,-115.75,259.68,273.91,-98.55,119.19,-99.86,-99.42,17600.0,1803.03,-9000.0,-7866.67,-99.89,604.78,188.2,157.08,-100.0,-91.14,-68.79,-21.05,,-75.77,-6.12,-79.05,240.0,75.79,-236.96,254.55,-95.59,-98.8,101.59,-100.0,-100.0,-100.0,-100.0,,,,,-80.05,42.41,308.06,11233.33,-92.48,34.67,-14.62,-52.65,-1140.0,-96.04,200.0,-99.38,250.48,800.0
