,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-16.86,47.82,82.4,10.36,9.83,13.86,-31.62,-30.23,-9.84,-1.78,41.64,97.02,211.89,122.28,114.69,130.86,8.68,20.37,10.26,26.95,-13.27,-39.52,15.53,31.09,16.05,92.65,-4.89,-13.86,17.36,70.41,60.69,15.78,41.42,-26.09,-13.63,-7.06,36.81,29.28
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-16.8,58.58,86.2,8.28,4.52,22.81,-36.7,-20.93,-15.25,-16.78,40.76,79.28,225.85,148.44,117.07,132.11,21.43,23.47,15.74,28.23,-12.19,-42.85,13.22,22.87,8.6,105.11,-7.13,-13.62,18.4,67.73,65.97,18.8,40.45,-32.82,-15.58,-12.82,38.32,38.71
Koszty sprzedaży,,,,,2917.24,73.63,49.31,96.65,122.97,251.85,148.71,18.97,29.88,151.03,-24.11,131.73,390.17,-29.29,92.11,11.27,-52.99,73.51,29.62,-27.47,-55.15,-18.78,-17.02,242.06,188.74,-1.14,-5.43,-32.25,-2.16,35.77,37.02,33.66,55.93,18.84,52.46,16.28,11.15,-8.22
Koszty ogólnego zarządu,,,,,-66.39,12654.55,72.44,79.95,215.14,-93.16,-24.79,28.35,-37.41,475.0,40.48,-4.62,4.44,752.9,77.04,168.93,89.07,30.65,-22.84,7.25,-7.8,-15.69,72.05,-17.94,39.38,23.08,15.15,89.67,36.7,56.71,13.89,-13.83,66.0,33.75,50.92,49.53,4.86,2.83
Zysk ze sprzedaży,,,,,-8.78,-9.23,23.28,5.17,8.18,-59.94,5.23,-147.01,33.96,178.04,172.33,232.19,139.09,44.33,114.01,234.1,-52.46,-38.27,-46.96,39.29,-12.21,-1.8,78.59,113.41,90.69,50.64,20.21,-22.5,9.71,144.71,28.17,-6.87,38.3,25.41,-34.99,30.69,43.69,-13.17
Pozostałe przychody operacyjne,,,,,-113.79,55.96,115.28,414.19,482.76,-76.84,-43.23,961.1,-778.15,221.56,800.0,-94.64,107.07,0.17,34.6,45.55,196.24,1251.57,349.06,15.73,256.58,21.74,-81.53,257.17,108.49,-67.14,-41.18,-13.43,-79.58,152.99,123.08,-65.44,658.04,-60.38,-29.74,48.94,14.54,-10.84
Pozostałe koszty operacyjne,,,,,-98.8,-5.44,-46.53,1944.78,8500.0,25.93,-40.26,-16.2,-51.16,183.14,693.48,-50.87,130.95,36.05,51.51,516.67,24.74,183.68,-51.18,-18.26,657.02,-64.1,491.85,148.96,149.02,59.69,-74.34,-23.44,-71.28,15.77,145.85,-61.52,101.68,38.08,175.2,212.42,759.27,-27.34
Zysk operacyjny (EBIT),,,,,-18.5,-1.29,33.5,3.57,15.34,-72.37,3.39,115.19,-11.25,182.99,186.2,-69.45,246.03,39.77,107.8,148.77,-50.56,36.75,-15.29,57.43,-4.74,90.53,1.26,120.74,89.5,-53.85,28.63,-20.85,-1.22,231.04,28.24,-5.62,64.4,-18.14,-45.84,16.33,10.42,-7.37
Przychody finansowe,,,,,-9920.0,1304.76,-41.3,-98.58,104.89,-59.32,103.7,1125.0,-166.67,-80.0,-69.09,-77.55,1206.25,-25.0,217.65,5163.64,-367.8,611.11,61.11,-96.2,102.74,-72.66,259.77,1145.45,-3246.15,4605.71,595.85,-296.35,-145.72,15.18,71.81,555.76,486.37,85.56,105.18,203.22,12.7,348.75
Koszty finansowe,,,,,-11.71,-14.74,-2.61,23.9,8.33,20.82,-15.29,135.33,-53.96,98.21,36.78,-40.38,181.01,20.9,14.9,48.99,143.15,-44.05,221.12,-55.51,-30.75,36.17,-51.66,72.93,191.55,260.6,334.56,-29.55,62.54,17.46,-28.65,859.5,34.89,-7.29,35.37,12.86,-70.38,47.19
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-26.0,2.49,68.96,-5.34,27.1,-79.35,17.26,111.87,-6.53,208.32,245.86,-76.16,253.53,45.13,124.99,228.95,-62.32,57.66,-36.86,75.56,8.69,94.0,29.08,125.51,64.72,-67.98,-7.65,-22.82,-27.42,343.49,85.7,-33.28,136.58,-15.74,-38.92,47.01,46.89,14.8
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-26.0,2.49,68.96,-5.34,27.1,-79.35,17.26,111.87,-6.53,208.32,245.86,-76.16,253.53,45.13,124.99,228.95,-62.32,57.66,-36.86,75.56,8.69,94.0,29.08,125.51,64.72,-67.98,-7.65,-22.82,-27.42,343.49,85.7,-33.28,136.58,-15.74,-38.92,47.01,46.89,14.8
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-34.18,7.21,77.08,-4.58,12.29,-76.81,28.0,100.18,-0.24,319.86,232.36,-76.31,235.17,3.65,103.34,221.04,-60.83,38.34,-34.24,90.82,-6.38,126.96,37.08,118.14,67.3,-68.94,-7.92,-22.98,-16.32,377.68,86.22,-36.27,141.07,-23.84,-30.89,34.53,44.1,5.22
Zysk netto akcjonariuszy jednostki dominującej,,,,,-34.18,7.21,77.08,-4.58,12.29,-76.81,28.0,100.18,-0.24,319.86,232.36,-76.31,235.17,3.65,103.34,221.04,-60.83,38.34,-34.24,90.82,-6.38,126.96,37.08,118.14,67.3,-68.94,-7.92,-22.98,-16.32,378.19,87.18,-36.27,140.54,-24.28,-31.62,28.99,43.77,5.21
Aktywa trwałe,,,,,34.37,-42.74,34.7,-30.13,31.19,218.61,201.26,236.11,67.3,37.25,53.55,2.95,5.9,40.06,37.44,48.9,47.03,27.74,25.04,15.51,24.35,15.13,14.09,13.7,-1.26,5.59,4.22,8.88,17.93,10.68,19.19,13.68,14.8,0.98,-3.21,0.12,-8.37,4.19
Wartości niematerialne i prawne,,,,,52.13,-38.9,-45.55,-50.51,-60.61,-39.34,-35.29,-17.36,3.55,-18.02,23.74,20.0,16.57,7.14,-22.45,-28.75,51.47,57.44,56.32,71.35,-7.44,39.41,28.28,0.0,-17.13,-49.53,-68.77,-21.84,-32.07,2562.04,4847.06,2531.0,3663.98,17.3,12.76,16.46,15.2,5.59
Rzeczowe składniki majątku trwałego,,,,,74.22,134.54,94.22,101.79,263.56,227.84,209.68,27.82,-46.16,-54.9,-51.43,10.1,30.66,47.91,63.61,55.84,57.34,49.56,37.72,20.84,6.46,2.42,0.62,0.77,-3.0,-0.11,-2.05,1.12,0.93,49.62,52.39,54.16,86.57,21.54,20.68,18.32,-2.68,-0.23
Należności długoterminowe,,,,,248.89,-80.19,-86.02,-32.15,13.93,565.21,411.23,17.26,24.86,39.83,18.86,10.28,16.99,-3.1,3.4,26.65,33.15,-84.69,-55.37,-66.82,-30.8,30.55,-52.59,-54.98,-73.25,122.12,131.08,652.65,875.78,652.96,743.32,209.16,33.31,34.44,14.92,41.44,40.47,-61.12
Inwestycje długoterminowe,,,,,34.31,-98.25,-58.15,-97.83,-98.42,3.66,12.33,11160.56,15139.36,13740.89,13709.09,0.54,-9.89,34.56,24.91,39.05,36.28,16.64,19.04,18.6,47.27,26.78,21.41,24.56,2.05,3.05,7.18,4.07,14.29,-30.21,-24.51,-28.88,-29.51,-20.14,-27.07,-18.78,-28.62,13.45
Pozostałe aktywa trwałe,,,,,-88.06,-77.2,29.04,78.28,-12.91,3.41,-17.95,200.63,147.7,58.92,82.59,-42.17,255.26,275.08,215.19,368.34,122.5,105.56,73.39,-19.21,-36.76,-20.89,67.82,-11.29,-13.85,103.49,4.45,167.33,221.21,96.82,201.37,126.63,74.68,-24.13,-18.95,-29.46,19.26,46.02
Aktywa obrotowe,,,,,-0.54,51.18,53.75,87.98,79.08,27.85,14.03,-0.52,19.73,44.14,25.23,65.26,37.3,10.71,33.07,39.21,62.08,78.52,55.76,46.13,18.76,3.28,6.88,-13.98,-12.9,-2.08,-7.94,5.21,24.5,53.74,79.18,60.3,58.34,2.5,-16.47,-10.09,-4.98,13.05
Zapasy,,,,,33.73,65.6,39.74,98.81,66.57,6.1,10.16,14.3,49.61,83.54,69.44,71.73,37.95,13.84,9.55,-5.37,14.22,40.55,30.8,26.86,15.4,8.54,1.99,-16.91,-26.45,-38.11,-39.23,-19.38,-0.88,15.04,46.58,46.08,62.39,50.65,26.29,27.57,7.08,-0.71
Należności krótkoterminowe,,,,,-32.87,22.22,65.52,30.34,110.25,115.82,39.1,12.2,-13.2,-16.25,-26.87,42.44,39.07,18.44,91.61,132.34,117.4,147.21,98.39,54.74,-1.8,-20.63,0.35,-14.93,4.75,38.98,24.34,28.3,67.01,99.71,107.49,78.07,59.42,-25.88,-47.84,-43.32,-36.46,17.08
Inwestycje krótkoterminowe,,,,,92.3,-65.36,-60.17,23.09,25.0,120.64,461.64,-53.48,-45.33,222.16,-60.93,112.57,10.02,-22.15,295.87,479.1,1141.99,121.79,74.86,105.52,118.39,76.27,80.73,-4.17,-11.56,35.46,20.72,-3.62,-19.33,21.04,58.35,56.95,51.36,29.89,39.31,47.58,116.54,27.6
Środki pieniężne i inne aktywa pieniężne,,,,,92.3,-65.36,-60.17,23.09,25.0,120.64,457.81,-53.48,-45.33,222.16,-60.66,112.57,10.02,-22.15,237.65,308.19,641.3,39.84,-11.0,123.7,214.41,111.8,208.62,19.35,0.82,57.22,26.02,-28.2,-54.69,25.11,71.5,86.29,117.0,25.1,48.98,40.41,151.58,13.84
Pozostałe aktywa obrotowe,,,,,88.47,2846.17,426.84,2099.42,-57.44,-97.89,-98.49,-93.64,254.74,600.21,886.03,212.23,-31.55,-35.82,-50.07,-34.18,144.55,114.95,176.24,46.57,68.35,32.46,26.87,28.79,-41.96,-40.02,-43.81,197.67,44.3,-26.75,-100.0,-99.99,-100.0,-100.0,,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
