,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Period,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-49.51,197.81,144.74,20.88,360.5,131.35,141.42,169.74,13.5,118.21,61.04,97.82,54.22,15.9,27.79,6.69,-1.08,-23.38,-24.9,-14.24
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,59.36,201.16,223.93,74.37,311.26,136.73,115.22,132.81,27.93,124.76,69.7,104.63,67.58,24.5,29.17,7.04,-2.38,-24.62,-26.17,-17.91
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,112.3,66.7,26.04,-20.73,-1.81,-22.68,11.89,7.33,10.23,6.17,-3.35,68.55,30.77,105.11,61.75,9.83,41.88,-9.23,4.18,-11.14
Zysk ze sprzedaży,,,,,-108.39,60.59,-1363.89,-496.45,889.16,1044.18,278.75,215.13,-42.46,143.38,25.73,43.0,-49.35,-79.88,-15.82,-2.84,-27.62,-8.59,-35.11,51.72
Pozostałe przychody operacyjne,,,,,,-130.26,127.57,-82.56,165.37,-225.29,-14.93,716.67,34.58,-22.97,840.35,1123.27,1.33,240.8,454.48,-171.44,-76.2,-113.37,-98.65,109.2
Pozostałe koszty operacyjne,,,,,-97.56,173.89,640.0,1359.75,50.0,-75.33,11.11,4.09,-88.89,-97.3,-99.17,-96.86,5500.0,1700.0,29300.0,591.19,1642.86,10372.22,-50.34,154.65
Zysk operacyjny (EBIT),,,,,-106.47,-815.28,-390.03,-2750.0,1235.03,488.47,270.35,56.68,-36.36,173.48,47.96,281.6,-42.05,-64.13,38.67,-101.3,-74.2,-123.89,-67.63,2475.61
Przychody finansowe,,,,,,,266.67,750.0,,-21.21,-27.27,32723.08,-60.0,-3.85,12.5,-98.63,43.75,684.0,-288.89,-11.11,1391.3,5176.53,1507.84,-907.69
Koszty finansowe,,,,,,,-600.0,-68.83,-91.82,-89.72,360.0,20.83,-22.22,4309.09,38.46,331.03,-71.43,117.53,5938.89,-65.6,2150.0,-95.92,-96.04,13.95
Pozostałe przychody (koszty),,,,,,1700.0,-5280.0,-17.95,-100.0,-100.0,100.0,100.0,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-105.46,-847.3,-464.94,-4521.43,1449.4,467.33,249.7,162.61,-36.49,154.02,47.69,24.81,-41.74,-74.74,10.59,-100.33,-64.12,487.11,-44.6,5142.86
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-105.46,-847.3,-464.94,-4521.43,1449.4,467.33,249.7,162.61,-36.49,154.02,47.69,24.81,-41.74,-74.74,10.59,-100.33,-64.12,487.11,-44.6,5142.86
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-105.21,-403.21,-103.0,-1006.92,1494.74,336.87,223.31,160.59,-38.96,174.89,67.03,18.91,-41.45,-64.6,3.08,-68.93,-85.17,244.51,-57.01,-37.49
Zysk netto akcjonariuszy jednostki dominującej,,,,,-106.23,-410.71,-101.84,-1056.28,1268.62,332.18,169.3,144.37,-55.47,67.87,118.81,54.78,-21.02,-33.06,80.83,-5.04,4.06,331.59,-34.31,-79.65
Aktywa trwałe,,,,,,55.99,,19.8,6.71,-4.44,-8.55,-0.69,-1.93,1.48,1.69,0.26,-0.8,-2.88,0.74,6.37,17.01,41.12,41.24,38.35
Wartości niematerialne i prawne,,,,,,55.42,,21.21,9.35,-2.02,-9.79,-17.4,-19.46,-20.22,-19.27,-3.3,-0.88,4.5,10.46,15.17,22.35,26.88,28.42,29.47
Rzeczowe składniki majątku trwałego,,,,,,-11.02,,4.01,3.59,2.21,-7.91,-4.74,-3.53,-3.39,-3.38,-11.16,-4.95,17.31,16.97,65.4,41.83,12.07,23.97,-14.32
Należności długoterminowe,,,,,,,,,-60.0,-100.0,-85.71,-100.0,-100.0,,-100.0,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,86.26,-100.0,-100.0,138.64,2090.59,,,935.24,13.67,-10.18,-40.08,-40.57,-41.22,-25.63,133.92,144.03,131.36
