,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,3513.0,2696.0,3945.0,4161.0,4588.0,3411.0,5208.0,6595.0,16138.0,15821.0,11938.0,26261.0,20245.0,20227.0,22341.0,32884.0,36978.0,38729.0,35076.0,66593.0,36487.0,59763.0,47096.0,56354.0,70161.0,78557.0,58140.0,77734.0,85611.0,67524.0,71397.0,81693.0,71757.0,83001.0
Techniczny koszt wytworzenia produkcji sprzedanej,979.0,1219.0,2076.0,2457.0,2534.0,2360.0,3144.0,4099.0,6600.0,7104.0,5511.0,7968.0,7788.0,6161.0,9470.0,8926.0,10665.0,16093.0,11473.0,13392.0,21532.0,23983.0,14782.0,19955.0,35050.0,16663.0,20199.0,27574.0,28951.0,32234.0,30641.0,32494.0,35464.0,41378.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,2534.0,1477.0,1869.0,1704.0,2054.0,1051.0,2064.0,2496.0,9538.0,8717.0,6427.0,18293.0,12457.0,14066.0,12871.0,23958.0,26313.0,22636.0,23603.0,53201.0,14955.0,35780.0,32314.0,36399.0,35111.0,61894.0,37941.0,50160.0,56660.0,35290.0,40756.0,49199.0,36293.0,41623.0
Pozostałe przychody operacyjne,10.0,17.0,1.0,0.0,0.0,42.0,14.0,-11.0,46.0,4.0,4.0,0.0,3.0,246.0,114.0,99.0,-99.0,135.0,162.0,41.0,25.0,159.0,20.0,1067.0,598.0,46.0,101.0,52.0,120.0,297.0,0.0,1101.0,-632.0,2529.0
Pozostałe koszty operacyjne,43.0,63.0,58.0,232.0,58.0,326.0,181.0,189.0,391.0,633.0,1269.0,-453.0,643.0,136.0,581.0,753.0,241.0,1962.0,462.0,898.0,1939.0,6560.0,3597.0,4364.0,3785.0,2186.0,123.0,109.0,5706.0,2046.0,0.0,1062.0,5517.0,5136.0
Zysk operacyjny (EBIT),2501.0,1431.0,1812.0,1472.0,1996.0,767.0,1897.0,2296.0,9193.0,8088.0,5162.0,18746.0,11817.0,14176.0,12404.0,23304.0,25973.0,20809.0,23303.0,52344.0,13041.0,29379.0,28737.0,33102.0,31924.0,59754.0,37919.0,50103.0,51074.0,33541.0,40756.0,49238.0,30144.0,39016.0
Przychody finansowe,0.0,81.0,41.0,83.0,0.0,55.0,2.0,212.0,231.0,307.0,263.0,1853.0,347.0,808.0,1435.0,158.0,735.0,60.0,3192.0,748.0,4452.0,1278.0,4614.0,-860.0,2000.0,850.0,2128.0,6214.0,6062.0,-5488.0,11963.0,1690.0,3029.0,2109.0
Koszty finansowe,1.0,0.0,31.0,-4.0,24.0,-41.0,4.0,529.0,49.0,752.0,424.0,-297.0,-10.0,-22.0,58.0,45.0,-8.0,119.0,19.0,91.0,957.0,-148.0,45.0,686.0,-349.0,1693.0,957.0,1870.0,25.0,29379.0,12908.0,3840.0,-2058.0,26055.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,-2.0,7.0,-28.0,-5.0,-87.0,-117.0,14000.0,306.0,-452.0,-31.0,1925.0,-219.0,8170.0,14550.0,74.0,107155.0,752.0,34197.0,2823.0,-53.0,3272.0,-3184.0,5171.0,-9445.0,5259.0,-2434.0,1264.0,-3209.0,-402.0,-1611.0
Zysk z działalności gospodarczej,2500.0,1512.0,1822.0,1559.0,1970.0,870.0,1867.0,1974.0,9288.0,7526.0,19001.0,21202.0,11722.0,14975.0,15706.0,23198.0,34886.0,35300.0,26550.0,160156.0,17288.0,65002.0,36129.0,31503.0,37545.0,55727.0,44261.0,45002.0,62370.0,-3760.0,41075.0,43879.0,34829.0,13459.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2500.0,1512.0,1822.0,1559.0,1970.0,870.0,1867.0,1974.0,9288.0,7526.0,19001.0,21202.0,11722.0,14975.0,15706.0,23198.0,34886.0,35300.0,26550.0,160156.0,17288.0,65002.0,36129.0,31503.0,37545.0,55727.0,44261.0,45002.0,62370.0,-3760.0,41075.0,43879.0,34829.0,13459.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1519.0,1170.0,1466.0,1220.0,1704.0,1025.0,1427.0,1213.0,7554.0,6584.0,15761.0,18899.0,8608.0,11465.0,13719.0,19523.0,28245.0,35780.0,23721.0,136225.0,24715.0,45196.0,30418.0,31059.0,46702.0,40675.0,40286.0,45785.0,53553.0,-2512.0,36850.0,39474.0,32104.0,17867.0
