,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,177.14,115.69,1.41,0.67,-9.72,-1.08,53.72,38.96,-16.26,27.81,-10.22,-26.54,-19.57,-12.02,8.24,35.95,93.55,77.26,69.55,41.41,25.36,-14.2,9.16,26.63,6.02,19.86,19.73,-12.69,10.98,-19.36,-28.89,0.52,25.43,62.92,114.42,94.22,-1.23,-21.12,-37.21,-31.76,-12.21,10.19,38.18,12.77,16.94,10.98,-5.27,7.67,16.44,2.28,-33.13,-29.7,-7.91,-23.55,32.33,25.23,-0.76,55.58,-19.64,-12.7,0.26,-1.56,152.16,158.2,86.12,67.75,28.13,-40.99
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,148.62,95.9,-2.99,-1.39,-6.75,5.2,60.61,35.19,-12.19,21.84,-13.8,-26.92,-10.58,-4.48,10.37,38.96,81.17,82.53,77.48,44.92,24.38,-10.08,0.39,31.85,7.78,14.02,33.14,-14.45,13.59,-11.41,-28.35,1.98,26.06,54.27,109.94,88.19,-0.61,-16.46,-34.2,-27.61,-10.55,10.23,31.36,17.47,18.91,11.52,-1.73,6.12,17.36,10.3,-29.51,-28.77,-16.3,-36.62,19.33,16.72,0.88,56.68,-18.58,-7.52,8.13,7.83,144.53,139.33,60.17,50.7,28.21,-35.7
Koszty sprzedaży,,,,,159.25,207.35,16.8,45.59,5.35,-2.54,57.31,14.84,0.11,-0.71,-13.61,-4.06,25.58,-2.07,3.44,-2.53,0.0,4.39,29.37,7.05,21.63,22.68,-8.36,0.95,8.24,20.9,20.7,31.32,21.93,-0.53,20.0,12.76,9.54,-20.29,17.68,1.34,-1.05,35.52,-16.55,22.57,1.11,25.23,4.98,-8.14,-4.26,1.76,25.38,16.56,14.89,6.79,-13.53,-13.86,29.62,-8.59,14.91,-24.0,-18.42,27.52,-10.9,7.45,8.43,0.4,21.17,15.6,-7.74,-32.39,-36.69,-29.27
Koszty ogólnego zarządu,,,,,170.78,171.1,72.18,25.16,53.96,35.63,78.9,26.95,-12.93,-18.6,-27.25,-1.43,2.58,-8.52,-0.55,31.78,75.67,62.36,50.21,19.96,-25.53,-22.5,25.58,-4.38,32.42,25.38,-18.24,9.93,-9.98,-10.89,-7.96,-31.42,-7.2,12.17,47.44,140.79,17.61,-5.11,-24.19,-39.32,17.05,30.02,21.28,8.02,-4.37,6.37,6.38,-5.69,4.84,1.62,-13.79,-7.93,-3.64,15.72,14.34,22.89,4.71,-16.65,-5.77,-13.73,4.5,8.31,18.16,104.79,10.7,-0.12,4.81,-0.43
Zysk ze sprzedaży,,,,,2430.53,249.12,11.18,-6.57,-64.27,-55.36,-33.69,87.69,-119.44,204.31,111.66,-39.42,-1205.99,-58.69,-4.21,35.39,43.28,71.89,16.5,38.86,97.33,-79.79,155.3,7.6,-3133.33,359.06,-54.13,-16.29,-57.45,-160.38,-84.2,-1.72,21.13,286.16,1239.7,179.31,-48.75,-146.35,-93.35,-66.11,-75.04,-62.86,1228.71,-39.08,-10.17,-7.85,-70.92,55.68,-19.15,-193.57,-267.19,-70.89,91.1,116.43,250.4,518.21,-98.01,289.46,-51.72,-62.05,-511.9,-137.12,699.79,701.49,284.39,913.54,44.5,-84.4
Pozostałe przychody operacyjne,,,,,19.28,13.66,173.91,-43.32,-20.2,50.96,65.87,-10.44,268.35,-29.94,136.84,-45.86,99.31,5.0,-15.56,59.03,27.76,562.34,216.51,125.11,-27.67,30.72,-129.33,-34.14,135.26,-61.4,274.48,45.21,-47.82,204.27,-4.73,26.06,-44.07,-59.3,50.85,102.74,74.18,11.72,7.09,-75.56,-47.74,-23.22,5.37,103.25,58.21,132.93,-36.34,-3.27,-6.98,-61.73,193.56,-81.92,1314.0,289.47,-77.88,410.5,-89.9,-38.92,143.39,-249.82,9.94,-4.08,-83.17,5.13,-70.8,-63.07,-1510.75,301.64
Pozostałe koszty operacyjne,,,,,102.0,134.44,112.5,-80.74,-55.45,39.81,64.71,360.15,100.0,288.81,105.71,-60.13,-23.33,-20.58,-50.35,310.66,736.23,41.16,458.04,-5.94,-35.01,73.33,-4.51,146.37,109.33,-59.31,-7.48,-43.22,61.91,-2.32,8.51,3.72,-40.76,-52.6,-48.63,-10.75,7.97,77.38,-1.78,11.84,-80.32,31.68,363.73,74.14,-51.88,115.39,-67.65,-22.72,410.39,-5.92,-116.75,12.55,160.56,-77.87,949.48,-80.31,-46.97,464.77,-63.59,-207.99,-43.28,-82.58,795.67,829.69,448.05,30.95,81.17,69.47
Zysk operacyjny (EBIT),,,,,1776.56,216.38,13.57,13.42,-62.82,-54.72,-31.13,51.63,-96.19,135.63,117.08,-35.43,-5011.76,-67.48,-1.07,-0.54,35.75,200.45,24.98,75.47,111.93,-88.22,72.75,-41.56,-561.72,594.6,-44.55,29.77,-287.99,-109.25,-88.2,1.06,25.43,1590.0,1881.23,268.73,-25.32,-131.01,-84.21,-78.33,-52.82,-122.34,346.95,-97.44,-2.23,-9.0,-64.19,3137.11,-32.29,-217.18,-129.63,-172.77,225.17,141.21,816.01,554.57,-111.49,12.87,-24.57,-70.83,-593.41,-113.92,372.7,647.92,270.75,2669.39,14.48,-112.71
Przychody finansowe,,,,,520.0,14140.0,44600.0,823.01,3161.29,29.63,94.41,-19.46,-22.65,-20.59,-31.99,-16.9,-3.45,3.96,-22.0,-34.24,-46.49,-52.36,-4.99,99.35,5.69,-41.32,-76.71,-60.77,-37.24,17.37,144.12,-49.3,-33.96,10.4,-37.75,90.11,48.59,44.93,16.13,-32.08,44.11,-20.25,-59.44,105.53,-84.43,-88.71,93.15,-96.48,89.83,1041.67,-121.99,22470.59,-36.61,1884.18,13322.58,-418.09,173.24,-99.12,-101.59,99.94,-17.01,5.56,96.92,1342.86,-39.13,896.05,60050.0,-377.01,743.88,-25.76,-77.65,155.19
