,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,103.55,-27.88,148.18,-41.14,-67.97,53.58,33.84,129.73,259.68,74.21,-25.73,-4.9,170.33,50.28,67.08,8.66,-37.03,22.62,18.66,58.07,47.87,-18.09,-4.89,31.14
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,46.39,17.33,107.1,-35.33,-19.61,38.44,42.27,103.65,44.69,42.6,-26.08,5.73,99.94,25.93,68.05,21.59,-4.56,50.75,22.3,36.07,44.72,-7.01,11.42,24.04
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,127.77,-183.97,493.64,-73.15,-1099.52,19.44,-35.39,475.69,109.19,187.86,-19.32,-54.8,2072.25,377.96,50.99,-133.39,-117.76,-77.12,-48.51,821.46,-5.83,-276.69,-719.93,84.71
Pozostałe przychody operacyjne,,,,,20.0,700.0,430.0,-19.82,50.0,580.0,-3.03,-23.56,1077.78,-58.46,578.12,463.16,484.91,528.32,659.91,28.57,10.81,-116.34,-100.42,14.95,-60.26,311.21,1942.86,-87.9
Pozostałe koszty operacyjne,,,,,,-66.67,-27.27,-57.31,-93.55,2700.0,100.0,44.06,3500.0,132.14,812.5,83.5,1093.06,623.08,39.73,-31.75,-54.13,-114.26,-95.1,-12.02,-86.04,196.27,2980.0,-12.33
Zysk operacyjny (EBIT),,,,,124.6,-180.33,463.92,-70.71,-1232.24,42.02,-35.41,442.38,110.86,224.16,-6.58,-44.93,1637.78,352.79,365.02,-96.63,-111.36,-74.48,-86.93,7028.95,-26.58,-255.05,-829.73,53.51
Przychody finansowe,,,,,290.0,-114.58,-118.18,-129.63,-51.28,128.57,550.0,975.0,-84.21,600.0,-100.0,-84.29,-100.0,28.57,,200.0,,-166.67,,-709.09,-93.46,183.33,-39.67,44.28
Koszty finansowe,,,,,600.0,-60.0,-71.43,-44.21,414.29,4400.0,1100.0,-20.75,15.28,96.67,147.22,-10.71,-21.69,-56.5,-93.26,-24.0,-47.69,-24.68,233.33,26.32,161.76,574.14,-685.0,773.61
