,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Period,2011/Q1,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,14447.0,23968.0,20060.0,23606.0,30724.0,19466.0,22639.0,23883.0,28418.0,23533.0,26541.0,31378.0,28172.0,24647.0,29645.0,33062.0,33217.0,29645.0,33862.0,37485.0,40129.0,37721.0,41467.0,40393.0,36908.0,33691.0,38989.0,41030.0,41291.0,39143.0,45243.0,50393.0,45071.0,38252.0,39740.0,51727.0,44018.0,45749.0,49133.0,59883.0,51087.0,51308.0,55494.0,74836.0,60153.0,61098.0,61110.0,82142.0,71145.0
Techniczny koszt wytworzenia produkcji sprzedanej,14337.0,23445.0,19257.0,22836.0,27187.0,19730.0,21727.0,22932.0,25467.0,23034.0,24278.0,29262.0,-30057.0,12232.0,8031.0,12992.0,15037.0,13533.0,13152.0,16106.0,15122.0,17088.0,16205.0,17049.0,13513.0,13449.0,12922.0,15737.0,14121.0,16751.0,15741.0,20725.0,15774.0,16420.0,15338.0,19949.0,14649.0,16897.0,17183.0,21319.0,16741.0,19522.0,17926.0,30789.0,21991.0,22787.0,19014.0,31810.0,23903.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46115.0,8978.0,17372.0,16143.0,16818.0,15046.0,17380.0,18118.0,19741.0,17821.0,19315.0,17342.0,17101.0,16331.0,18303.0,18455.0,20296.0,18926.0,21653.0,22296.0,21470.0,18883.0,18258.0,22217.0,21433.0,21906.0,22669.0,25207.0,22976.0,24906.0,30409.0,31595.0,30749.0,31096.0,30990.0,36937.0,34940.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11152.0,3200.0,3932.0,3931.0,3182.0,4186.0,3993.0,4297.0,3912.0,4203.0,4515.0,4356.0,3910.0,4054.0,3789.0,4461.0,4730.0,4540.0,5051.0,5337.0,4827.0,4793.0,3613.0,5487.0,4750.0,4543.0,4251.0,4612.0,6665.0,6115.0,4967.0,7495.0,8492.0,6477.0,7970.0,7682.0,8893.0
Zysk ze sprzedaży,110.0,523.0,803.0,770.0,3537.0,-264.0,912.0,951.0,2951.0,499.0,2263.0,2116.0,962.0,237.0,310.0,-4.0,-1820.0,-3120.0,-663.0,-1036.0,1354.0,-1391.0,1432.0,1646.0,2384.0,-143.0,3975.0,2377.0,2144.0,-1074.0,2798.0,2035.0,3000.0,-1844.0,2531.0,4074.0,3186.0,2403.0,5030.0,8745.0,4705.0,765.0,2192.0,4957.0,-1079.0,738.0,3136.0,5713.0,3409.0
Pozostałe przychody operacyjne,88.0,302.0,87.0,221.0,182.0,361.0,262.0,198.0,412.0,787.0,433.0,423.0,1077.0,639.0,429.0,519.0,663.0,526.0,396.0,635.0,636.0,816.0,586.0,481.0,699.0,361.0,419.0,529.0,909.0,1004.0,1360.0,512.0,856.0,438.0,1484.0,560.0,607.0,744.0,2337.0,329.0,709.0,454.0,2317.0,1379.0,2827.0,1396.0,691.0,651.0,1828.0
Pozostałe koszty operacyjne,5.0,240.0,78.0,170.0,632.0,58.0,152.0,339.0,513.0,519.0,420.0,483.0,233.0,130.0,282.0,332.0,964.0,220.0,357.0,454.0,1026.0,477.0,827.0,1126.0,462.0,216.0,432.0,605.0,405.0,267.0,1066.0,86.0,288.0,270.0,597.0,264.0,2090.0,106.0,1693.0,212.0,260.0,217.0,321.0,142.0,156.0,589.0,115.0,112.0,757.0
Zysk operacyjny (EBIT),193.0,585.0,812.0,821.0,3087.0,39.0,1022.0,810.0,2850.0,767.0,2276.0,2056.0,1806.0,746.0,457.0,183.0,-2121.0,-2814.0,-624.0,-855.0,964.0,-1052.0,1191.0,1001.0,2621.0,2.0,3962.0,2301.0,2648.0,-337.0,3092.0,2461.0,3568.0,-1676.0,3418.0,4370.0,1703.0,3041.0,5674.0,8862.0,5154.0,1002.0,4188.0,6194.0,1592.0,1545.0,3712.0,6252.0,4480.0
Przychody finansowe,443.0,20.0,128.0,1.0,11.0,209.0,57.0,121.0,73.0,22.0,20.0,65.0,272.0,26.0,93.0,27.0,60.0,342.0,391.0,426.0,-41.0,333.0,439.0,5285.0,49.0,251.0,-88.0,68.0,91.0,11.0,7.0,8.0,7.0,415.0,-141.0,255.0,113.0,202.0,-162.0,192.0,-166.0,2478.0,22.0,42.0,-659.0,57.0,42.0,-33.0,44.0
Koszty finansowe,1.0,155.0,213.0,244.0,203.0,295.0,275.0,237.0,251.0,399.0,300.0,572.0,351.0,585.0,385.0,111.0,251.0,331.0,300.0,283.0,368.0,350.0,285.0,176.0,673.0,258.0,283.0,294.0,492.0,683.0,524.0,988.0,705.0,690.0,630.0,560.0,699.0,541.0,456.0,501.0,597.0,697.0,1270.0,1125.0,1779.0,1265.0,2149.0,1385.0,2137.0
Pozostałe przychody (koszty),0.0,-2.0,2.0,0.0,287.0,-2.0,-2.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,635.0,448.0,729.0,578.0,3182.0,-49.0,802.0,692.0,2678.0,390.0,1996.0,1549.0,1727.0,187.0,165.0,99.0,-2312.0,-2803.0,-533.0,-712.0,555.0,-1069.0,1345.0,6110.0,1997.0,-5.0,3591.0,2075.0,2247.0,-1009.0,2575.0,1481.0,2870.0,-1951.0,2647.0,4065.0,1117.0,2702.0,5056.0,8553.0,4391.0,2783.0,2940.0,5111.0,-846.0,337.0,1605.0,4834.0,2387.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
