,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,18894.0,28855.0,28173.0,37199.0,27318.0,35481.0,34553.0,39452.0,33127.0,46977.0,62094.0,58623.0,34541.0,32821.0,26701.0,60874.0,41154.0,27619.0,27452.0,33124.0,20077.0,23510.0,26518.0,36842.0,20117.0,34975.0,23272.0,42146.0,20189.0,27137.0,40525.0,56569.0,30819.0,36430.0,22906.0,25483.0,11569.0,15994.0,24589.0,25725.0,29945.0,27400.0,34574.0,40910.0,28013.0,33011.0,31180.0,31067.0,18694.0,20019.0,13131.0,34573.0,16732.0,21995.0,30137.0,31697.0,32524.0,32201.0,23659.0,22356.0,18979.0,31938.0,41989.0,49499.0
Techniczny koszt wytworzenia produkcji sprzedanej,14311.0,21685.0,19848.0,28934.0,20103.0,27676.0,26890.0,31395.0,25935.0,37699.0,51677.0,47437.0,27240.0,27582.0,23653.0,53574.0,36488.0,26933.0,26716.0,29734.0,16647.0,18872.0,23023.0,31643.0,16286.0,31779.0,20311.0,38119.0,19673.0,23086.0,35738.0,49093.0,27647.0,32726.0,20672.0,21470.0,10075.0,14691.0,21932.0,21988.0,27464.0,24603.0,31943.0,35537.0,26724.0,30583.0,29297.0,28667.0,16123.0,15107.0,12677.0,33206.0,15366.0,17319.0,27844.0,27832.0,28438.0,28319.0,19932.0,18678.0,17228.0,25351.0,37291.0,39806.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,624.0,884.0,387.0,637.0,637.0,838.0,315.0,650.0,633.0,951.0,110.0,701.0,315.0,283.0,668.0,800.0,228.0,553.0,516.0,516.0,433.0,463.0,405.0,379.0,482.0,606.0,645.0,729.0,603.0,740.0
Koszty ogólnego zarządu,2575.0,3502.0,3618.0,5498.0,3417.0,4572.0,3668.0,5993.0,3918.0,4876.0,4162.0,5532.0,4033.0,3965.0,4020.0,4534.0,3740.0,4300.0,3791.0,4290.0,3316.0,3655.0,3334.0,3810.0,3490.0,3751.0,3561.0,4326.0,3044.0,3955.0,3728.0,4052.0,3412.0,3732.0,3393.0,3546.0,2889.0,3128.0,3042.0,3430.0,3040.0,3169.0,3258.0,3152.0,3172.0,2737.0,3789.0,3185.0,2756.0,2720.0,415.0,2338.0,1823.0,2719.0,1954.0,2455.0,2579.0,2758.0,2753.0,1933.0,3044.0,3522.0,2585.0,2971.0
Zysk ze sprzedaży,2008.0,3668.0,4707.0,2767.0,3798.0,3233.0,3995.0,2064.0,3274.0,4402.0,6255.0,5654.0,3268.0,1274.0,-972.0,2766.0,926.0,-3614.0,-3055.0,-900.0,114.0,983.0,161.0,1389.0,341.0,-555.0,-600.0,-299.0,-2528.0,96.0,1059.0,3424.0,-240.0,-581.0,-1783.0,-417.0,-1782.0,-2462.0,-1022.0,-531.0,-874.0,-1022.0,-1260.0,1270.0,-1993.0,-1010.0,-2221.0,-1068.0,-853.0,1392.0,-189.0,-1524.0,-973.0,1441.0,-94.0,947.0,1102.0,745.0,492.0,1139.0,-1938.0,2336.0,1510.0,5982.0
Pozostałe przychody operacyjne,333.0,78.0,134.0,376.0,65.0,139.0,172.0,138.0,131.0,118.0,148.0,292.0,223.0,707.0,306.0,468.0,282.0,248.0,257.0,153.0,521.0,375.0,434.0,839.0,624.0,2080.0,1636.0,158.0,196.0,166.0,89.0,287.0,121.0,238.0,200.0,805.0,171.0,133.0,284.0,702.0,259.0,246.0,213.0,326.0,275.0,-738.0,377.0,27.0,0.0,58.0,305.0,2674.0,180.0,353.0,104.0,4852.0,317.0,253.0,623.0,432.0,147.0,271.0,98.0,751.0
Pozostałe koszty operacyjne,16.0,35.0,157.0,175.0,72.0,144.0,85.0,279.0,69.0,79.0,18.0,569.0,207.0,62.0,171.0,513.0,70.0,1778.0,661.0,5114.0,417.0,1334.0,57.0,381.0,207.0,420.0,193.0,609.0,113.0,179.0,141.0,213.0,37.0,243.0,2133.0,322.0,99.0,251.0,162.0,293.0,100.0,174.0,1078.0,683.0,117.0,7.0,258.0,607.0,84.0,70.0,104.0,586.0,114.0,73.0,32.0,80.0,141.0,88.0,71.0,167.0,63.0,180.0,49.0,36.0
Zysk operacyjny (EBIT),2325.0,3711.0,4684.0,2968.0,3791.0,3228.0,4082.0,1923.0,3336.0,4441.0,6385.0,5377.0,3284.0,1919.0,-837.0,2721.0,1138.0,-5144.0,-3459.0,-5861.0,218.0,24.0,538.0,1847.0,758.0,1105.0,843.0,-750.0,-2445.0,83.0,1007.0,3498.0,-156.0,-586.0,-3716.0,66.0,-1710.0,-2580.0,-900.0,-122.0,-715.0,-950.0,-2125.0,913.0,-1835.0,-1755.0,-2102.0,-1648.0,-937.0,1380.0,12.0,564.0,-907.0,1721.0,-22.0,5719.0,1278.0,910.0,1044.0,1404.0,-1854.0,2427.0,1559.0,6697.0
Przychody finansowe,12.0,329.0,109.0,66.0,530.0,190.0,103.0,731.0,612.0,123.0,182.0,251.0,300.0,74.0,2.0,25.0,21.0,14.0,41.0,19.0,99.0,233.0,54.0,58.0,70.0,65.0,30.0,49.0,159.0,120.0,36.0,60.0,93.0,-2.0,1.0,93.0,39.0,28.0,44.0,-16.0,4.0,26.0,3.0,-8.0,2.0,3.0,1.0,27.0,0.0,45.0,23.0,47.0,0.0,130.0,76.0,338.0,204.0,319.0,252.0,182.0,272.0,492.0,325.0,554.0
