,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,39.66,45.19,31.03,24.8,21.81,16.44,22.01,16.8,-20.01,-22.45,-23.68,-24.6,-5.34,-4.5,-2.8,-1.71,-2.73,2.11,1.67,-2.0,-2.25,-3.04,-6.05,-4.6,-1.24,-3.03,-1.55,0.49,5.14,5.07,-0.4,6.06,10.1,16.18,18.6,-10.82,2.92,-13.07,2.61,27.73,17.86,22.66,20.21,41.16,52.27,53.29,44.93,22.51,61.65,40.75,27.28,27.34
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,47.54,52.14,35.46,25.0,22.19,11.09,18.49,16.52,-27.18,-21.18,-26.7,-24.13,-2.61,-6.66,-1.27,-1.57,-1.11,0.53,1.62,83.63,-0.12,20.79,-4.61,-50.66,-9.39,-20.71,-0.98,3.43,9.16,16.97,-1.88,25.96,12.82,12.99,24.29,19.1,8.43,-16.12,-0.75,30.34,5.38,47.26,28.83,-4.52,62.22,46.16,55.33,32.98,70.83,22.53,19.06,15.49
Koszty sprzedaży,,,,,-6.39,-10.84,-53.22,139.36,137.57,125.89,320.81,33.77,16.34,17.61,14.87,-25.88,-9.47,-0.09,13.31,-5.33,-12.47,-3.0,-15.37,-12.71,2.22,-15.23,-7.93,-1.98,0.14,4.51,5.17,17.01,1.87,0.64,4.97,-15.22,-4.96,7.71,7.66,6.77,20.65,-36.13,-3.09,14.7,-9.01,65.58,12.33,8.91,17.82,31.61,-10.63,-48.56,36.96,-2.3,55.38,138.37
Koszty ogólnego zarządu,,,,,1.33,-17.33,16.86,0.27,20.54,-2.16,1.18,23.34,-3.98,8.77,-6.62,-37.96,-1.3,-4.44,-3.51,24.93,-6.68,-4.97,-3.61,-11.64,7.32,-4.01,0.74,18.08,-8.44,0.49,-2.59,-13.91,-19.93,6.38,34.23,-6.16,26.01,-10.25,-18.33,33.54,1.68,-14.42,-14.5,-1.66,-5.23,27.37,11.28,-10.35,13.91,-2.04,23.33,-76.64,-5.88,14.29,-13.92,395.0
Zysk ze sprzedaży,,,,,5.95,30.79,10.46,10.9,7.85,66.04,50.35,8.78,39.03,-44.88,-9.79,-22.99,-19.8,15.41,-17.54,-15.95,-10.04,18.94,9.87,-1665.34,-20.59,-161.68,-19.21,109.38,72.83,234.14,-8.52,-33.61,-7.92,-87.85,-2.39,-345.39,-5.17,355.59,-13.35,-295.03,-35.42,56.78,64.17,-31.74,170.45,-235.01,-51.37,96.03,18.26,47.23,-149.87,-482.67,18.84,554.78,611.21,121.84
Pozostałe przychody operacyjne,,,,,-39.09,20.26,8.67,2.24,41.75,-14.87,32.2,24.47,-2.49,70.01,-25.79,3.75,29.65,24.19,181.28,117.76,23.48,-32.39,14.52,-88.25,-77.33,-81.69,-81.29,-492.29,-76.72,325.52,-115.65,35.29,7213.14,9.15,825.69,134.76,-67.06,-33.52,168.46,10629.84,-28.14,1544.58,57.66,-96.5,-7.42,-88.18,1.12,-101.07,-25.46,-40.33,21.65,147038.78,62.96,1155.0,-37.33,-198.78
Pozostałe koszty operacyjne,,,,,-39.54,-43.79,-0.32,-51.69,-19.45,56.46,24.12,192.0,-22.56,-33.07,-27.1,32.71,55.55,89.54,16.75,-61.59,-28.7,145.67,142.04,-89.02,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,7.34,39.25,10.92,19.62,10.62,61.76,50.57,-1.15,39.46,-41.89,-9.91,-29.88,-19.78,12.1,-10.56,25.87,-7.41,1.94,5.05,-1309.68,-22.13,-170.27,-20.22,108.13,69.65,243.84,-12.01,-33.35,13.18,-82.88,2.39,-377.3,-16.85,228.42,-5.89,-98.76,-34.88,155.2,63.41,-163.21,155.77,-172.42,-45.44,95.96,16.95,47.71,-113.93,48.56,19.68,690.48,1660.98,-669.64
Przychody finansowe,,,,,-14.33,84.35,33.21,13.14,41.81,-33.65,53.1,5.91,-15.18,47.37,-59.99,-32.69,-51.66,-49.75,-27.69,92.65,351.82,-206.86,39.94,-69.21,-50.57,257.51,27.06,-1347.45,27.57,-74.56,-364.88,160.03,-100.0,-100.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,
Koszty finansowe,,,,,-11.64,-40.86,4.96,-56.56,96.41,147.64,82.27,155.76,-13.99,7.17,0.2,7.11,11.56,18.39,10.39,35.76,3.6,45.3,-48.57,-99.24,-19.76,-54.0,35.75,5379.37,-31.16,-25.02,-14.83,-3.34,-23.31,-12.02,-23.69,-55.73,42.91,36.01,37.17,223.27,31.79,23.11,11.84,-6.04,25.99,31.13,48.59,16.92,21.81,53.49,67.0,100.92,90.09,56.55,16.77,-1.11
Pozostałe przychody (koszty),,,,,,,,-35.17,-19.19,-30.99,-60.64,-138.56,-145.48,-71.92,-67.55,-3.68,53.28,32.11,20.95,130.42,5124.63,-4097.3,-1040.0,36580.0,-104.12,-16.61,-167.08,3.56,7042.45,99.69,192.0,-96.14,-178.76,-182225.0,371.45,-1336.1,141.04,81.52,-183.85,63.8,-1002.42,474.57,152.97,-1688.93,85.92,7.1,-143.99,130.43,-45.92,-117.18,-74.4,-452.73,-168.57,-876.92,266.67,65.56
Zysk z działalności gospodarczej,,,,,8.23,57.56,13.11,50.41,3.87,48.34,46.91,-19.43,45.58,-44.87,-15.53,-44.46,-24.25,5.1,-14.95,30.32,3.01,-22.7,17.55,-1890.21,-28.34,-233.22,-25.94,104.19,99.01,211.23,-28.44,68.78,-3.42,-115.6,50.51,-348.17,-12.53,378.97,-36.63,-92.04,-66.56,262.16,117.62,-172.31,374.22,-175.4,-61.8,96.3,15.91,18.11,-211.96,-376.82,9.43,376.59,328.5,-32.53
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,8.23,57.56,13.11,50.41,3.87,48.34,46.91,-19.43,45.58,-44.87,-15.53,-44.46,-24.25,5.1,-14.95,30.32,3.01,-22.7,17.55,-1890.21,-28.34,-233.22,-25.94,104.19,99.01,211.23,-28.44,68.78,-3.42,-115.6,50.51,-348.17,-12.53,378.97,-36.63,-92.04,-66.56,262.16,117.62,-172.31,374.22,-175.4,-61.8,96.3,15.91,18.11,-211.96,-376.82,9.43,376.59,328.5,-32.53
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,-100.0,,,,,,,,-100.0
Zysk netto,,,,,7.89,59.33,15.99,48.26,3.14,43.5,52.2,-15.55,44.93,-36.06,-17.12,-58.82,-31.25,7.47,-13.48,54.51,26.1,-35.07,12.42,-2276.1,-35.59,-246.6,-24.35,103.26,97.81,214.37,-30.46,100.75,-0.6,-118.7,51.43,-442.96,-17.59,308.47,-34.38,-33.83,-69.22,-436.42,100.95,-194.13,426.89,2.03,-69.6,95.62,5.9,41.98,-302.5,-376.09,14.98,408.82,266.81,-10.17
Zysk netto akcjonariuszy jednostki dominującej,,,,,31.07,69.28,32.13,59.57,1.15,45.54,42.65,-21.15,44.32,-37.83,-12.25,-51.68,-29.08,14.93,-12.43,38.46,26.8,-35.26,12.47,-2281.64,-35.61,-247.73,-24.37,103.23,97.94,213.92,-30.58,102.25,-0.57,-118.97,52.01,-443.82,-17.6,305.29,-34.14,-33.53,-69.08,-436.93,100.07,-194.21,417.7,-1.03,-73.19,95.33,7.27,43.48,-329.77,-344.8,15.11,406.59,265.95,-10.59
Aktywa trwałe,,,,,,3.94,7.2,27.72,25.38,25.78,23.17,8.77,9.4,8.74,9.57,8.23,7.13,7.79,6.34,2.16,2.62,2.64,3.13,-0.14,0.03,-2.74,-2.33,3.64,3.7,6.14,5.06,6.52,5.63,4.92,5.65,4.81,6.45,6.53,9.86,7.71,6.99,0.25,-2.97,-9.46,-4.98,-2.06,-2.52,6.68,3.01,8.29,9.47,3.54,2.72,1.39,1.48,6.56
Wartości niematerialne i prawne,,,,,,31.09,33.88,61.43,25.68,17.2,-3.41,155.08,-37.78,46.53,48.51,-1.56,136.01,1.5,0.82,27.91,-0.48,-2.9,-2.61,-0.78,-5.92,-9.13,-7.97,-22.11,-5.88,-3.52,-6.31,14.85,4.33,5.73,13.39,23.67,44.48,-50.74,-5.21,-50.76,-69.83,-9.06,-49.7,-40.86,7.75,-8.39,-2.48,-1.61,-7.8,20.14,-2.89,42.58,28.6,9.7,9.73,8.3
Rzeczowe składniki majątku trwałego,,,,,,2.79,5.41,25.03,26.5,26.69,25.49,6.34,10.04,5.73,6.66,7.84,4.19,7.94,6.6,-1.1,-0.16,1.15,1.94,0.13,0.52,-2.61,-2.3,5.92,4.92,7.67,6.44,6.54,6.23,5.24,5.62,4.12,5.11,9.91,8.87,12.43,12.43,0.32,1.2,-9.76,-5.44,-2.4,-3.1,4.9,-1.08,2.31,3.65,1.95,2.77,4.45,4.01,7.28
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,-4.73,59.0,21.6,6.04,48.07,-8.74,65.64,79.29,44.82,41.82,76.7,2.11,-5.92,-3.16,25.4,106.8,104.73,99.0,7.47,8.57,13.01,15.01,9.2,6.09,0.69,1.44,5.23,-2.85,4.04,3.49,3.88,11.34,6.01,81.59,1.64,3.25,7.5,-39.39,34.78,-4.18,-3.62,9.59,-7.32,58.73,66.47,40.83,22.4,-7.38,-18.84,-11.91,-39.65
Pozostałe aktywa trwałe,,,,,,18.44,2.71,155.62,-26.07,-18.47,11.47,-47.39,85.72,83.88,62.27,4.4,-7.24,34.41,18.72,79.68,86.82,11.78,2.6,-16.04,-15.19,-13.18,-13.28,-21.8,-28.9,-29.21,-25.66,-16.7,-8.35,-16.46,-12.51,-20.69,-36.68,-44.74,-50.6,-44.17,-30.63,-16.52,-6.22,-40.51,33.49,100.42,31.11,747.29,337.31,367.99,722.9,6.94,2.72,-42.45,-35.19,58.51
