,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Period,2011/Q1,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,65.9,,,,-18.78,12.86,1.17,-7.51,20.89,17.24,31.38,-0.87,4.73,11.7,5.37,17.91,20.28,14.22,13.38,20.81,27.24,22.46,7.76,-8.03,-10.68,-5.98,1.58,11.88,16.18,16.04,22.82,9.15,-2.28,-12.16,2.65,-2.34,19.6,23.64,15.77,16.06,12.15,12.95,24.97,17.75,19.08,10.12,9.76,18.27
Techniczny koszt wytworzenia produkcji sprzedanej,,63.53,,,,-15.85,12.83,0.42,-6.33,16.75,11.74,27.6,-218.02,-46.9,-66.92,-55.6,150.03,10.64,63.77,23.97,0.57,26.27,23.21,5.85,-10.64,-21.3,-20.26,-7.7,4.5,24.55,21.82,31.7,11.71,-1.98,-2.56,-3.74,-7.13,2.9,12.03,6.87,14.28,15.54,4.32,44.42,31.36,16.72,6.07,3.32,8.69
Koszty sprzedaży,,,,,,,,,,,,,,,,,-63.53,67.59,0.05,12.23,17.38,18.44,11.13,-4.28,-13.37,-8.36,-5.24,6.42,18.68,15.89,18.3,20.81,5.78,-0.23,-15.68,-0.35,-0.17,16.01,24.16,13.46,7.2,13.69,34.14,25.34,33.83,24.85,1.91,16.91,13.63
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,-71.47,30.81,1.55,9.31,22.94,0.41,13.07,1.37,-0.05,-3.55,-16.08,2.41,20.97,11.99,33.31,19.64,2.05,5.57,-28.47,2.81,-1.6,-5.22,17.66,-15.95,40.32,34.6,16.84,62.51,27.41,5.92,60.46,2.49,4.72
Zysk ze sprzedaży,,375.45,,,,-150.48,13.57,23.51,-16.57,289.02,148.14,122.5,-67.4,-52.51,-86.3,-100.19,-289.19,-1416.46,-313.87,-25800.0,174.4,55.42,315.99,258.88,76.07,89.72,177.58,44.41,-10.07,-651.05,-29.61,-14.39,39.93,-71.69,-9.54,100.2,6.2,230.31,98.74,114.65,47.68,-68.16,-56.42,-43.32,-122.93,-3.53,43.07,15.25,415.94
Pozostałe przychody operacyjne,,243.18,,,,19.54,201.15,-10.41,126.37,118.01,65.27,113.64,161.41,-18.81,-0.92,22.7,-38.44,-17.68,-7.69,22.35,-4.07,55.13,47.98,-24.25,9.91,-55.76,-28.5,9.98,30.04,178.12,224.58,-3.21,-5.83,-56.37,9.12,9.38,-29.09,69.86,57.48,-41.25,16.8,-38.98,-0.86,319.15,298.73,207.49,-70.18,-52.79,-35.34
Pozostałe koszty operacyjne,,4700.0,,,,-75.83,94.87,99.41,-18.83,794.83,176.32,42.48,-54.58,-74.95,-32.86,-31.26,313.73,69.23,26.6,36.75,6.43,116.82,131.65,148.02,-54.97,-54.72,-47.76,-46.27,-12.34,23.61,146.76,-85.79,-28.89,1.12,-44.0,206.98,625.69,-60.74,183.58,-19.7,-87.56,104.72,-81.04,-33.02,-40.0,171.43,-64.17,-21.13,385.26
Zysk operacyjny (EBIT),,203.11,,,,-93.33,25.86,-1.34,-7.68,1866.67,122.7,153.83,-36.63,-2.74,-79.92,-91.1,-217.44,-477.21,-236.54,-567.21,145.45,62.62,290.87,217.08,171.89,100.19,232.66,129.87,1.03,-16950.0,-21.96,6.95,34.74,-397.33,10.54,77.57,-52.27,281.44,66.0,102.79,202.64,-67.05,-26.19,-30.11,-69.11,54.19,-11.37,0.94,181.41
Przychody finansowe,,-95.49,,,,945.0,-55.47,12000.0,563.64,-89.47,-64.91,-46.28,272.6,18.18,365.0,-58.46,-77.94,1215.38,320.43,1477.78,-168.33,-2.63,12.28,1140.61,219.51,-24.62,-120.05,-98.71,85.71,-95.62,107.95,-88.24,-92.31,3672.73,-2114.29,3087.5,1514.29,-51.33,-14.89,-24.71,-246.9,1126.73,113.58,-78.12,-296.99,-97.7,90.91,-178.57,106.68
Koszty finansowe,,15400.0,,,,90.32,29.11,-2.87,23.65,35.25,9.09,141.35,39.84,46.62,28.33,-80.59,-28.49,-43.42,-22.08,154.95,46.61,5.74,-5.0,-37.81,82.88,-26.29,-0.7,67.05,-26.89,164.73,85.16,236.05,43.29,1.02,20.23,-43.32,-0.85,-21.59,-27.62,-10.54,-14.59,28.84,178.51,124.55,197.99,81.49,69.21,23.11,20.12
Pozostałe przychody (koszty),,,,,,0.0,-200.0,,-97.91,100.0,100.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-29.45,,,,-110.94,10.01,19.72,-15.84,895.92,148.88,123.84,-35.51,-52.05,-91.73,-93.61,-233.87,-1598.93,-423.03,-819.19,124.01,61.86,352.35,958.15,259.82,99.53,166.99,-66.04,12.52,-20080.0,-28.29,-28.63,27.73,-93.36,2.8,174.48,-61.08,238.49,91.01,110.41,293.11,3.0,-41.85,-40.24,-119.27,-87.89,-45.41,-5.42,382.15
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-29.45,,,,-110.94,10.01,19.72,-15.84,895.92,148.88,107.23,-31.22,-52.05,-91.73,-93.1,-225.52,-1598.93,-423.03,-819.19,124.01,61.86,352.35,958.15,259.82,99.53,166.99,-66.04,12.52,-20080.0,-28.29,-28.63,27.73,-93.36,2.8,174.48,-61.08,238.49,91.01,110.41,293.11,3.0,-41.85,-40.24,-119.27,-87.89,-45.41,-5.42,382.15
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,4.99,,,,-88.21,-50.6,-31.05,25.74,351.61,371.0,134.44,-37.55,-31.79,-122.51,-132.2,-261.19,-1623.56,-50.14,-179.24,101.89,54.95,213.28,690.68,3482.61,95.73,439.7,-76.79,-17.78,-1801.79,-41.4,-26.97,54.39,-85.26,5.67,243.93,-74.52,216.57,118.9,127.46,310.32,1.09,-48.84,-38.12,-150.66,-90.67,-54.07,-17.98,311.82
Zysk netto akcjonariuszy jednostki dominującej,,4.99,,,,-73.57,1.64,45.05,-19.69,250.36,150.51,17.84,-14.51,-97.95,-98.94,-115.49,-233.54,-29380.0,-2472.22,-398.85,109.18,65.1,308.43,776.5,920.33,123.29,288.09,-72.19,1.45,-313.03,-32.86,-7.16,36.36,-159.96,-6.3,137.34,-59.36,311.99,146.89,115.01,60.82,-16.79,-58.36,-40.18,-165.99,-90.67,-54.07,-17.98,311.82
