,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-2.53,45.12,188.9,93.56,135.16,3.59,20.56,25.13,10.11,-12.11,-38.84,25.19,-33.04,-12.57,21.06,-23.93,22.21,23.55,12.02,26.95,7.99,64.22,65.0,-37.99,48.66,-15.62,-40.1,13.31,3.52,-7.41,74.35,82.07,-11.19,55.53,-7.25,-44.19,4.74,3.02,31.08,59.99,56.83,-10.35,-23.77,1.06,-5.51,16.63,23.36,-8.49,-17.54,-8.31,10.9,34.93,20.74,14.94,-27.56,-41.25,-30.93,-36.86,5.97,10.73,20.83,4.37,-38.1,-43.75,-51.16,-23.52,-1.93,171.39
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-25.44,51.1,218.79,168.09,155.67,4.7,8.39,29.18,-4.5,-13.99,-32.82,13.69,-15.55,-12.23,28.18,-24.38,14.76,33.42,5.6,39.29,11.05,87.55,77.13,-37.57,59.44,-14.12,-45.24,19.58,1.94,-13.59,87.19,75.31,-15.28,70.01,-3.27,-48.44,-0.36,5.23,25.39,85.42,81.26,-7.09,-28.7,-3.66,-8.93,20.19,21.35,-9.57,-16.27,-19.92,15.13,27.74,31.2,25.05,-18.04,-39.22,-32.72,-38.46,3.63,40.12,23.06,8.38,-23.31,-24.09,-45.21,-28.38,-25.65,45.69
Koszty sprzedaży,,,,,106.12,47.24,60.71,246.1,0.5,26.2,-6.67,-41.6,9.85,-0.85,6.12,-1.4,21.08,2.56,-18.91,14.59,-12.59,-28.75,-17.0,-52.17,-0.42,69.01,-2.86,101.3,66.81,40.14,121.08,0.0,-15.31,-3.21,24.83,37.42,26.2,35.97,-5.15,3.52,3.34,7.88,7.49,-6.12,6.0,-15.83,8.54,66.43,40.74,50.83,13.16,-5.22,12.69,15.89,36.31,50.38,7.28,-12.77,-27.06,-38.8,-19.21,-27.1,-24.82,-35.27,-32.96,-7.99,-13.85,10.28,-62.65,-68.28,-76.65,-34.97
Koszty ogólnego zarządu,,,,,11.35,181.8,148.92,229.8,52.44,1.46,36.7,-13.74,-0.1,16.13,-59.81,-2.8,1.94,-8.55,52.57,11.22,5.99,-11.03,39.64,-26.54,-19.75,-9.88,-11.22,-7.95,12.08,3.89,-2.51,-28.07,-11.08,5.95,6.0,43.93,13.13,-6.52,-2.12,-1.71,18.45,-23.55,3.82,-18.13,-18.59,31.43,-10.95,24.38,8.02,10.61,16.09,-7.2,-1.33,-8.37,14.15,10.0,-3.38,-7.8,-5.82,-9.46,-13.09,-3.3,-3.31,12.5,20.69,-2.35,-21.11,-36.52,-22.0,-19.23,-1.76,112.63
Zysk ze sprzedaży,,,,,54.86,-52.67,94.44,-155.38,176.8,-12.46,517.14,113.58,436.69,-111.86,-66.82,1784.72,-172.25,-274.29,-110.7,-64.41,64.01,206.11,630.43,93.58,112.89,68.35,384.43,-100.32,-292.0,-209.83,-83.76,4533.33,635.42,81.32,357.29,712.78,-55.25,70.83,-99.32,-61.42,99.13,471.43,28800.0,-19.18,44.54,-1126.92,-0.69,8.31,-21.45,-89.51,55.63,11.51,-196.15,101.88,-33.43,230.96,-153.6,-1610.53,-167.71,-85.97,12.46,-47.74,79.8,-950.26,17.48,-30.19,-1286.07,-95.33,-96.72,113.41,116.74,170.63
Pozostałe przychody operacyjne,,,,,-58.33,29.63,-12.5,243.64,240.0,54.29,-100.0,-25.93,352.94,46.3,,-90.71,641.56,178.48,-41.48,1592.31,-67.25,-53.64,-20.25,0.45,-47.59,117.65,63.49,238.46,88.78,-62.61,74.76,-78.74,-29.19,196.39,-56.67,38.36,67.18,-46.75,-8.97,66.36,-80.37,17.56,166.2,-65.57,151.16,48.7,-44.97,59.52,49.07,3.93,20.19,-109.95,1.24,-49.58,13.6,80.0,22.09,186.67,-9.15,17000.0,88.44,-31.98,911.63,-81.66,-89.87,20.09,-78.93,112.9,292.11,-56.94,-30.18,11.74
Pozostałe koszty operacyjne,,,,,-16.67,214.29,100.0,1136.21,60.0,195.45,614.29,-90.66,2787.5,16.92,24.0,470.15,-20.78,392.11,-27.42,99.48,-44.81,-49.47,-46.67,-15.62,-6.93,-56.61,487.5,-20.22,48.94,-30.49,-38.65,44.05,-43.57,103.51,-45.09,-28.69,72.15,15.52,-55.79,-25.81,-55.15,1.49,366.67,-12.79,-19.67,13.97,-55.1,879.18,-2.04,-31.61,63.64,-89.07,66.67,16.98,43.06,-117.26,103.75,49.19,-179.61,853.97,48.47,-77.3,134.76,-29.05,-99.59,254.76,3.51,1243.92,7700.0,-24.83,-3.39,-93.13
Zysk operacyjny (EBIT),,,,,54.18,-52.19,78.18,-210.9,181.77,-18.86,459.18,113.71,300.0,-111.27,-58.76,581.38,-125.51,-790.62,-115.04,-105.97,28.48,118.25,502.94,969.49,126.85,619.23,200.73,-54.78,-110.34,-161.76,-75.0,-292.67,10400.0,135.5,309.71,273.15,-35.92,-120.73,-92.42,-49.35,6.57,511.76,2587.5,-68.88,84.83,-757.14,1.98,-2372.95,-4.36,-91.3,50.63,100.79,-144.77,101.7,-37.32,6290.91,-258.08,-953.33,-137.56,-72.26,29.43,-81.25,462.06,-566.67,0.24,-81.03,-230.99,-306.81,-97.15,119.76,128.34,129.73
Przychody finansowe,,,,,600.0,670.0,620.0,-47.59,-53.57,-22.08,427.78,24.49,53.85,165.0,24.74,8.2,77.5,52.2,-38.82,-1.52,29.58,-33.06,34.48,17.69,14.13,-39.51,-41.54,-90.2,-98.1,-86.73,-92.98,-120.0,75.0,-23.08,-25.0,766.67,557.14,-240.0,1233.33,-35.0,63.04,135.71,-101.25,-69.23,-48.0,-840.0,200.0,275.0,-87.18,175.68,-400.0,-26.67,380.0,-125.0,900.0,-163.64,100.0,-228.57,12.5,200.0,-45.83,39.13,-55.56,-42.86,-42.31,550.0,-16.67,-325.0,-100.0,-69.84,330.0,177.78
Koszty finansowe,,,,,500.0,-85.71,340.0,,-58.33,833.33,1037.5,302.38,1180.0,146.43,61.17,-62.72,-36.46,-94.2,-89.77,-23.81,-65.57,575.0,186.67,62.5,161.9,177.78,-55.81,-70.51,-46.36,-26.67,-33.33,143.48,-50.85,29.09,102.63,-73.21,82.76,-56.34,-46.75,840.0,71.7,112.9,-36.59,-70.21,-60.44,451.52,257.69,-611.9,66.67,-88.74,-45.16,133.02,6.67,68.29,3.92,139.44,-28.12,-15.94,0.0,-83.53,-39.13,-36.21,-96.23,-35.71,-42.86,27.03,7000.0,488.89,956.25,285.11,105.63,25.47
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,-280.0,-180.0,-123.08,-1550.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,72.73,-41.19,57.14,-187.82,276.19,-25.47,322.73,109.78,159.46,-81.65,-95.05,978.57,-127.29,-181.03,186.96,-97.82,125.95,497.87,207.58,2413.04,264.71,109.63,124.63,-63.67,-162.1,-173.21,-90.35,-450.95,472.73,107.32,697.73,205.7,-33.45,-395.24,-79.77,-66.11,2.09,114.52,1073.24,-68.18,101.54,-9666.67,-5.76,-3127.38,-19.08,-3.72,61.4,98.51,-165.09,93.17,-36.94,3334.21,-187.92,-242.62,-142.18,-69.98,28.86,-35.41,437.09,-597.02,0.47,-42.76,-241.46,-309.98,-136.73,80.45,110.52,127.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
