,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Period,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,2549.0,2281.0,3518.0,8195.0,6427.0,3159.0,8442.0,6542.0,5345.0,4586.0,8365.0,9230.0,6327.0,2742.0,35984.0,34292.0,9456.0,16116.0,16374.0,13421.0,15819.0,14307.0
Techniczny koszt wytworzenia produkcji sprzedanej,2330.0,2271.0,2867.0,7988.0,5378.0,3076.0,8004.0,4250.0,5112.0,4196.0,7416.0,8577.0,6380.0,3998.0,30781.0,25936.0,7581.0,15002.0,13459.0,14736.0,15268.0,16515.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,219.0,10.0,651.0,207.0,1049.0,83.0,438.0,2292.0,233.0,390.0,949.0,653.0,-53.0,-1256.0,5203.0,8356.0,1875.0,1114.0,2915.0,-1315.0,551.0,-2208.0
Pozostałe przychody operacyjne,20.0,18.0,17.0,188.0,18.0,10.0,19.0,24.0,3.0,631.0,0.0,363.0,171.0,37.0,299.0,93.0,964.0,5.0,70.0,-772.0,208.0,570.0
Pozostałe koszty operacyjne,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,41.0,125.0,188.0,1048.0,38.0,23.0,86.0,14.0,230.0,1845.0
Zysk operacyjny (EBIT),239.0,28.0,662.0,395.0,1067.0,93.0,457.0,2316.0,236.0,1021.0,949.0,843.0,77.0,-1344.0,5314.0,7401.0,2801.0,1096.0,2899.0,-2101.0,529.0,-3483.0
Przychody finansowe,3.0,3.0,3.0,4.0,9.0,-1.0,31.0,14.0,5.0,8.0,86.0,-79.0,0.0,35.0,-35.0,668.0,3.0,2.0,4.0,1362.0,1.0,567.0
