,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,2054.0,3433.0,2126.0,3600.0,2002.0,4982.0,6142.0,6968.0,4708.0,5161.0,7405.0,8719.0,5184.0,4536.0,4529.0,10915.0,3471.0,3966.0,5483.0,8303.0,4242.0,4900.0,6142.0,10541.0,4581.0,8047.0,10134.0,6536.0,6810.0,6790.0,6070.0,7406.0,7050.0,6287.0,10583.0,13484.0,6261.0,9778.0,9816.0,7526.0,6558.0,10073.0,12867.0,12041.0,10285.0,9030.0,9809.0,12169.0,9718.0,10532.0,12100.0,11136.0,8013.0,9657.0,13419.0,15026.0,9675.0,11100.0,9721.0,8828.0,6683.0,7008.0,10301.0,9775.0,8075.0,7314.0,6376.0,5498.0,3944.0,5594.0,6253.0,14921.0
Techniczny koszt wytworzenia produkcji sprzedanej,1749.0,2182.0,1506.0,2012.0,1304.0,3297.0,4801.0,5394.0,3334.0,3452.0,5204.0,6968.0,3184.0,2969.0,3496.0,7922.0,2689.0,2606.0,4481.0,5991.0,3086.0,3477.0,4732.0,8345.0,3427.0,6521.0,8382.0,5210.0,5464.0,5600.0,4590.0,6230.0,5570.0,4839.0,8592.0,10922.0,4719.0,8227.0,8311.0,5631.0,4702.0,8657.0,10421.0,10441.0,8523.0,8043.0,7430.0,10059.0,7762.0,9667.0,9016.0,9096.0,6499.0,7741.0,10380.0,11619.0,8527.0,9680.0,8507.0,7062.0,5737.0,5957.0,8816.0,9895.0,7060.0,6456.0,6761.0,7511.0,3868.0,4624.0,5027.0,10943.0
Koszty sprzedaży,98.0,127.0,196.0,141.0,202.0,187.0,315.0,488.0,203.0,236.0,294.0,285.0,223.0,234.0,312.0,281.0,270.0,240.0,253.0,322.0,236.0,171.0,210.0,154.0,235.0,289.0,204.0,310.0,392.0,405.0,451.0,310.0,332.0,392.0,563.0,426.0,419.0,533.0,534.0,441.0,433.0,575.0,574.0,414.0,459.0,484.0,623.0,689.0,646.0,730.0,705.0,653.0,728.0,846.0,961.0,982.0,781.0,738.0,701.0,601.0,631.0,538.0,527.0,389.0,423.0,495.0,454.0,429.0,158.0,157.0,106.0,279.0
Koszty ogólnego zarządu,608.0,412.0,370.0,490.0,677.0,1161.0,921.0,1616.0,1032.0,1178.0,1259.0,1394.0,1031.0,1368.0,506.0,1355.0,1051.0,1251.0,772.0,1507.0,1114.0,1113.0,1078.0,1107.0,894.0,1003.0,957.0,1019.0,1002.0,1042.0,933.0,733.0,891.0,1104.0,989.0,1055.0,1008.0,1032.0,968.0,1037.0,1194.0,789.0,1005.0,849.0,972.0,1037.0,895.0,1056.0,1050.0,1147.0,1039.0,980.0,1036.0,1051.0,1186.0,1078.0,1001.0,969.0,1117.0,976.0,870.0,937.0,1080.0,1098.0,1050.0,915.0,852.0,697.0,819.0,739.0,837.0,1482.0
Zysk ze sprzedaży,-401.0,712.0,54.0,957.0,-181.0,337.0,105.0,-530.0,139.0,295.0,648.0,72.0,746.0,-35.0,215.0,1357.0,-539.0,-131.0,-23.0,483.0,-194.0,139.0,122.0,935.0,25.0,234.0,591.0,-3.0,-48.0,-257.0,96.0,133.0,257.0,-48.0,439.0,1081.0,115.0,-14.0,3.0,417.0,229.0,52.0,867.0,337.0,331.0,-534.0,861.0,365.0,260.0,-1012.0,1340.0,407.0,-250.0,19.0,892.0,1347.0,-634.0,-287.0,-604.0,189.0,-555.0,-424.0,-122.0,-1607.0,-458.0,-552.0,-1691.0,-3139.0,-901.0,74.0,283.0,2217.0
Pozostałe przychody operacyjne,12.0,27.0,8.0,55.0,5.0,35.0,7.0,189.0,17.0,54.0,0.0,140.0,77.0,79.0,135.0,13.0,571.0,220.0,79.0,220.0,187.0,102.0,63.0,221.0,98.0,222.0,103.0,748.0,185.0,83.0,180.0,159.0,131.0,246.0,78.0,220.0,219.0,131.0,71.0,366.0,43.0,154.0,189.0,126.0,108.0,229.0,104.0,201.0,161.0,238.0,125.0,-20.0,163.0,120.0,142.0,-4.0,199.0,344.0,129.0,676.0,375.0,234.0,1305.0,124.0,38.0,281.0,275.0,264.0,149.0,121.0,192.0,295.0
Pozostałe koszty operacyjne,6.0,7.0,7.0,58.0,5.0,22.0,14.0,717.0,8.0,65.0,100.0,67.0,231.0,76.0,124.0,382.0,183.0,374.0,90.0,762.0,101.0,189.0,48.0,643.0,94.0,82.0,282.0,513.0,140.0,57.0,173.0,739.0,79.0,116.0,95.0,527.0,136.0,134.0,42.0,391.0,61.0,136.0,196.0,341.0,49.0,155.0,88.0,3339.0,48.0,106.0,144.0,365.0,80.0,124.0,206.0,-63.0,163.0,185.0,-164.0,475.0,242.0,42.0,57.0,337.0,1.0,149.0,59.0,4529.0,78.0,112.0,57.0,311.0
Zysk operacyjny (EBIT),-395.0,732.0,55.0,954.0,-181.0,350.0,98.0,-1058.0,148.0,284.0,548.0,145.0,592.0,-32.0,226.0,988.0,-151.0,-285.0,-34.0,-59.0,-108.0,52.0,137.0,513.0,29.0,374.0,412.0,232.0,-3.0,-231.0,103.0,-447.0,309.0,82.0,422.0,774.0,198.0,-17.0,32.0,392.0,211.0,70.0,860.0,122.0,390.0,-460.0,877.0,-2773.0,373.0,-880.0,1321.0,22.0,-167.0,15.0,828.0,1406.0,-598.0,-128.0,-311.0,390.0,-422.0,-232.0,1126.0,-1820.0,-421.0,-420.0,-1475.0,-7404.0,-830.0,83.0,418.0,2201.0
Przychody finansowe,16.0,10.0,5.0,187.0,112.0,77.0,36.0,98.0,52.0,60.0,190.0,122.0,80.0,159.0,237.0,132.0,142.0,242.0,145.0,130.0,184.0,162.0,195.0,153.0,210.0,98.0,114.0,15.0,4.0,13.0,8.0,-3.0,7.0,10.0,6.0,20.0,46.0,-14.0,80.0,13.0,75.0,5.0,-1.0,4.0,39.0,-37.0,1.0,15.0,5.0,28.0,-3.0,11.0,24.0,-7.0,24.0,-7.0,48.0,-23.0,27.0,7.0,26.0,-14.0,12.0,4.0,15.0,63.0,10.0,-9.0,0.0,19.0,43.0,7.0
Koszty finansowe,6.0,21.0,-10.0,0.0,36.0,3.0,24.0,42.0,15.0,28.0,273.0,169.0,192.0,69.0,440.0,63.0,122.0,4.0,45.0,48.0,42.0,27.0,129.0,78.0,110.0,75.0,57.0,23.0,59.0,55.0,38.0,56.0,29.0,71.0,77.0,15.0,53.0,31.0,41.0,141.0,91.0,66.0,26.0,42.0,36.0,364.0,93.0,-215.0,60.0,41.0,51.0,71.0,64.0,69.0,53.0,170.0,46.0,58.0,53.0,28.0,28.0,37.0,2.0,18.0,16.0,47.0,142.0,106.0,169.0,181.0,292.0,133.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-5.0,-13.0,-14.0,-19.0,-14.0,-29.0,-231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-385.0,721.0,70.0,1141.0,-105.0,424.0,110.0,-1002.0,185.0,316.0,465.0,98.0,480.0,58.0,23.0,1057.0,-131.0,-47.0,66.0,23.0,34.0,187.0,203.0,578.0,124.0,392.0,456.0,210.0,-77.0,-287.0,44.0,-737.0,287.0,21.0,351.0,779.0,191.0,-62.0,71.0,264.0,195.0,9.0,833.0,84.0,393.0,-861.0,785.0,-2543.0,318.0,-893.0,1267.0,-38.0,-207.0,-61.0,799.0,1229.0,-596.0,-209.0,-337.0,369.0,-424.0,-283.0,1136.0,-1834.0,-422.0,-404.0,-1607.0,-7519.0,-999.0,-79.0,169.0,2075.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-385.0,721.0,70.0,1141.0,-105.0,424.0,110.0,-1002.0,185.0,316.0,465.0,98.0,480.0,58.0,23.0,1057.0,-131.0,-47.0,66.0,23.0,34.0,187.0,203.0,578.0,124.0,392.0,456.0,210.0,-77.0,-287.0,44.0,-737.0,287.0,21.0,351.0,779.0,191.0,-62.0,71.0,264.0,195.0,9.0,833.0,84.0,393.0,-861.0,785.0,-2543.0,318.0,-893.0,1267.0,-38.0,-207.0,-61.0,799.0,1229.0,-596.0,-209.0,-337.0,369.0,-424.0,-283.0,1136.0,-1834.0,-422.0,-404.0,-1607.0,-7519.0,-999.0,-79.0,169.0,2075.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-389.0,657.0,56.0,931.0,-103.0,314.0,127.0,-1013.0,146.0,184.0,346.0,263.0,409.0,100.0,-4.0,666.0,-131.0,-122.0,21.0,328.0,9.0,90.0,181.0,625.0,29.0,345.0,355.0,158.0,-91.0,-295.0,16.0,-689.0,225.0,-23.0,129.0,577.0,126.0,-100.0,-23.0,167.0,108.0,-39.0,657.0,15.0,315.0,-726.0,655.0,-2774.0,222.0,-886.0,1230.0,-54.0,-272.0,-17.0,597.0,1052.0,-590.0,-250.0,-186.0,198.0,-545.0,-302.0,1410.0,-1305.0,-387.0,-529.0,-1611.0,-8699.0,-949.0,34.0,269.0,2057.0
Zysk netto akcjonariuszy jednostki dominującej,-389.0,657.0,56.0,931.0,-103.0,314.0,127.0,-1013.0,146.0,184.0,346.0,263.0,409.0,100.0,-4.0,666.0,-131.0,-122.0,21.0,328.0,8.0,90.0,181.0,626.0,29.0,345.0,353.0,158.0,-91.0,-295.0,16.0,-689.0,225.0,-23.0,129.0,577.0,126.0,-100.0,-23.0,167.0,108.0,-39.0,657.0,15.0,315.0,-726.0,655.0,-2774.0,222.0,-886.0,1230.0,-54.0,-272.0,-17.0,597.0,1052.0,-590.0,-250.0,-186.0,198.0,-545.0,-302.0,1410.0,-1305.0,-387.0,-529.0,-1611.0,-8699.0,-949.0,34.0,269.0,2057.0
Aktywa trwałe,510.0,544.0,588.0,1426.0,4134.0,9402.0,11761.0,11857.0,12551.0,13090.0,13317.0,13873.0,13718.0,13487.0,14051.0,14510.0,14316.0,14016.0,13830.0,13899.0,13766.0,13769.0,13554.0,14436.0,14249.0,14138.0,13955.0,13589.0,13378.0,13430.0,13122.0,12542.0,12666.0,12368.0,12028.0,11991.0,12017.0,11975.0,12748.0,13155.0,12850.0,12701.0,12629.0,12299.0,12108.0,11763.0,11959.0,9111.0,9327.0,10429.0,10335.0,10898.0,11955.0,11840.0,11704.0,11280.0,10998.0,11447.0,10954.0,10517.0,10176.0,9419.0,9721.0,10233.0,10297.0,9701.0,9819.0,7766.0,7782.0,7845.0,7842.0,24493.0
Wartości niematerialne i prawne,32.0,0.0,0.0,23.0,2376.0,4657.0,6192.0,6180.0,4897.0,4752.0,4782.0,5874.0,5872.0,5864.0,6148.0,6916.0,6854.0,6797.0,6735.0,7191.0,7110.0,7135.0,7056.0,6848.0,6783.0,6688.0,7026.0,6789.0,6689.0,6571.0,6453.0,6233.0,6122.0,6021.0,5914.0,5838.0,5801.0,5764.0,5995.0,5954.0,5914.0,5897.0,5859.0,5837.0,5796.0,5488.0,5617.0,2901.0,2951.0,2932.0,2899.0,2866.0,2832.0,2803.0,2770.0,2527.0,2506.0,2487.0,2536.0,2520.0,2513.0,2499.0,2486.0,2473.0,2461.0,2484.0,2471.0,2470.0,2466.0,2464.0,2555.0,18746.0
Rzeczowe składniki majątku trwałego,476.0,544.0,588.0,1403.0,1709.0,4641.0,5505.0,5617.0,5849.0,6403.0,6640.0,7229.0,7041.0,6848.0,6965.0,6676.0,6596.0,6414.0,6344.0,6005.0,6064.0,6052.0,5912.0,6285.0,6166.0,6135.0,5644.0,5621.0,5506.0,5649.0,5460.0,5356.0,5630.0,5482.0,5392.0,5386.0,5531.0,5479.0,5863.0,6044.0,5853.0,5721.0,5709.0,5543.0,5439.0,5290.0,5354.0,5176.0,5427.0,6036.0,5981.0,5824.0,6899.0,6623.0,6432.0,6382.0,6030.0,5807.0,5519.0,5005.0,4751.0,4598.0,4576.0,4399.0,4486.0,4371.0,4379.0,4298.0,4337.0,4197.0,4086.0,4689.0
