,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,323.0,1852.0,4183.0,-5373.0,332.0,7.0,328.0,217.0,472.0,-372.0,0.0,-94.0,364.0,212.0,21.0,233.0,177.0,2550.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,0.0,55283.0,38640.0,43913.0,38482.0,42947.0,39545.0,36030.0,29578.0,46525.0
Techniczny koszt wytworzenia produkcji sprzedanej,1157.0,2031.0,4266.0,-5469.0,345.0,405.0,438.0,652.0,562.0,685.0,863.0,-2104.0,914.0,978.0,975.0,1354.0,1103.0,1700.0,1139.0,-878.0,0.0,0.0,0.0,44219.0,10847.0,10551.0,9361.0,12498.0,8889.0,17841.0,8309.0,9892.0,9238.0,11856.0,9124.0,10492.0,11715.0,8335.0,6143.0,9533.0,5951.0,4837.0,9478.0,721.0,21819.0,33255.0,29914.0,13007.0,9087.0,8596.0,6420.0,12991.0
Koszty sprzedaży,0.0,0.0,0.0,225.0,30.0,-26.0,0.0,161.0,0.0,0.0,1.0,185.0,0.0,5.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,816.0,417.0,270.0,244.0,199.0,293.0,293.0,176.0,3289.0,204.0,318.0,283.0,281.0,506.0,1474.0,991.0,2001.0,2510.0,2853.0,2671.0,5904.0,4075.0,4620.0,4358.0,8269.0,5719.0,5641.0,4424.0,5221.0,5717.0,6176.0,5673.0,6641.0,5456.0,4426.0,4311.0,6306.0,7809.0,1759.0,6893.0,27123.0,9726.0,8036.0,14259.0,11757.0,12514.0,10151.0,12266.0,11490.0
Zysk ze sprzedaży,-834.0,-179.0,-83.0,-945.0,-460.0,-642.0,-354.0,-795.0,-383.0,-1350.0,-1040.0,-1464.0,-754.0,-1089.0,-1237.0,-1706.0,-1432.0,-624.0,-2130.0,-1117.0,-2510.0,-2853.0,-2671.0,-50123.0,-14922.0,-15171.0,-13719.0,-20767.0,-14608.0,-23482.0,-12733.0,-15113.0,-14955.0,-18032.0,-14797.0,-17133.0,-17171.0,-12761.0,-10454.0,-15839.0,-13760.0,-5006.0,-16371.0,27439.0,7095.0,2622.0,-5691.0,18183.0,17944.0,17283.0,10892.0,22044.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,178.0,40.0,119.0,60.0,66.0,60.0,60.0,60.0,63.0,60.0,63.0,63.0,58.0,0.0,93.0,31.0,1196.0,589.0,504.0,503.0,1030.0,503.0,564.0,536.0,600.0,541.0,660.0,929.0,-68.0,586.0,507.0,594.0,468.0,1116.0,-95.0,277.0,462.0,330.0,374.0,329.0,339.0,984.0,811.0,151.0,5642.0,164.0,147.0,187.0,-12231.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,5.0,0.0,1.0,0.0,396.0,0.0,0.0,0.0,12.0,0.0,3.0,3.0,21.0,0.0,2.0,4.0,91.0,86.0,1.0,3.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,140.0,218.0,201.0,-49.0,623.0,-503.0,9.0,59.0,648.0,-200.0,288.0,2770.0,977.0,339.0,893.0,-627.0,73.0,-47.0,225.0,1118.0
Zysk operacyjny (EBIT),-834.0,-179.0,44.0,-899.0,-420.0,-524.0,-294.0,-1125.0,-323.0,-1290.0,-980.0,-1413.0,-694.0,-1029.0,-1177.0,-1669.0,-1432.0,-533.0,-2103.0,-12.0,-2007.0,-2350.0,-2171.0,-49003.0,-14419.0,-14607.0,-13183.0,-20167.0,-14067.0,-22822.0,-11804.0,-15932.0,-14509.0,-17743.0,-14404.0,-16616.0,-16678.0,-12353.0,-10186.0,-15436.0,-14078.0,-4432.0,-16330.0,25008.0,7102.0,3094.0,-6433.0,24452.0,18035.0,17477.0,10854.0,8695.0
Przychody finansowe,0.0,0.0,0.0,677.0,164.0,38.0,0.0,0.0,0.0,58.0,136.0,25.0,3.0,10.0,36.0,135.0,61.0,-55.0,-1.0,24.0,8.0,16.0,426.0,-406.0,1746.0,2469.0,423.0,1794.0,775.0,-363.0,246.0,257.0,211.0,584.0,-18.0,-130.0,483.0,-32.0,251.0,-152.0,123.0,-74.0,536.0,363.0,960.0,2560.0,1613.0,-4846.0,219.0,212.0,198.0,225.0
