,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,31.98,38.32,36.49,28.65,26.1,29.26,25.91,27.65,28.82,22.32,28.65,29.49,28.92,25.29,13.6,0.96,19.93,17.61,28.18,48.04,30.26,35.63,34.45,20.39,22.82,25.44,30.81,32.76,27.3,25.1
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,33.94,37.5,34.1,28.25,23.06,29.6,27.4,28.03,29.75,19.19,28.54,32.02,30.35,24.18,14.17,-6.76,16.63,14.63,25.73,50.03,29.68,33.33,30.83,18.74,21.42,25.92,36.74,39.26,28.84,31.89
Koszty sprzedaży,,,,,31.13,54.84,41.01,50.83,36.13,21.13,20.27,20.46,19.99,20.12,32.48,34.96,34.37,30.65,18.75,-0.54,6.97,7.71,6.99,37.32,31.0,40.41,51.06,37.25,30.98,23.09,31.31,22.05,22.9,27.83
Koszty ogólnego zarządu,,,,,-9.43,-92.71,71.59,-34.91,19.18,1919.37,45.49,27.37,27.34,18.36,30.74,49.01,39.95,32.36,13.89,24.7,24.26,6.21,-8.06,7.02,-10.06,29.39,40.56,72.52,93.88,45.97,31.96,-20.33,-9.25,-9.94
Zysk ze sprzedaży,,,,,26.52,51.45,44.29,12.12,35.45,11.44,21.65,42.08,44.15,91.41,19.39,-10.15,0.11,20.24,-7.71,107.23,101.32,87.6,152.76,59.61,39.87,44.58,33.25,1.17,12.02,23.23,-11.03,17.86,30.75,-19.17
Pozostałe przychody operacyjne,,,,,424.06,-208.9,59.1,18.59,-154.19,59.81,15.59,-28.37,-121.35,31.4,-66.0,-7.65,55.14,-617.41,-164.14,57.36,203.41,64.15,-40.79,181.75,150.43,-561.7,441.82,-157.28,136.82,-83.25,174.64,452.82,-200.32,169.55
Pozostałe koszty operacyjne,,,,,463.64,-34.1,402.5,-81.51,-43.33,49.42,-86.57,28.92,8.82,-72.37,133.33,28.04,221.62,339.44,73.02,-19.71,-72.27,40.06,-27.52,850.91,56.06,618.99,216.46,-66.83,195.15,-88.35,-22.0,14.7,55.92,-116.67
Zysk operacyjny (EBIT),,,,,40.73,48.68,44.0,19.23,20.68,17.15,22.58,43.31,41.47,99.8,12.96,-11.69,2.53,12.56,-11.41,123.33,110.85,98.76,155.58,61.84,41.21,32.13,37.14,0.79,14.46,25.87,-6.91,20.26,20.19,-5.03
Przychody finansowe,,,,,622.22,2470.41,-59.94,-82.0,5.23,-97.42,210.87,-17.61,-105.26,-944.62,-96.5,-57.69,-227.78,133.88,1200.0,-425.25,111.86,-58.06,-87.18,381.99,-12200.0,178.21,22.0,-91.3,104.84,-64.98,93.44,3384.81,-5902.44,4709.21
Koszty finansowe,,,,,1.14,-22.25,31.48,221.45,81.97,152.33,9.87,-56.64,-50.12,-67.82,-37.19,94.55,82.21,149.01,69.34,-15.46,-38.7,86.84,-48.93,-32.68,19.7,-43.37,122.84,289.95,375.62,138.03,109.16,28.62,-21.45,3.66
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
