,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-37.07,-46.97,-39.68,56.59,66.92,81.11,163.88,17.41,11.46,42.08,46.11,61.25,1.23,-1.22,-7.66,-26.58,38.02,6.55,2.24,3.86,3.01,8.46,12.05,44.63,23.51,25.16,7.59,8.61,-10.95,-14.11,2.6,19.92,19.7,45.7,25.59,29.55,40.18,8.48,3.68,-22.65,-11.3,-10.77,14.62,7.04,5.25,-2.14,-6.6,9.74,-11.37,-0.12,-11.04,23.4,36.3,55.47,46.6,5.92,24.96,18.6,3.79,-10.04
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-38.32,-48.4,-38.44,65.94,71.05,90.64,170.58,19.97,14.58,44.44,49.87,61.74,-1.07,-1.04,-8.16,-23.49,43.17,4.63,1.92,1.64,1.74,8.91,14.0,44.16,24.92,28.01,8.37,7.94,-12.26,-16.12,-0.27,21.05,19.42,48.12,31.26,25.45,35.82,8.97,1.54,-18.43,-6.79,-14.33,10.86,2.11,2.81,-2.12,-7.89,11.09,-10.68,2.03,-7.86,20.17,33.76,50.66,45.75,14.6,28.54,25.12,13.18,6.19
Koszty sprzedaży,,,,,,,,-15.91,82.42,-7.69,51.76,15.61,-2.71,-8.78,-11.95,-16.02,55.73,24.32,-156.65,320.3,87.08,42.7,226.28,-80.62,-33.0,-2.37,232.78,125.75,-21.02,32.86,-75.15,219.7,76.41,-48.5,232.96,4.73,45.99,163.02,-247.42,71.0,-2.34,9.78,204.08,-77.97,-39.04,-16.2,-19.88,60.89,47.02,-4.99,20.84,197.7,32.78,45.81,23.55,-35.05,25.93,98.82,71.39,8.61,-31.51,-64.65,-46.91,42.14
Koszty ogólnego zarządu,,,,,-9.23,-19.6,-6.71,-7.27,24.72,25.72,57.68,-3.98,13.36,30.6,-14.9,22.98,26.05,5.25,27.13,19.76,0.07,-8.97,-1.81,8.81,11.79,0.32,-0.3,24.87,-2.22,9.18,12.93,20.28,22.94,10.81,11.9,12.83,24.53,32.12,9.42,-12.36,-3.18,16.12,14.53,28.14,18.52,6.77,19.99,19.16,15.51,-1.67,-5.81,10.42,-9.41,4.25,8.59,22.79,20.05,16.97,12.46,-37.58,-4.99,-3.76,-0.06,95.95
Zysk ze sprzedaży,,,,,-37.59,-48.27,-71.59,17.73,36.3,-4.52,180.28,-4.46,-45.7,-8.5,18.02,76.72,45.21,-23.65,-1.19,-97.02,-61.84,146.47,2.59,1188.83,136.73,4.31,-41.33,72.1,14.84,-43.08,-9.75,-6.14,-10.8,89.07,137.43,1.2,14.02,-21.62,-69.23,193.37,353.29,-27.43,79.26,-86.01,-85.29,231.0,242.99,355.54,174.09,-2.46,15.58,-37.78,-47.82,-52.56,-71.4,163.17,229.84,307.29,136.34,-96.04,-20.01,-60.82,-266.19,-8280.48
Pozostałe przychody operacyjne,,,,,5.97,-2.76,2152.29,907.8,232.39,121.86,-90.42,11.44,80.08,134.31,82.42,-37.48,80.71,-48.68,61.79,189.8,269.01,-19.12,-48.97,6.38,-63.16,237.52,85.92,-70.48,147.13,6.61,98.05,-2.5,112.17,-1.51,27.38,7.06,-83.14,1.01,27.54,82.3,78.01,-166.98,4.78,-134.94,-58.86,-158.37,-314.8,443.24,-165.38,50.15,109.25,112.45,288.69,533.72,1510.82,-81.68,290.41,-68.92,-82.89,-18.94,-57.31,58.36,59.2,168.93
Pozostałe koszty operacyjne,,,,,-27.93,-57.67,2477.78,-54.29,-24.38,-6.52,-56.55,53.91,77.69,120.0,-89.29,69.73,101.4,9.23,2251.85,-42.38,-14.55,85.12,58.9,48.17,640.81,44.28,-15.11,4.5,-79.57,-40.79,-50.85,63.44,275.18,209.65,-39.55,9.48,-44.98,-80.66,122.0,244.29,11.25,107.19,120.27,-92.23,-50.16,337.98,-59.82,393.0,136.66,-61.12,65.9,-32.01,-54.52,-14.53,-10.01,30.84,222.32,64.94,61.22,-51.94,-31.79,-47.64,-10.22,225.92
Zysk operacyjny (EBIT),,,,,-37.48,-46.21,-49.27,150.17,41.58,1.78,51.89,-12.54,-43.38,-1.55,27.69,44.68,46.04,-34.67,-9.62,-82.43,-17.28,128.24,-10.96,207.48,-36.89,12.98,-40.03,10.53,159.85,-33.19,25.68,-48.97,11.29,32.23,128.74,-13.19,-37.51,14.37,-59.94,12.48,381.86,-69.93,30.8,-75.13,-85.36,202.65,106.88,1118.55,115.19,68.38,68.07,1.8,-32.29,-0.38,-36.49,95.88,240.79,145.35,6.42,-110.77,-25.51,-54.18,-269.78,-4557.92
Przychody finansowe,,,,,112.93,-55.04,-64.42,-90.14,-91.84,585.76,58.99,56.78,893.62,-76.98,-271.43,366.92,10.49,17.85,197.8,-53.97,-8.91,118.08,37.4,-6.24,126.03,-14.64,233.25,51.63,-18.01,94.4,74.02,-18.54,2.53,226.87,-98.17,135.63,29.26,-133.21,5632.52,-110.24,-52.7,207.13,-114.45,493.55,-1.83,-58.01,223.45,-44.77,42.97,21.38,4.45,115.41,109.31,-250.27,34.17,36.14,19.78,376.55,189.68,-260.45,-47.94,-12.37,22.38,245.2
