,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,422.22,-78.65,-36.54,-57.6,-68.09,-65.85,-42.42,24.53,-86.67,164.29,47.37,-116.67,1000.0,-72.97,64.29,100.0,1600.0,21100.0,5176.09,,1603.21,325.05,189.49,114.25,43.11,29.59,111.77,235.76,138.48,192.63,251.92,268.46,477.26,270.35,303.7,101.8,22.41,37.84,-18.96,5.84,46.59,-45.86,-19.0,-34.15,-45.14,29.87,-14.43,-30.06
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-12.16,-16.42,-1.03,-27.32,-89.81,-91.88,-91.94,-90.52,-56.6,-36.05,168.24,-133.33,65.22,-65.45,-39.04,424.14,477.63,10063.16,1584.89,3652.13,1070.62,246.25,177.54,171.36,68.24,48.38,119.37,164.7,126.35,212.24,237.29,252.68,442.68,254.63,273.46,96.49,31.27,53.49,-9.01,28.85,65.55,-24.93,-7.61,-36.07,-41.65,10.48,-19.92,-31.29
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,15.49,5.3,-0.79,23.99,90.84,92.93,93.54,97.57,51.65,75.0,-203.03,185.71,-22.73,50.0,53.5,-622.22,-20.37,2200.0,191.4,200.0,1993.85,1130.16,518.82,-2028.72,-61.82,-24.47,17.87,139.38,361.7,81.83,588.39,828.43,789.17,422.77,644.47,173.34,-26.35,-65.15,-75.24,-217.07,-139.42,-652.57,-255.59,54.58,-98.75,46.47,82.19,48.48
Pozostałe przychody operacyjne,,,,,,,,,,,,-85.71,,300.0,-250.0,100.0,-98.3,-183.33,122.22,-100.0,-95.24,95.0,100.0,,0.0,100.0,-100.0,24850.0,25100.0,,,-10.02,211.9,-39.62,23.89,855.9,-50.13,1448.12,337.38,86.21,971.68,45.98,-37.45,-186.45,-93.17,-30.34,127.59,90.48,8372.47,-367.84,-109.22,577.05
Pozostałe koszty operacyjne,,,,,,,,-53.85,,,,47355.56,,,1200.0,-100.0,200.0,-30.77,169.23,,-100.0,-66.67,-62.86,-50.0,,333.33,-100.0,5466.67,1700.0,384.62,,111.98,44.44,39.68,146.15,309.04,1380.77,2109.09,4159.38,-178.59,189.09,-20.42,-83.54,668.98,138.72,352.23,-468.2,108.68,-49.57,30.63,197.38,-91.04
Zysk operacyjny (EBIT),,,,,10.01,13.86,0.3,22.66,91.64,92.87,93.97,-868.55,1407.69,89.39,-263.93,100.23,-103.53,-442.86,43.24,-600.0,-52.38,586.84,160.32,193.0,2023.44,1149.73,592.11,-1692.47,-42.81,-15.31,74.9,154.63,316.19,66.75,399.13,1070.95,558.77,427.57,542.9,187.66,-10.38,-54.22,-71.74,-226.96,-146.08,-564.37,-185.66,31.2,248.54,9.63,32.35,87.25
Przychody finansowe,,,,,,,,0.0,,,,0.0,,,,10700.0,-25.5,-132.1,883.33,798.15,-100.0,105.76,-100.0,-96.91,,737.5,,-876.67,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,-186.24,38.7,12.98,-271.04,354.51
