,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,70.65,103.76,69.85,23.86,17.4,15.57,51.59,90.51,31.46,29.28,20.64,-5.43,29.98,3.95,6.9,-6.74,7.23,17.08,-6.33,-31.26,-38.18,-28.52,-17.53,55.89,29.95,17.07,-5.31,38.94,108.35,26.0,43.17,-32.04,-38.95,-14.75,-21.1,11.45,30.64,29.37,38.13,-4.64,-7.37,-33.72,15.98,18.52,-16.32,-2.69,29.69,51.72,43.81,50.68,-13.84,-9.65,37.75,18.77,-18.93,24.69
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-9.41,46.09,72.36,62.29,41.79,46.49,54.48,78.67,74.65,38.59,62.73,14.94,43.91,26.05,0.94,13.76,-26.27,-68.46,54.43,-49.32,-74.72,-21.33,-35.97,42.01,292.91,166.55,-14.95,-15.61,125.48,46.18,63.91,32.48,-26.99,1.51,-11.67,10.41,33.43,32.9,41.76,-2.88,-26.02,-29.62,-26.46,52.91,-10.81,-16.44,93.74,20.23,53.59,42.6,-29.7,-27.57,8.49,8.21,4.42,28.74
Koszty sprzedaży,,,,,-34.34,114.34,41.78,39.46,5.21,-4.3,160.87,176.87,93.54,172.95,7.17,-26.11,-2.41,5.53,16.34,122.27,108.82,-64.93,10.03,-7.91,-53.7,154.64,47.88,-50.75,74.86,44.74,-64.17,75.51,-5.6,35.33,101.34,-21.75,-16.3,1.82,36.2,-10.72,195.61,-6.06,59.18,181.24,-11.11,-68.06,-47.44,-66.74,-34.75,235.46,12.61,113.71,-8.62,-10.32,-12.12,-34.61,-25.08,27.4,9.95,21.1
Koszty ogólnego zarządu,,,,,69.87,-43.0,33.87,14.94,6.74,-10.02,38.74,58.92,48.5,184.66,39.03,77.26,-23.38,36.39,26.79,14.48,79.0,6.31,-1.21,-45.91,0.26,-31.44,-79.6,130.1,11.17,-24.68,471.8,-20.36,87.56,72.44,6.96,51.0,-5.98,9.6,45.14,48.29,-42.81,-14.15,-27.3,-67.33,23.77,63.54,-6.48,83.35,-25.1,-54.97,6.23,70.88,88.35,109.11,105.67,129.92,238.76,8.96,-22.88,0.89
Zysk ze sprzedaży,,,,,3772.13,1911.09,74.26,-45.78,-3.43,-31.39,43.46,138.96,-35.47,-38.74,-24.11,-95.44,0.86,-192.17,15.3,-2893.11,145.87,968.74,-130.22,100.46,17.64,-35.06,207.31,12626.52,-61.68,-52.18,39.96,339.68,98.5,-38.65,-26.29,-105.19,-102.62,-140.05,-178.29,-59.38,-341.39,25.49,-2.42,-40.08,598.05,-175.46,640.8,-291.12,-27.8,102.19,-74.9,77.93,-3.49,3177.08,112.5,163.64,194.74,151.99,-127.29,127.27
Pozostałe przychody operacyjne,,,,,-92.13,-76.96,654.57,-82.33,1020.57,448.71,-51.53,-339.94,-77.56,87.92,39.26,-42.35,406.56,41.25,-165.82,74.9,-88.62,-99.49,105.25,265.08,-26.36,257.0,1591.2,-68.33,5323.11,4038.83,-71.11,-1273.43,-57.78,-22.69,-157.89,114.05,-32.65,31.22,971.05,-277.08,0.38,-4.75,-331.57,248.1,-87.35,-12.92,-54.76,194.37,-110.59,173.59,140.73,-24.1,4289.36,-66.2,175.09,-76.19,-106.92,0.15,-56.64,13.34
Pozostałe koszty operacyjne,,,,,-49.19,84.32,-27.92,-62.69,35.62,-111.61,74.11,82.43,-64.71,337.84,-67.49,37.85,-16.44,73.53,70.37,220.45,67.05,-36.27,36.29,-37.9,-66.46,-19.77,41.7,-20.11,95.93,9.33,-2.78,-34.92,112.08,105.21,-3.69,110.11,4.25,-44.76,116.3,27.65,35.78,-7.51,-40.65,-78.33,30.38,1.07,18.07,169.84,-24.58,-25.4,-11.99,5.75,12.28,306.89,11.78,-116.53,-6.9,-50.18,30.14,850.98
Zysk operacyjny (EBIT),,,,,842.25,14.59,368.4,-75.57,16.08,53.06,0.21,-238.44,-41.15,33.73,-8.2,-844.16,36.97,1.14,-44.94,-26.83,75.28,29.4,-149.41,119.56,20.53,-34.1,243.07,87.85,4.06,51.35,-7.94,3.43,-4.25,-30.93,-50.25,-113.12,-88.0,-11.69,-129.45,-1073.45,-72.61,-1.96,-1672.34,135.07,1020.69,-31.9,107.89,111.34,-34.2,295.17,745.97,59.16,38.07,-63.62,165.63,-49.98,145.14,36.87,-87.47,4.62
Przychody finansowe,,,,,298.91,-100.84,73.56,-500.65,-60.7,3992.39,191.22,357.93,162.35,44.55,-42.87,454.04,6.91,-124.45,142.65,-66.29,-34.78,3.25,-91.9,-72.97,-26.66,203.45,28.38,4.74,-41.38,-30.22,-14.83,-74.05,-66.82,-55.25,58.23,1665.59,114.73,510.67,2.6,-50.81,27.88,-61.79,345.15,-71.79,-36.66,-59.85,-92.13,-65.17,-10.59,-8.19,86.32,28.14,48.3,251.75,526.24,1122.35,134.32,16.97,45.37,-56.84
Koszty finansowe,,,,,-21.75,-25.57,10.71,13.94,108.95,87.48,6.31,121.53,21.91,62.94,66.73,-30.27,28.56,-13.34,-11.79,69.55,1043.81,122.77,160.54,521.09,-12.98,-164.26,-35.67,-49.58,-71.34,114.26,17.92,-60.63,-82.38,-1.89,-61.57,-4.54,-12.14,174.01,-17.22,-45.92,74.77,37.78,25.71,49.95,-42.72,-48.98,-47.76,-54.81,98.51,-193.08,473.1,50.2,-88.51,165.62,-76.54,-33.48,892.23,-504.61,434.26,27.34
Pozostałe przychody (koszty),,,,,28.21,411.98,675.6,61.16,184.17,227.83,164.57,505.68,-77.96,-64.12,-64.18,-97.26,-107.49,-50.34,1693.91,-3049.34,399.56,-87.04,-99.1,107.01,-223.1,70.0,73.7,-321.45,256.58,2.86,330.27,75.02,-82.51,-85.23,-96.62,-976.53,5134.78,2510.87,-53798.77,16.92,-163.49,225.73,146.85,-54.35,-1758.08,-135.7,-234.79,69.48,106.67,-842.87,157.68,17.55,-543.86,29.8,-295.13,-768.74,86.14,-94.7,181.76,78.14
Zysk z działalności gospodarczej,,,,,5747.32,16.24,1241.93,-102.55,10.14,65.44,7.09,-2864.32,-55.52,17.07,-19.8,-480.23,28.97,-2.22,-3.27,-50.59,-496.46,13.02,-183.12,17.99,34.24,6.1,118.94,74.69,163.95,20.7,-44.89,151.57,71.46,-31.81,-14.93,-312.32,-88.09,-14.37,-1172.69,-154.25,-232.02,-1.87,-23.99,97.06,-226.09,-37.28,61.84,1687.71,128.84,326.09,238.45,64.16,-27.26,-68.95,185.48,-65.04,531.74,52.78,-96.51,25.57
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,5747.32,16.24,1241.93,-102.55,10.14,65.44,7.09,-2864.32,-55.52,17.07,-19.8,-480.23,28.97,-2.22,-3.27,-50.59,-496.46,13.02,-183.12,17.99,34.24,6.1,118.94,74.69,163.95,20.7,-44.89,151.57,71.46,-31.81,-14.93,-312.32,-88.09,-14.37,-1172.69,-154.25,-232.02,-1.87,-23.99,97.06,-226.09,-37.28,61.84,1687.71,128.84,326.09,238.45,64.16,-27.26,-68.95,185.48,-65.04,531.74,52.78,-96.51,25.57
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,1733.98,9.07,1432.44,-88.58,5.24,67.62,6.55,-769.27,-55.74,29.5,-21.09,-504.35,33.56,-6.2,-0.98,-48.05,-490.72,13.37,-182.16,15.58,36.73,7.94,117.41,76.21,167.91,15.29,-19.22,137.7,61.7,-29.2,-54.73,-387.31,-87.98,-17.24,-1562.27,-199.65,-222.32,0.85,-17.09,92.73,-217.91,-37.39,51.8,651.77,127.91,320.2,207.48,51.75,-28.05,-69.72,184.33,-84.46,519.56,46.14,-96.56,77.87
