,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,178.48,372.23,421.5,315.05,214.61,108.94,90.91,88.45,109.73,240.08,164.98,71.51,83.25,-2.79,-17.47,9.53,-13.66,-24.71,-10.16,-10.83,-21.87,-15.47,-20.57,-17.57
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,17.38,39.06,35.55,15.55,16.94,48.23,46.94,98.01,147.84,105.88,133.34,117.85,122.18,104.28,123.04,102.25,50.04,53.87,12.79,16.54,21.9,7.26,3.54,-14.1
Koszty sprzedaży,,,,,333.82,812.15,879.46,555.57,426.03,143.91,109.4,73.4,63.51,323.34,132.09,102.94,97.62,-23.23,-13.26,-2.77,-16.74,-29.45,-5.15,8.79,-13.61,-11.5,-28.02,-31.47
Koszty ogólnego zarządu,,,,,107.82,142.45,58.89,30.53,68.12,28.55,84.63,89.94,138.21,527.63,463.38,482.62,245.42,54.91,68.57,38.81,104.93,-16.81,-15.5,-23.34,-30.4,-35.49,-56.89,-47.48
Zysk ze sprzedaży,,,,,203.68,357.27,378.89,307.21,95.8,84.44,69.97,105.95,212.33,82.93,205.19,8.05,45.78,44.32,-51.77,3.82,-45.37,-37.98,-31.02,-52.74,-59.54,-31.32,12.09,59.49
Pozostałe przychody operacyjne,,,,,,-100.0,,,122.22,,,-100.0,-87.5,-83.33,1700.0,,7540.0,0.0,-85.19,-65.96,-78.27,56600.0,3250.0,810.42,62.65,-71.43,4.48,73.68
Pozostałe koszty operacyjne,,,,,,,0.0,9871.43,-35.29,,700.0,41.83,6827.27,2533.33,575.0,-96.97,-58.53,4811.39,1516.67,-2410.0,281.01,145.52,-14.2,2259.45,2133.8,-9.11,-95.19,216.75
Zysk operacyjny (EBIT),,,,,203.73,356.79,379.03,291.73,96.23,84.48,69.95,108.43,205.43,82.41,205.26,11.48,48.9,31.52,-53.07,5.45,-47.44,-54.92,-30.65,-89.56,-149.04,-44.75,15.71,-496.59
Przychody finansowe,,,,,200.0,17800.0,,6900.0,6233.33,-134.64,369.15,-345.71,345.26,-197.85,-205.18,5.81,52.42,-188.63,131.28,-129.01,39.01,293.25,935.39,84.37,-70.99,-15.53,-76.78,11458.62
Koszty finansowe,,,,,-65.85,-108.03,-11.76,-100.0,-97.62,100.0,105.26,,5400.0,,5700.0,343.45,20.0,16.67,36.21,447.11,2186.36,2384.13,2313.92,142.15,13.39,-16.36,-18.2,-100.47
Pozostałe przychody (koszty),,,,,,,,,,,,100.0,,,,,,,,,,,,,-90.45,-30.84,2.11,-277.61
Zysk z działalności gospodarczej,,,,,220.8,466.16,369.24,321.76,103.45,71.39,76.67,101.92,209.21,80.73,195.06,10.09,49.09,28.53,-52.48,-5.04,-46.99,-50.61,-33.34,-118.98,-151.72,-45.05,11.24,97.23
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,220.8,466.16,369.24,321.76,103.45,71.39,76.67,101.92,209.21,80.73,195.06,10.09,49.09,28.53,-52.48,-5.04,-46.99,-50.61,-33.34,-118.98,-151.72,-45.05,11.24,97.23
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,218.41,435.8,364.53,323.89,107.16,73.41,77.43,153.96,241.26,96.28,223.83,-8.5,49.07,30.34,-57.81,-4.62,-51.44,-55.23,-23.12,-123.9,-150.21,-49.4,16.19,77.12
Zysk netto akcjonariuszy jednostki dominującej,,,,,218.28,435.73,364.67,323.86,107.24,73.43,77.37,153.98,241.26,96.28,223.83,-8.5,49.07,30.34,-57.81,-4.62,-51.44,-55.23,-23.12,-123.9,-150.21,-49.4,16.19,77.12
Aktywa trwałe,,,,,37.69,65.23,68.26,24.99,52.74,60.56,74.69,82.75,200.43,161.76,178.11,226.2,70.23,106.77,1922.72,1756.2,1578.79,1259.47,17.02,5.11,-7.14,-14.2,-16.07,-31.31
Wartości niematerialne i prawne,,,,,16.25,49.93,55.05,32.79,59.07,60.36,75.76,55.37,21.97,13.57,1.85,38.38,107.81,108.47,6250.31,5588.98,3551.09,3195.32,6.39,-0.25,-12.51,-17.91,-19.38,-34.21
Rzeczowe składniki majątku trwałego,,,,,266.67,462.5,393.48,247.89,195.04,147.78,122.91,130.36,1731.65,1323.99,1625.89,1403.69,25.58,26.28,15.01,77.77,88.15,175.56,122.17,40.76,24.72,-23.62,-33.2,-40.9
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,55.91,59.06,22.56,-100.0,-1.52,-3.47,-2.99,,245.13,252.31,340.0,45.18,27.49,695.63,558.39,1016.08,2652.91,329.64,318.13,127.3,37.5,35.03,38.4,6.21
Pozostałe aktywa trwałe,,,,,8266.67,344.74,2660.0,-4.3,-20.32,46.75,89.86,41.57,83.5,118.15,95.8,425.13,571.66,291.31,482.07,231.69,125.15,93.58,63.36,-37.07,-19.05,4.27,-4.51,7.77
Aktywa obrotowe,,,,,164.4,229.56,341.1,317.06,298.23,112.23,98.31,95.32,105.91,231.69,219.77,204.21,153.56,151.13,-24.32,-28.01,-39.0,-60.44,7.29,-6.7,0.62,14.56,16.87,17.31
Zapasy,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,135.99,191.76,188.42,103.52,145.56,92.67,109.18,116.17,105.42,223.42,153.55,189.14,78.83,12.49,-7.3,15.98,8.8,0.8,11.46,-4.31,14.43,13.05,13.98,1.01
Inwestycje krótkoterminowe,,,,,186.9,260.04,535.78,504.76,418.49,125.79,90.09,89.46,106.53,240.16,264.62,215.36,184.49,240.16,-30.2,-41.0,-49.96,-72.61,4.83,-8.09,-6.26,15.66,18.68,27.15
Środki pieniężne i inne aktywa pieniężne,,,,,186.9,260.04,485.76,504.76,418.49,125.79,89.73,89.25,106.41,211.45,263.21,214.51,171.02,271.52,-30.07,-41.02,-47.56,-72.66,5.24,-9.29,-6.05,15.89,18.15,28.62
Pozostałe aktywa obrotowe,,,,,500.0,422.37,376.92,143.33,221.59,141.56,184.07,94.4,79.27,134.31,144.78,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,137.82,197.31,292.47,273.75,268.41,106.59,96.51,94.7,110.67,225.76,216.94,205.23,147.58,148.11,91.74,60.74,40.88,14.49,13.41,0.08,-3.94,-4.83,-4.5,-12.02
Kapitał własny akcjonariuszy jednostki dominującej,,,,,48.53,222.93,261.7,260.03,403.38,114.08,101.44,118.95,144.38,246.2,249.38,158.34,135.54,105.45,61.19,47.47,23.28,16.17,10.32,-2.45,-10.16,-12.8,-12.37,-15.02
Kapitał (fundusz) podstawowy,,,,,2410.34,2410.34,2410.34,0.0,-0.69,-0.69,-0.55,-0.55,0.14,0.14,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,,,,-8.99,-8.99,-8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21
Udziały niekontrolujące,,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,23.9,87.78,56.25,25.52,26.9,15.98,76.71,49.58,1164.6,897.79,984.02,1284.92,16.5,11.32,568.22,773.91,761.47,791.82,11.37,4.97,-24.38,-19.89,-19.34,-56.81
Z tytułu dostaw i usług,,,,,213.75,443.46,551.87,183.82,560.62,166.42,81.84,69.33,1.15,223.58,144.35,973.13,118.38,-11.85,-7.54,-86.23,-14.7,8.33,4.37,91.89,13.57,-42.18,-33.19,-20.65
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,135.71,180.33,78.99,208.89,241.05,124.15,408.16,3.31,-24.58,-6.52,-61.92,-4.44
Inne zobowiązania długoterminowe,,,,,23.9,87.78,56.25,25.52,26.9,15.98,76.71,49.58,62.4,4.59,12.52,-17.5,-4.19,7.64,5504.73,12541.53,7155.27,7603.63,14.18,12.15,-23.03,-15.09,-14.48,-55.28
Zobowiązania krótkoterminowe,,,,,732.35,154.6,463.6,362.82,127.09,93.54,83.5,11.14,1.72,135.56,85.13,485.17,258.24,358.43,156.57,33.3,41.06,-24.6,26.02,5.55,29.4,27.16,28.95,25.09
Inne zobowiązania krótkoterminowe,,,,,1123.74,88.32,403.22,468.42,43.2,45.28,84.98,-6.01,-3.3,18.38,23.86,212.54,395.84,1603.01,444.6,243.43,58.55,-32.38,22.52,-0.67,36.05,47.84,54.07,32.75
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,137.82,197.31,292.47,273.75,268.41,106.59,96.51,94.7,110.67,225.76,216.94,205.23,147.58,148.11,91.74,60.74,40.88,14.49,13.41,0.08,-3.94,-4.83,-4.5,-12.02
Przepływy pieniężne z działalności operacyjnej,,,,,169.65,477.46,584.5,448.67,243.0,-25.37,23.61,91.09,148.1,123.2,351.77,150.3,67.44,315.9,-29.71,-44.88,6.98,-47.14,-31.53,-51.89,-44.0,-6.35,2.44,36.74
Amortyzacja,,,,,18.54,-18.57,41.5,40.0,3.91,136.84,53.85,90.82,273.12,172.96,144.06,133.69,35.59,32.84,323.18,216.02,196.39,305.31,13.19,116.4,89.64,29.61,32.83,-19.54
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1976.47,,-109.5,-114.72,-183.85,-78.51,-162.05,-11.69,4.19,4.61,-59.84,-86.82,-203.02,-910.5,-12299.09,783.77,-715.68,316.83,80.7,-218.21,38.1,-151.35,95.24,95.9
CAPEX (niematerialne i rzeczowe),,,,,1976.47,,110.0,114.29,183.85,78.51,142.38,11.92,-4.19,-2.36,-8.64,86.64,203.02,461.87,23229.57,-19477.66,231.04,219.58,-96.23,103.11,-47.45,-66.64,-95.83,-97.9
Przepływy pieniężne z działalności finansowej,,,,,,-256.84,16.21,-100.0,,-434.46,100.17,,,-1.01,-10600.0,,-57.47,99.01,-34777.14,-372.32,-7036.13,-26737.96,98.63,12.27,92.48,26.2,-28.53,-24.93
Emisja akcji,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,-100.0,
Dywidenda,,,,,,256.84,-16.14,,,434.46,-100.0,100.0,,0.22,,,,-100.0,,,,,-100.0,,,-27.67,,
Przepływy pieniężne razem,,,,,145.67,19485.71,10960.87,400.15,249.63,-901.17,32.49,93.39,160.38,33.88,373.92,150.54,62.96,437.39,-482.75,-37.01,-78.43,-149.73,95.38,-75.42,36.23,-44.31,358.12,124.26
