,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,38268.0,50238.0,48190.0,31270.0,26447.0,26661.0,39104.0,68249.0,69012.0,60253.0,46796.0,29315.0,28174.0,42006.0,44257.0,71550.0,50392.0,65578.0,72511.0,58722.0,79521.0,82807.0,99388.0,72525.0,63866.0,102314.0,104940.0,78554.0,92337.0,121310.0,154817.0,168657.0,179612.0,230729.0,197845.0,233640.0,135589.0,160564.0,178104.0,240478.0,206062.0,152562.0,154904.0,185702.0,37213.0,34715.0,24371.0,28168.0,20940.0,17046.0,26294.0,18775.0,12300.0,16783.0,32803.0,25910.0,27389.0,22809.0,29707.0,27791.0,23395.0,19038.0,17111.0,15634.0,24913.0,32859.0,27519.0,24676.0
Techniczny koszt wytworzenia produkcji sprzedanej,29103.0,40295.0,40120.0,31290.0,19904.0,20185.0,33440.0,55817.0,53966.0,48701.0,42754.0,35012.0,30318.0,37605.0,41436.0,67402.0,44336.0,58223.0,60711.0,51570.0,70134.0,73381.0,85885.0,62024.0,55765.0,92191.0,94149.0,69741.0,81943.0,111612.0,141984.0,155377.0,171138.0,214985.0,182693.0,218520.0,130049.0,149614.0,170631.0,228343.0,194670.0,149698.0,150389.0,182884.0,34888.0,32433.0,20143.0,26726.0,17407.0,14143.0,20307.0,15086.0,13067.0,16286.0,22893.0,22158.0,22628.0,22835.0,27742.0,36776.0,23023.0,18768.0,21478.0,25584.0,20811.0,25923.0,23430.0,23106.0
Koszty sprzedaży,115.0,198.0,175.0,343.0,218.0,271.0,252.0,267.0,494.0,565.0,608.0,643.0,496.0,502.0,484.0,589.0,586.0,528.0,522.0,551.0,488.0,534.0,765.0,762.0,596.0,893.0,670.0,967.0,1689.0,1397.0,1403.0,3008.0,2324.0,2464.0,2227.0,3720.0,1799.0,3093.0,3000.0,8382.0,8593.0,4373.0,6274.0,9532.0,329.0,259.0,277.0,187.0,160.0,169.0,187.0,142.0,157.0,133.0,148.0,115.0,142.0,138.0,121.0,141.0,113.0,109.0,97.0,141.0,124.0,122.0,135.0,9163.0
Koszty ogólnego zarządu,2371.0,2080.0,2534.0,2854.0,1785.0,3782.0,3131.0,4498.0,3967.0,4116.0,3734.0,3870.0,3852.0,4569.0,4337.0,4911.0,4331.0,4726.0,4035.0,4023.0,3814.0,4073.0,3939.0,4781.0,4171.0,4566.0,3876.0,4664.0,4176.0,4442.0,3863.0,4728.0,4185.0,5038.0,4045.0,4646.0,4484.0,4632.0,4510.0,5024.0,4667.0,4277.0,3484.0,4761.0,3983.0,3421.0,2640.0,4035.0,3229.0,3612.0,2855.0,3492.0,3022.0,3254.0,2877.0,4067.0,2831.0,2773.0,2099.0,1943.0,2264.0,2553.0,2129.0,2399.0,2308.0,2552.0,2395.0,-5486.0
Zysk ze sprzedaży,6679.0,7665.0,5361.0,-3217.0,4540.0,2423.0,2281.0,7667.0,10585.0,6871.0,-300.0,-10210.0,-6492.0,-670.0,-2000.0,-1352.0,1139.0,2101.0,7243.0,2578.0,5085.0,4819.0,8799.0,4958.0,3334.0,4664.0,6245.0,3182.0,4529.0,3859.0,7567.0,5544.0,1965.0,8242.0,8880.0,6754.0,-743.0,3225.0,-37.0,-1271.0,-1868.0,-5786.0,-5243.0,-11475.0,-1987.0,-1398.0,1311.0,-2780.0,144.0,-878.0,2945.0,55.0,-3946.0,-2890.0,6885.0,-430.0,1788.0,-2937.0,-255.0,-11069.0,-2005.0,-2392.0,-6593.0,-12490.0,1670.0,4262.0,1559.0,-2107.0
Pozostałe przychody operacyjne,2824.0,859.0,769.0,2871.0,227.0,510.0,181.0,1474.0,217.0,2258.0,240.0,1080.0,607.0,363.0,178.0,1076.0,271.0,297.0,183.0,780.0,491.0,1105.0,533.0,373.0,501.0,390.0,485.0,2509.0,569.0,133.0,326.0,508.0,335.0,1083.0,310.0,861.0,4023.0,840.0,146.0,4768.0,200.0,1152.0,128.0,12908.0,2201.0,2818.0,2399.0,1543.0,8439.0,2200.0,147.0,4386.0,455.0,3596.0,620.0,331.0,3316.0,2966.0,2323.0,2355.0,656.0,401.0,3308.0,-780.0,339.0,296.0,847.0,-978.0
Pozostałe koszty operacyjne,438.0,145.0,172.0,1127.0,59.0,69.0,234.0,519.0,161.0,720.0,20.0,1087.0,269.0,782.0,248.0,267.0,37.0,198.0,566.0,-95.0,56.0,1296.0,2201.0,812.0,1356.0,390.0,516.0,2378.0,511.0,107.0,61.0,845.0,287.0,1438.0,116.0,562.0,424.0,2162.0,535.0,12609.0,512.0,3786.0,1198.0,14165.0,1028.0,2491.0,-273.0,597.0,7241.0,921.0,222.0,4487.0,490.0,1932.0,633.0,484.0,3257.0,3177.0,232.0,4221.0,245.0,1300.0,1736.0,3418.0,532.0,2362.0,511.0,4173.0
Zysk operacyjny (EBIT),9065.0,8379.0,5958.0,-1473.0,4708.0,2864.0,2228.0,8622.0,10641.0,8409.0,-80.0,-10217.0,-6154.0,-1089.0,-2070.0,-543.0,1373.0,2200.0,6860.0,3453.0,5520.0,4628.0,7131.0,4519.0,2479.0,4664.0,6214.0,3313.0,4587.0,3885.0,7832.0,5207.0,2013.0,7887.0,9074.0,7053.0,2856.0,1903.0,-426.0,-9112.0,-2180.0,-8420.0,-6313.0,-12732.0,-814.0,-1071.0,3983.0,-1834.0,1342.0,401.0,2870.0,-46.0,-3981.0,-1226.0,6872.0,-583.0,1847.0,-3148.0,1836.0,-12935.0,-1594.0,-3291.0,-5021.0,-16688.0,1477.0,2196.0,1895.0,-7258.0
Przychody finansowe,3525.0,-465.0,226.0,726.0,395.0,441.0,309.0,518.0,295.0,461.0,64.0,211.0,65.0,236.0,1060.0,1130.0,430.0,654.0,331.0,458.0,216.0,375.0,161.0,94.0,2217.0,2488.0,-1009.0,218.0,727.0,976.0,263.0,908.0,459.0,100.0,67.0,79.0,50.0,765.0,48.0,30.0,38.0,556.0,91.0,3.0,3515.0,-3176.0,-82.0,14.0,66.0,25.0,21.0,-56.0,798.0,-116.0,6.0,-6.0,75.0,-74.0,0.0,5.0,5.0,-5.0,0.0,0.0,0.0,0.0,233.0,54.0
