,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,45171.0,52352.0,53350.0,50005.0,44487.0,60233.0,66784.0,57211.0,53018.0,59454.0,59973.0,61147.0,52951.0,58521.0,60588.0,57157.0,50464.0,52742.0,58443.0,61944.0,42169.0,49340.0,52192.0,55589.0,49096.0,56012.0,49563.0,48203.0,45331.0,61270.0,68224.0,137674.0,57391.0,65714.0,62546.0,50807.0,57179.0,58088.0,50804.0,57474.0,65577.0,63786.0,51498.0,51704.0,62713.0,71095.0,61220.0,65304.0,68352.0,78373.0,64339.0,63692.0,75978.0,64658.0,54306.0
Techniczny koszt wytworzenia produkcji sprzedanej,29169.0,31347.0,34943.0,38885.0,36983.0,46592.0,47793.0,43295.0,37773.0,41829.0,41987.0,42058.0,36882.0,39748.0,41924.0,38809.0,35189.0,35682.0,40950.0,41473.0,29285.0,34611.0,36874.0,40475.0,37115.0,42133.0,36651.0,34278.0,35651.0,50262.0,57200.0,109710.0,47252.0,49445.0,48528.0,43938.0,46549.0,44873.0,38504.0,39848.0,47533.0,47143.0,37823.0,39919.0,49143.0,59623.0,45183.0,56544.0,50784.0,63864.0,50532.0,48083.0,52448.0,46529.0,40504.0
Koszty sprzedaży,7427.0,9064.0,8513.0,6758.0,5784.0,7921.0,7019.0,5616.0,8061.0,7259.0,8077.0,7823.0,7978.0,9825.0,8066.0,7965.0,7972.0,9334.0,7286.0,8554.0,7846.0,8197.0,8968.0,6782.0,7977.0,7399.0,6916.0,8639.0,6662.0,7425.0,8297.0,18823.0,8132.0,8473.0,7608.0,10499.0,7554.0,7535.0,8831.0,5952.0,8075.0,7791.0,6833.0,6056.0,7069.0,7884.0,8313.0,10331.0,8813.0,8325.0,8228.0,7892.0,8887.0,9051.0,8907.0
Koszty ogólnego zarządu,5447.0,4496.0,5506.0,2996.0,5132.0,4789.0,5648.0,3310.0,5700.0,5369.0,5655.0,6101.0,5264.0,5656.0,6271.0,6100.0,5343.0,5788.0,4841.0,4787.0,5166.0,5773.0,5245.0,5183.0,5734.0,4733.0,5909.0,7085.0,7370.0,3258.0,5049.0,11788.0,4900.0,5146.0,5583.0,3663.0,4786.0,4671.0,4759.0,4488.0,4582.0,4527.0,4625.0,4786.0,4842.0,4497.0,4395.0,4783.0,5767.0,5446.0,4983.0,4650.0,5044.0,5116.0,4459.0
Zysk ze sprzedaży,3128.0,7445.0,4388.0,1366.0,-3412.0,931.0,6324.0,4990.0,1484.0,4997.0,4254.0,5165.0,2827.0,3292.0,4327.0,4283.0,1960.0,1938.0,5366.0,7130.0,-128.0,759.0,1105.0,3149.0,-1730.0,1747.0,87.0,-1799.0,-4352.0,325.0,-2322.0,-2647.0,-2893.0,2650.0,827.0,-7293.0,-1710.0,1009.0,-1290.0,7186.0,5387.0,4325.0,2217.0,943.0,1659.0,-909.0,3329.0,-6354.0,2988.0,738.0,596.0,3067.0,9599.0,3962.0,436.0
Pozostałe przychody operacyjne,993.0,1069.0,586.0,3478.0,516.0,1160.0,283.0,791.0,646.0,1506.0,1094.0,311.0,741.0,1664.0,508.0,652.0,858.0,1463.0,1234.0,-1378.0,280.0,255.0,339.0,666.0,2762.0,409.0,236.0,721.0,37.0,3068.0,3531.0,967.0,1028.0,41.0,889.0,9301.0,3163.0,1429.0,1968.0,-507.0,369.0,822.0,1885.0,2943.0,2143.0,3901.0,1271.0,727.0,880.0,3645.0,1382.0,2315.0,705.0,1674.0,2392.0
Pozostałe koszty operacyjne,47.0,113.0,378.0,542.0,84.0,1792.0,83.0,533.0,583.0,763.0,1010.0,819.0,436.0,212.0,346.0,330.0,704.0,816.0,1619.0,979.0,205.0,373.0,283.0,691.0,567.0,1222.0,1320.0,515.0,1234.0,2963.0,734.0,1838.0,1090.0,1547.0,221.0,3043.0,915.0,1656.0,728.0,392.0,708.0,1489.0,1899.0,2482.0,1295.0,1548.0,931.0,1847.0,309.0,3340.0,762.0,2392.0,780.0,2077.0,3214.0
Zysk operacyjny (EBIT),4074.0,8401.0,4596.0,4302.0,-2980.0,299.0,6524.0,5248.0,1547.0,5740.0,4338.0,4657.0,3132.0,4744.0,4489.0,4605.0,2114.0,2585.0,4981.0,4773.0,-53.0,641.0,1161.0,3124.0,465.0,934.0,-997.0,-1593.0,-5549.0,430.0,475.0,-3518.0,-2955.0,1144.0,1495.0,-1035.0,538.0,782.0,-50.0,6287.0,5048.0,3658.0,2203.0,1404.0,2507.0,1444.0,3669.0,-7474.0,3559.0,1043.0,1216.0,2990.0,9524.0,3559.0,-386.0
Przychody finansowe,2654.0,253.0,139.0,-421.0,158.0,-156.0,231.0,-194.0,669.0,-466.0,269.0,87.0,318.0,-289.0,2.0,2.0,1.0,363.0,140.0,47.0,306.0,161.0,399.0,-568.0,127.0,-96.0,3.0,37.0,297.0,316.0,-444.0,3498.0,0.0,39.0,281.0,1662.0,802.0,-767.0,919.0,-886.0,3129.0,-646.0,-585.0,334.0,1720.0,862.0,4431.0,-7013.0,94.0,0.0,0.0,2332.0,1658.0,-1446.0,546.0
