,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,16.7,7.71,18.34,5.69,17.26,11.06,-27.12,-39.27,-50.13,-61.07,-77.11,-201.48,-67.24,15.67,138.06,173.54,151.36,-26.23,30.63,-30.59,11.12,50.91,29.94,34.18,-25.8,-24.57,-47.98,-13.93,7.83,-20.05,-30.72,34.66,-18.56,-17.96,57.11,-32.28,17.26,35.31,24.3,-57.19,-41.52,-46.02,-50.2,38.42,33.15,2.52,-1.95,7.65,-22.85,6.29,7.06,6.45,30.78,-21.23,9.19,30.95,11.19,28.7,69.4,41.49,42.84,85.69,6.25,10.34,37.3,-4.21,-3.93,6.07
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,3.17,29.87,29.02,-0.19,-3.33,-11.18,-36.22,-2.72,-50.26,-45.18,-50.58,-144.51,-55.21,-9.35,50.03,225.38,178.79,-9.14,33.13,-9.61,15.04,46.43,29.82,21.44,-33.93,-13.34,-45.84,-64.98,-11.39,-34.35,-38.51,89.38,12.43,11.77,47.62,10.25,14.82,9.39,32.28,4.31,-38.25,-27.38,-40.57,-18.56,35.53,-10.77,4.18,-16.88,-20.06,6.73,1.72,7.03,31.73,-21.81,15.18,33.75,17.76,35.07,67.04,51.23,48.44,79.25,2.66,3.99,33.49,-9.18,-9.95,1.65
Koszty sprzedaży,,,,,14.66,60.53,32.42,8.84,41.19,24.53,3.4,-19.59,-61.71,-48.58,-45.37,-61.23,-37.76,-59.25,-55.66,-6.76,30.87,76.09,94.68,92.41,75.8,20.69,55.61,25.02,-20.09,-41.27,-52.07,-53.52,7.81,-6.26,-17.4,-18.96,0.99,36.61,56.53,76.94,19.43,24.42,16.14,-4.58,-3.69,-31.23,-29.62,-31.49,-22.08,-19.06,-5.75,-7.74,8.65,14.28,9.72,17.17,-1.51,-34.39,-13.84,-18.59,-9.39,29.15,18.83,33.91,26.41,41.17,10.21,-6.67,4.87,-0.75,0.55,5.25
Koszty ogólnego zarządu,,,,,19.45,18.6,16.88,-1.47,11.87,16.46,-4.59,-2.97,-22.4,-7.1,-27.69,14.89,-56.14,-51.29,-35.86,-79.68,0.0,-37.24,-14.46,40.36,-2.86,64.93,58.99,30.83,-6.42,-42.95,-43.32,-39.42,-15.54,-3.24,-6.65,15.01,-44.02,-43.52,-42.68,-46.92,-6.12,16.05,-6.31,3.18,12.47,-21.04,31.09,71.86,1.02,-35.24,-34.07,-66.8,-14.0,43.44,8.15,57.57,11.01,-16.69,-2.77,-6.69,-3.9,18.93,14.25,8.55,11.2,35.87,20.26,11.09,31.49,11.63,4.65,-0.3
Zysk ze sprzedaży,,,,,133.53,-116.78,-62.79,20.14,79.49,232.44,-330.77,-233.69,-79.09,-811.12,-340.52,-104.77,-253.26,129.64,100.22,103.25,153.06,-155.76,566.67,-805.82,-111.13,34.32,-1296.0,-9.99,-7.59,79.91,33.53,133.03,1504.71,252.17,-14.72,63.05,-118.26,-944.29,171.71,-163.13,108.26,63.73,52.14,-251.75,-9188.89,-234.06,-249.95,37.69,68.89,62.01,20.51,67.37,-141.45,-55.02,3.79,-54.55,37.84,43.0,26.73,48.95,28.27,-44.94,118.54,-37.9,16.06,60.0,20.0,55.8,211.96,19.62,113.44,64.38
Pozostałe przychody operacyjne,,,,,-17.42,6930.0,6707.84,-92.02,-63.28,-79.28,-109.61,48.34,553.19,434.98,-462.04,-3.17,296.42,722.59,-160.96,20.97,89.81,-79.16,131.46,-56.8,-91.9,16.34,-69.83,-60.42,120.32,-32.03,115.3,-548.25,-91.5,-18.52,-92.79,107.9,414.29,-79.19,-58.57,1938.82,-37.78,-45.11,-20.69,-60.54,-58.04,710.47,1730.43,-78.82,655.32,-95.22,-74.82,10.04,-88.45,154.05,-85.85,-22.11,295.12,104.26,1353.33,-86.94,-71.6,-91.93,-94.95,251.72,28.26,2290.32,1154.55,83.33,122.03,-90.55,-67.39,-83.96
Pozostałe koszty operacyjne,,,,,,-100.0,100.0,,,,,45.08,-81.36,595.52,-170.38,508.3,268.18,294.58,100.0,-85.38,244.44,-92.11,,415.1,-94.62,-69.15,376.32,-53.76,1233.33,801.34,90.61,-105.66,-69.5,-41.92,-72.75,430.96,-26.23,-69.1,-64.89,-3.16,166.67,-67.22,109.09,241.77,62.5,196.2,286.96,-88.59,-64.62,-56.84,-34.46,141.18,-52.17,89.11,-72.0,-84.55,533.33,-49.21,10.2,-62.2,-82.78,-72.16,-25.93,-82.28,130.56,25.93,-75.0,1300.0,9.64,44.12,140.0,-60.71
Zysk operacyjny (EBIT),,,,,113.21,-80.55,87.93,-130.54,67.24,36.89,-137.52,-182.85,-71.78,-770.11,-404.89,-247.6,-117.44,228.97,119.16,99.72,1456.93,-87.02,6.35,-17891.45,-96.61,104.78,-159.47,38.35,36.56,-73.84,81.75,102.57,819.69,92.99,-453.85,383.23,-107.11,-251.18,169.44,-112.45,112.05,68.13,46.0,-4995.02,-17940.0,-57.06,-240.99,57.22,87.5,-1.08,6.2,45.24,-447.53,-50.42,6.37,14.8,33.58,65.77,42.81,46.18,33.66,-139.86,118.75,-23.64,10.04,127.76,149.21,52.28,214.67,-209.0,33.12,57.63
Przychody finansowe,,,,,11200.0,147.27,73.97,3823.64,-95.58,-103.68,22.05,-84.93,940.0,-940.0,356.77,-143.54,-15.38,15.38,-100.0,100.0,-97.73,97.73,,,-100.0,100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
