,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Period,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,10.04,10.93,15.27,11.58,-8.3,27.7,21.02,20.65,36.01,25.64,18.08,23.84,31.88,-3.37,17.75,15.66,4.95,24.96,-12.04,-41.55,-22.31,-26.65,-14.54,63.78,38.98,39.39,67.89,62.18,47.83,28.94,49.85,27.24,8.39,-3.23
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,13.6,14.63,16.66,9.79,-15.71,41.41,27.18,26.87,32.26,23.75,9.14,12.29,32.89,-8.43,19.14,20.24,4.62,30.86,-12.96,-40.33,-22.83,-34.04,-20.18,48.15,22.11,27.39,65.45,58.98,43.84,30.59,47.25,28.1,10.77,-9.16
Koszty sprzedaży,,,,,8.3,12.7,19.15,36.06,28.54,28.65,23.11,20.29,27.31,28.15,22.23,30.37,26.46,17.33,23.69,25.26,24.59,22.43,-4.19,-13.84,-17.02,-19.81,-2.97,8.0,20.03,31.64,36.58,35.33,39.1,32.95,40.87,49.93,24.04,17.45
Koszty ogólnego zarządu,,,,,33.55,34.99,-2.98,15.11,11.54,21.0,12.7,2.1,7.76,-3.34,14.18,4.89,-6.58,4.39,6.11,17.78,24.61,15.06,14.47,-7.91,-27.77,-38.25,-18.57,-10.69,31.62,35.59,21.35,52.1,61.75,47.11,89.39,6.67,14.11,-0.29
Zysk ze sprzedaży,,,,,0.83,1.04,8.35,-32.28,-44.19,7.17,-8.85,11.51,88.61,32.73,51.13,57.54,50.1,-17.99,-8.66,-31.75,-31.78,18.58,-75.58,-245.34,-35.89,-18.55,-172.83,210.91,189.71,74.88,1194.41,172.17,67.78,19.82,78.69,-10.75,-18.25,-22.61
Pozostałe przychody operacyjne,,,,,-4.05,31.7,109.5,-64.39,-26.41,-71.66,-9.33,-13.3,-29.19,-6.81,-44.41,9.2,5.41,-73.04,100.0,5.62,-28.21,738.06,-32.28,2494.15,154.46,-33.56,1042.58,-78.1,527.72,-291.54,-85.47,-197.1,-86.03,156.87,-35.76,163.36,130.4,-137.66
Pozostałe koszty operacyjne,,,,,-16.07,33.59,-71.15,-93.59,199.29,15.85,253.33,763.46,259.48,-71.8,124.53,96.88,-60.45,102.43,17.48,-14.93,-100.33,-2.0,75.54,146.14,35250.0,-12.02,46.94,-53.0,0.43,-150.66,-28.18,-103.91,-96.32,229.73,-40.93,4070.59,2665.38,-41.25
Zysk operacyjny (EBIT),,,,,0.99,0.72,22.98,-25.59,-47.51,-6.02,-14.94,-0.49,67.69,51.11,32.4,50.5,70.88,-23.86,-7.3,-33.26,-28.63,27.66,-101.82,-184.8,-41.09,-20.0,841.94,325.92,230.89,73.38,1285.87,150.08,59.14,24.44,95.36,-9.59,-19.36,-25.28
Przychody finansowe,,,,,266.67,2514.29,-30.41,171.55,-2704.55,67.76,-79.83,-99.69,98.78,-99.67,-87.5,21600.0,3171.43,31700.0,3733.33,10.94,-598.6,912.89,-100.0,-88.16,129.66,-109.66,,1778.07,-539.94,-3.54,,-126.2,99.86,156.52,95.2,584.14,-121750.0,1404.4
Koszty finansowe,,,,,-59.96,-72.79,154.42,-251.97,-56.04,136.79,27.72,451.22,60.0,77.97,-69.85,-96.95,52.73,-72.14,42.13,1046.97,796.16,-601.14,399.51,-261.69,-84.42,89.03,-66.42,95.51,-18.86,346.11,-49.81,6200.0,1460.72,-372.63,-1.93,-78.51,-79.75,329.03
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,8.27,8.11,-5.21,11.62,-54.05,-8.05,-39.58,-73.57,92.52,46.2,137.78,327.44,74.53,-19.09,-10.43,-38.52,-62.67,59.74,-207.79,-145.51,9.49,-36.41,81.78,623.8,210.54,69.65,1226.49,47.56,35.12,33.59,103.18,31.28,-11.6,-28.97
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,8.27,8.11,-5.21,11.62,-54.05,-8.05,-39.58,-73.57,92.52,46.2,137.78,327.44,74.53,-19.09,-10.43,-38.52,-62.67,59.74,-207.79,-145.51,9.49,-36.41,81.78,623.8,210.54,69.65,1226.49,47.56,35.12,33.59,103.18,31.28,-11.6,-28.97
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,8.75,-2.54,-7.07,-24.06,-57.46,-11.13,-178.8,-65.29,110.53,45.33,283.3,193.2,83.83,-19.9,-15.53,-32.72,-64.06,78.36,-214.24,-141.8,10.69,-42.62,82.2,631.91,218.45,67.94,1175.87,51.24,31.81,32.86,103.31,18.56,-2.63,-28.68
Zysk netto akcjonariuszy jednostki dominującej,,,,,8.75,-2.54,-7.07,-24.06,-57.46,-11.13,-178.8,-65.29,110.53,45.33,283.3,193.2,83.83,-19.9,-15.53,-32.72,-64.06,78.36,-214.24,-141.8,10.69,-42.62,82.2,631.91,218.45,67.94,1175.87,51.24,31.81,32.86,103.31,18.56,-2.63,-28.68
Aktywa trwałe,,,,,-0.51,-1.61,0.37,-1.6,3.0,12.46,13.32,18.91,23.71,25.59,22.91,18.16,10.88,4.69,66.9,66.08,68.53,63.99,2.19,4.32,2.11,2.6,8.65,-1.29,-2.99,-4.8,-11.63,-9.07,-7.65,-4.72,-0.57,1.48,1.01,3.24
Wartości niematerialne i prawne,,,,,-3.0,-3.48,-3.07,-2.94,-2.2,-1.49,1.11,2.31,3.25,4.3,2.35,2.16,1.0,1.01,0.74,-0.51,0.08,-1.32,-1.83,-1.62,-2.59,-2.02,-2.11,-2.46,-2.13,-2.6,-2.21,-2.31,-2.23,-0.45,-0.74,-0.89,0.06,1.48
Rzeczowe składniki majątku trwałego,,,,,4.71,8.3,12.91,14.21,18.03,26.34,22.67,28.82,35.94,30.82,29.45,22.28,11.28,7.47,10.62,106.78,109.88,103.06,95.56,7.92,5.17,4.81,12.52,-1.95,-4.3,-5.53,-13.58,-10.63,-8.3,-4.89,0.43,2.86,1.62,3.74
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,-4.47,-4.52,-4.57,-4.63,-4.68,-4.77,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,-18.33,-61.35,-69.25,-86.83,-79.96,-33.13,23.93,148.16,132.86,77.64,18.55,-6.47,-8.66,-5.63,2866.15,-66.06,-63.08,-59.11,-98.4,72.71,77.49,207.16,170.77,117.2,122.55,8.29,-11.46,-3.55,-33.77,-43.14,-53.48,-42.91,-23.96,-2.88
Aktywa obrotowe,,,,,16.74,41.23,109.67,69.23,19.13,-8.94,-10.62,-33.61,-4.23,-23.87,-26.46,20.76,31.69,18.73,23.43,16.14,5.89,3.14,20.36,1.66,-0.14,12.56,2.53,13.83,10.94,55.28,32.81,27.78,40.02,1.43,13.86,19.69,-0.34,1.75
Zapasy,,,,,26.91,11.45,35.26,36.37,34.51,19.65,1.08,15.09,16.86,18.93,21.24,4.64,-6.95,32.0,32.53,51.26,61.91,-5.55,2.68,3.46,-11.35,21.37,25.61,9.84,13.23,26.46,6.52,23.11,20.23,26.59,16.14,10.05,6.61,-7.49
Należności krótkoterminowe,,,,,-2.37,-13.94,-36.42,-2.1,-54.12,32.37,29.41,25.1,54.76,18.63,24.31,43.32,143.35,-3.28,-8.65,-31.69,-58.36,53.92,74.11,-8.19,8.72,-10.92,-37.12,3.55,28.53,-6.11,49.64,64.45,72.72,35.76,63.29,23.77,3.2,22.12
Inwestycje krótkoterminowe,,,,,30.31,92.77,1150.54,215.66,135.76,-32.25,-27.09,-96.72,-87.53,-81.41,-93.45,172.34,263.57,-7.87,50.39,-3.68,-63.54,-57.38,132.78,28.71,285.14,82.91,-60.84,110.91,-31.53,730.42,626.43,0.84,169.74,-65.66,-39.49,93.02,-37.88,25.37
Środki pieniężne i inne aktywa pieniężne,,,,,30.31,92.77,1150.54,146.36,70.03,-32.25,-27.09,-95.8,-82.71,-81.43,-93.45,150.46,258.22,-7.81,50.39,4.73,-63.0,-57.38,118.57,28.71,276.92,80.41,-58.3,105.21,-30.03,741.9,626.43,3.64,169.74,-65.66,-39.49,93.02,-37.88,25.37
Pozostałe aktywa obrotowe,,,,,402.54,111.09,91.78,415.83,91.06,-31.23,13.56,-19.22,1.59,-17.39,2.46,-7.2,1.82,42.09,3.43,10.45,-16.64,10.85,-13.09,-18.34,-100.0,-30.47,-6.58,8.84,,-100.0,-100.0,-100.0,-100.0,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,8.28,23.07,51.73,34.72,11.86,-1.69,-2.23,-14.92,7.36,-4.69,-6.4,19.46,21.74,11.56,46.63,40.7,33.16,32.31,9.32,3.2,1.1,6.64,6.0,4.95,3.19,20.93,6.94,7.44,15.08,-1.34,6.92,11.18,0.23,2.4
Kapitał własny akcjonariuszy jednostki dominującej,,,,,51.75,89.04,76.5,68.65,56.22,8.75,5.38,-0.66,2.18,6.44,10.26,14.8,18.88,13.39,12.7,9.7,3.38,10.95,7.48,19.51,19.06,9.03,10.35,16.4,21.94,25.95,29.3,-2.79,0.2,4.15,6.87,7.3,6.07,1.07
Kapitał (fundusz) podstawowy,,,,,-88.59,-87.49,9.7,9.7,9.7,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.25,0.0,0.16,0.16,0.16,0.36,0.19,0.19,0.19,0.0,0.0,0.38
Udziały (akcje) własne,,,,,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,119.29,190.48,64.81,45.97,45.97,11.65,11.65,2.72,2.72,2.72,2.72,2.41,2.41,2.41,2.41,10.35,10.35,10.35,10.35,0.0,22.58,22.58,22.58,28.48,4.81,-70.05,-70.05,-71.43,-71.43,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
