,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,18.1,-5.76,18.49,-4.58,-2.93,22.78,0.39,31.32,16.6,-14.06,7.67,-17.01,4.5,-9.98,-15.12,-6.13,3.91,3.5,-18.24,-28.92,-21.32,-22.46,-9.82,-17.63,-4.84,23.62,4.89,15.67,20.31,44.01,3.41,78.91,61.26,-20.25,-5.74,-55.05,-30.53,-0.1
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,16.93,-1.63,21.42,-5.26,-4.9,22.05,0.48,35.07,20.19,-11.76,8.53,-18.39,4.88,-11.28,-12.29,-6.48,3.78,5.09,-9.65,-16.81,-15.66,-21.54,-12.06,-24.52,-10.07,14.46,5.66,14.19,28.65,53.06,2.47,71.22,53.49,-19.18,-0.59,-49.26,-27.5,-3.61
Koszty sprzedaży,,,,,-17.19,-1.62,12.34,-0.19,-2.02,23.51,34.28,15.57,36.55,-11.21,8.64,23.14,14.24,19.9,14.92,13.68,-2.23,-13.36,1.4,2.01,-7.79,15.42,-12.15,28.62,27.34,26.75,28.27,-26.82,-17.86,1.89,-17.42,39.36,25.26,-2.53,5.72,-12.94,20.06,-9.97
Koszty ogólnego zarządu,,,,,19.48,12.23,7.02,15.33,0.41,9.48,7.76,6.9,10.7,-16.68,5.01,-5.75,13.37,15.83,-2.43,3.96,-21.04,-33.8,-3.2,-9.04,4.64,16.74,-3.63,9.9,-1.66,-9.36,-4.96,-16.29,-3.71,28.93,2.96,3.5,6.28,-3.74,6.95,26.09,-6.54,-10.45
Zysk ze sprzedaży,,,,,41.09,-39.94,4.49,-13.11,8.12,38.78,-11.55,23.63,-5.79,-35.56,0.82,-25.48,-4.3,-22.29,-65.05,-23.16,17.26,26.54,-303.29,-242.67,-71.01,-70.51,31.36,21.03,62.27,384.3,-17.59,73.48,-26.23,-1.2,25.13,543.86,283.34,-49.61,-121.58,-230.23,-73.43,86.38
Pozostałe przychody operacyjne,,,,,251.61,60.56,-52.11,-88.45,53.21,15.79,-27.67,150.89,90.42,-25.76,55.65,-14.59,11.01,-31.97,732.96,-50.42,-69.97,-69.5,-76.12,11665.55,6426.42,583.61,193.54,-98.59,-93.61,217.03,-60.0,-136.36,-72.62,-77.76,-41.87,384.72,215.7,-61.9,-4.53,271.71,-78.8,1686.61
Pozostałe koszty operacyjne,,,,,261.54,-85.15,-68.63,7.63,-118.1,-74.31,837.5,80.85,300.0,105.36,-76.0,-55.29,-136.84,1249.57,3841.67,-72.81,-385.71,-94.65,-97.96,251.61,1448.53,92402.41,1610.34,2197.25,-72.52,-97.45,-20.16,-87.58,-62.7,-50.92,-28.54,45.98,407.45,61.19,149.82,45.37,-155.97,1303.62
Zysk operacyjny (EBIT),,,,,39.31,-30.67,1.56,-26.49,9.88,41.34,-14.65,25.11,-4.87,-36.0,4.83,-23.43,-3.38,-47.41,-64.58,-23.38,14.8,80.65,-274.65,215.87,-21.3,-1424.78,42.6,-158.52,-39.09,109.97,-55.22,77.53,-28.2,-1.72,22.94,390.39,278.52,-64.65,-141.07,-236.25,-71.04,-573.17
Przychody finansowe,,,,,3209.52,-21.9,-31.17,-140.8,-96.32,-24.35,31.18,8.45,433.33,14.66,-18.39,-290.77,-88.28,-29.83,-24.18,164.17,-446.67,-2.22,-57.61,-69.94,644.23,-1.82,310.26,-291.84,-45.94,-1.39,-82.29,228.72,193.46,-115.34,425.88,-119.83,-125.39,384.69,-26.4,125.0,103.51,-97.13
Koszty finansowe,,,,,89.92,-52.89,30.56,-76.04,-66.41,35.87,8.43,-223.31,68.39,75.05,24.13,-2.44,-22.8,-31.71,-68.8,170.24,21.59,14.83,6.15,315.25,43.67,6.19,-44.02,29.8,29.97,-26.3,84.14,-69.5,-33.88,91.58,105.62,350.0,269.09,428.73,86.7,63.92,13.84,119.64
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,45.63,-27.51,-4.05,-25.05,9.99,31.61,-14.21,34.06,-5.97,-37.97,-0.45,-26.48,-3.45,-47.12,-60.34,-20.54,13.84,76.68,-279.76,197.07,-21.25,-1451.31,56.36,-169.25,-44.7,110.01,-108.32,78.95,-20.34,-18.81,24.33,307.82,234.21,-151.8,-162.67,-331.1,-85.06,-707.65
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
