,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,9.0,192.0,52.0,125.0,47.0,41.0,33.0,53.0,15.0,14.0,19.0,66.0,2.0,37.0,28.0,-11.0,22.0,10.0,46.0,0.0,374.0,2120.0,2427.0,3621.0,6370.0,9011.0,7026.0,7758.0,9116.0,11677.0,14879.0,26048.0,21740.0,34170.0,52362.0,95977.0,125497.0,126547.0,211384.0,193682.0,153620.0,174428.0,171300.0,204999.0,225186.0,94435.0,138761.0,134993.0,123529.0,122639.0,118744.0,94412.0
Techniczny koszt wytworzenia produkcji sprzedanej,1184.0,1267.0,1066.0,1263.0,1040.0,1059.0,1055.0,918.0,106.0,86.0,85.0,87.0,46.0,55.0,228.0,-29.0,76.0,19.0,139.0,94.0,439.0,1931.0,2342.0,3527.0,5139.0,6686.0,6500.0,9571.0,8646.0,9921.0,14259.0,25334.0,19570.0,30977.0,48094.0,89348.0,106202.0,109855.0,179610.0,175562.0,139409.0,168611.0,163434.0,226212.0,230788.0,126578.0,151000.0,144627.0,134663.0,139845.0,120924.0,99375.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-1175.0,-1075.0,-1014.0,-1138.0,-993.0,-1018.0,-1022.0,-865.0,-91.0,-72.0,-66.0,-21.0,-44.0,-18.0,-200.0,18.0,-54.0,-9.0,-93.0,-94.0,-65.0,189.0,85.0,94.0,1231.0,2325.0,526.0,-1813.0,470.0,1756.0,620.0,714.0,2170.0,3193.0,4268.0,6629.0,19295.0,16692.0,31774.0,18120.0,14211.0,5817.0,7866.0,-21213.0,-5602.0,-32143.0,-12239.0,-9634.0,-11134.0,-17206.0,-2180.0,-4963.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,6.0,1.0,1237.0,24.0,-9.0,2.0,21.0,-20.0,2.0,0.0,1.0,-1.0,4.0,2.0,1.0,0.0,0.0,499.0,252.0,265.0,339.0,449.0,786.0,160.0,420.0,4292.0,392.0,2477.0,1837.0,7992.0,4201.0,3616.0,1149.0,-6909.0,287.0,2519.0,2615.0,-658.0,24316.0,-6747.0,-241.0,3139.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,39.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,8542.0,3.0,13.0,13.0,0.0,9.0,9.0,35.0,6.0,0.0,3.0,13.0,3.0,1.0,13.0,0.0,167.0,18.0,63.0,39.0,354.0,26.0,88.0,96.0,1448.0,385.0,1944.0,4089.0,-1138.0,1113.0,1547.0,673.0,6475.0,2657.0,6996.0,-2478.0,13512.0,1340.0,9139.0,2413.0,1211.0
Zysk operacyjny (EBIT),-1209.0,-1075.0,-1014.0,-1143.0,-1088.0,-926.0,-1011.0,-884.0,-91.0,-66.0,-61.0,-8562.0,1190.0,-7.0,-222.0,20.0,-42.0,-38.0,-126.0,-100.0,-64.0,185.0,76.0,93.0,1231.0,2312.0,526.0,-1481.0,704.0,1958.0,920.0,809.0,2930.0,3265.0,4592.0,9473.0,19302.0,17225.0,29522.0,27250.0,17299.0,7886.0,8342.0,-34597.0,-7972.0,-36620.0,-7146.0,-23804.0,11842.0,-33092.0,-4834.0,-3035.0
Przychody finansowe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,251.0,433.0,66.0,108.0,187.0,-139.0,649.0,970.0,0.0,8.0,0.0,30.0,37.0,67.0,129.0,-233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,770.0,3920.0,1143.0,-2607.0,1068.0,4429.0,-1955.0,6635.0
