,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,77791.0,59963.0,42461.0,55303.0,64678.0,88639.0,77450.0,61033.0,71035.0,100922.0,52961.0,42584.0,64042.0,99126.0,75015.0,83898.0,199741.0,220338.0,161051.0,193683.0,217073.0,265227.0,177567.0,245880.0,188272.0,160400.0,205148.0,322327.0,218488.0,309015.0,195120.0,277652.0,256410.0,526601.0,313548.0,321467.0,362607.0,389226.0,270797.0,298768.0,496091.0,503173.0
Techniczny koszt wytworzenia produkcji sprzedanej,67182.0,47634.0,38525.0,48331.0,55895.0,75540.0,71735.0,52332.0,58424.0,92773.0,45410.0,41380.0,49515.0,77210.0,63918.0,74188.0,161347.0,191818.0,138748.0,172201.0,195921.0,236838.0,160593.0,220807.0,172035.0,135364.0,181823.0,271311.0,186832.0,277651.0,168856.0,234362.0,221203.0,465704.0,280251.0,278414.0,310685.0,312858.0,236592.0,242725.0,429724.0,433971.0
Koszty sprzedaży,29.0,622.0,1012.0,807.0,875.0,1080.0,1511.0,1587.0,1951.0,3800.0,3758.0,1888.0,2534.0,9539.0,2852.0,4375.0,12421.0,6745.0,5479.0,4868.0,5839.0,11703.0,7102.0,3531.0,2619.0,9505.0,5893.0,12078.0,7562.0,9397.0,5573.0,8183.0,7399.0,12758.0,7636.0,10937.0,11537.0,15162.0,11642.0,12717.0,12823.0,13915.0
Koszty ogólnego zarządu,3026.0,11.0,1219.0,843.0,1017.0,1403.0,2102.0,1517.0,3205.0,96.0,1581.0,1947.0,2006.0,552.0,2221.0,1857.0,2095.0,4708.0,3932.0,4994.0,3961.0,6151.0,3034.0,5356.0,3652.0,5186.0,5220.0,4395.0,5090.0,6383.0,6011.0,8336.0,6958.0,10003.0,6846.0,7183.0,11550.0,13379.0,10332.0,10741.0,12111.0,13757.0
Zysk ze sprzedaży,7554.0,11696.0,1705.0,5322.0,6891.0,10616.0,2102.0,5597.0,7455.0,4253.0,2212.0,-2631.0,9987.0,11825.0,6024.0,3478.0,23878.0,17067.0,12892.0,11620.0,11352.0,10535.0,6838.0,16186.0,9966.0,10345.0,12212.0,34543.0,19004.0,15584.0,14680.0,26771.0,20850.0,38136.0,18815.0,24933.0,28835.0,47827.0,12231.0,32585.0,41433.0,41530.0
Pozostałe przychody operacyjne,841.0,1528.0,72.0,296.0,-116.0,2383.0,155.0,1522.0,444.0,552.0,88.0,16150.0,-3011.0,1775.0,792.0,865.0,213.0,1778.0,1066.0,1259.0,631.0,24031.0,4787.0,1457.0,2250.0,29255.0,884.0,5204.0,4691.0,9614.0,520.0,4505.0,958.0,24322.0,1160.0,1557.0,7262.0,9637.0,815.0,2319.0,8318.0,8592.0
Pozostałe koszty operacyjne,83.0,1305.0,144.0,67.0,1.0,1234.0,77.0,1370.0,86.0,1554.0,46.0,1148.0,42.0,4400.0,365.0,564.0,97.0,5986.0,553.0,3478.0,121.0,16981.0,270.0,2843.0,916.0,6096.0,1598.0,7078.0,2281.0,9735.0,410.0,5419.0,655.0,11270.0,1008.0,2085.0,1321.0,15562.0,2774.0,6514.0,11351.0,11308.0
Zysk operacyjny (EBIT),8312.0,11919.0,1633.0,5551.0,6774.0,11765.0,2180.0,5749.0,7813.0,3251.0,2254.0,12371.0,6934.0,9200.0,6451.0,3779.0,23994.0,12859.0,13405.0,9401.0,11862.0,17585.0,11355.0,14800.0,11300.0,33504.0,11498.0,32669.0,21414.0,15463.0,14790.0,25857.0,21153.0,51188.0,18967.0,24405.0,34776.0,41902.0,10272.0,28390.0,38400.0,38814.0
Przychody finansowe,5.0,21.0,46.0,281.0,-491.0,295.0,27.0,4.0,24.0,120.0,55.0,49.0,-16.0,24.0,17.0,11.0,177.0,18.0,54.0,579.0,-474.0,128.0,87.0,22.0,13.0,35.0,313.0,274.0,-409.0,1647.0,2178.0,-538.0,-1005.0,1897.0,3742.0,2452.0,3883.0,3520.0,7678.0,7435.0,4376.0,15796.0
Koszty finansowe,897.0,1031.0,880.0,795.0,792.0,879.0,857.0,985.0,858.0,1062.0,726.0,2318.0,395.0,2105.0,993.0,1382.0,1110.0,2545.0,1141.0,2059.0,2699.0,1424.0,3664.0,916.0,1869.0,1939.0,1771.0,1584.0,5449.0,6992.0,7696.0,1116.0,8857.0,8213.0,5491.0,10708.0,11947.0,7614.0,7433.0,12085.0,3539.0,11207.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,7420.0,10909.0,799.0,5037.0,5491.0,11181.0,1350.0,4768.0,6979.0,2309.0,1583.0,10102.0,6523.0,7119.0,5475.0,2408.0,23061.0,10332.0,12318.0,7921.0,8689.0,16289.0,7778.0,13906.0,9444.0,31600.0,10040.0,31359.0,15556.0,10118.0,9272.0,24203.0,11291.0,44872.0,17218.0,16149.0,26712.0,37808.0,10517.0,23740.0,39237.0,43403.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7420.0,10909.0,799.0,5037.0,5491.0,11181.0,1350.0,4768.0,6979.0,2309.0,1583.0,10102.0,6523.0,7119.0,5475.0,2408.0,23061.0,10332.0,12318.0,7921.0,8689.0,16289.0,7778.0,13906.0,9444.0,31600.0,10040.0,31359.0,15556.0,10118.0,9272.0,24203.0,11291.0,44872.0,17218.0,16149.0,26712.0,37808.0,10517.0,23740.0,39237.0,43403.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,7353.0,7838.0,589.0,4170.0,4840.0,8403.0,1043.0,3979.0,5435.0,1949.0,1335.0,7965.0,5422.0,8183.0,4437.0,1887.0,18173.0,8482.0,9022.0,6058.0,7118.0,11734.0,5933.0,11560.0,6664.0,26631.0,8133.0,25217.0,11149.0,8272.0,7489.0,19423.0,9330.0,39514.0,13946.0,12378.0,22492.0,30093.0,9638.0,16652.0,32411.0,31665.0
Zysk netto akcjonariuszy jednostki dominującej,7353.0,7838.0,589.0,4170.0,4840.0,8403.0,1043.0,3979.0,5435.0,1949.0,1335.0,7965.0,5422.0,8183.0,4437.0,1887.0,18173.0,8482.0,9022.0,6058.0,7118.0,11734.0,5933.0,11560.0,6664.0,26631.0,8133.0,25217.0,11149.0,8272.0,7489.0,19423.0,9330.0,39556.0,14018.0,12378.0,22442.0,29953.0,9586.0,15966.0,32265.0,31515.0
Aktywa trwałe,41793.0,46378.0,19636.0,50102.0,56157.0,26556.0,26449.0,35006.0,73671.0,84609.0,79679.0,117657.0,123253.0,116128.0,122345.0,121133.0,130524.0,162646.0,168156.0,180367.0,191909.0,207758.0,210260.0,208346.0,238648.0,239195.0,239890.0,236879.0,235631.0,252569.0,250015.0,257921.0,277879.0,279532.0,298004.0,293205.0,319002.0,282275.0,288451.0,293570.0,292296.0,294106.0
Wartości niematerialne i prawne,282.0,599.0,562.0,489.0,429.0,366.0,306.0,242.0,169.0,222.0,198.0,200.0,175.0,182.0,245.0,240.0,204.0,195.0,190.0,171.0,309.0,307.0,297.0,293.0,286.0,428.0,381.0,293.0,237.0,216.0,119.0,229.0,161.0,5750.0,5887.0,6025.0,6060.0,6745.0,6638.0,7017.0,6981.0,7122.0
Rzeczowe składniki majątku trwałego,11018.0,10423.0,12442.0,14944.0,19196.0,24446.0,24165.0,30156.0,69789.0,80144.0,74834.0,38545.0,37571.0,36145.0,36349.0,42437.0,49090.0,53462.0,59471.0,66133.0,77239.0,79957.0,81901.0,79914.0,82226.0,81888.0,82407.0,80526.0,79760.0,81796.0,80715.0,81427.0,80502.0,122387.0,123001.0,125525.0,150195.0,148754.0,148434.0,148518.0,146165.0,148418.0
Należności długoterminowe,675.0,2191.0,4779.0,4439.0,2355.0,434.0,668.0,3012.0,2683.0,2887.0,3415.0,3532.0,3350.0,4037.0,4059.0,3895.0,3919.0,3912.0,4197.0,4933.0,5218.0,599.0,1873.0,1637.0,3611.0,782.0,888.0,737.0,966.0,1737.0,2052.0,5547.0,9426.0,13079.0,17305.0,17149.0,12566.0,17583.0,19887.0,24256.0,17651.0,6836.0
Inwestycje długoterminowe,25020.0,29696.0,1240.0,29696.0,33604.0,519.0,519.0,644.0,531.0,538.0,583.0,72518.0,80921.0,74464.0,80507.0,72906.0,72920.0,100201.0,100563.0,101379.0,99373.0,116872.0,119713.0,120240.0,146346.0,148168.0,145346.0,149768.0,149345.0,152685.0,155777.0,155868.0,170692.0,106559.0,117600.0,110851.0,120314.0,85098.0,85763.0,90038.0,85879.0,96547.0
Pozostałe aktywa trwałe,4798.0,3469.0,613.0,534.0,573.0,791.0,791.0,952.0,499.0,818.0,649.0,2862.0,1236.0,1300.0,1185.0,1655.0,4391.0,4876.0,3735.0,7751.0,9770.0,10023.0,6476.0,6262.0,6179.0,7929.0,10868.0,5555.0,5323.0,16135.0,11352.0,14850.0,17098.0,31757.0,34211.0,33655.0,29867.0,24095.0,27729.0,23741.0,35620.0,35183.0
